gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000109501.15,WFS1,255,245.001,969.999,983,1075,731.5219481098469,-2.020896800092802,0.09931441517246636,2.7406011514109357e-93,1.1304472230838367e-90,Down
ENSG00000136295.16,TTYH3,726.999,632.999,1720,1693.999,1757,1819.6812998188589,-1.3558390428948828,0.06797247207980392,2.1659750197723323e-90,8.615165641144452e-88,Down
ENSG00000147852.17,VLDLR,450.999,449.001,1270.999,1239,1385.997,1532.9667303392198,-1.539690661868524,0.07843132325648441,1.8584614635296238e-87,7.137132868734283e-85,Down
ENSG00000204463.14,BAG6,5421.002,4947.001,8998.003,8815.999,9575.998,8479.763132280781,-0.831555730795498,0.04388851234736257,6.525141728007919e-82,2.4223501141608066e-79,Down
ENSG00000152518.8,ZFP36L2,4938,4738,8805,8668,8779,8083.183629757241,-0.869150842226185,0.04635309351097358,2.4190935138307184e-80,8.690788536623456e-78,Down
ENSG00000122884.13,P4HA1,1543,1458,2937,3101.001,3028,3889.6819099963577,-1.0234298886510291,0.054735250017384975,5.3703747949694744e-80,1.86905825286172e-77,Down
ENSG00000124785.9,NRN1,839,796,2103,2094,1919.001,2244.6997928081382,-1.331028234405449,0.07143246056883301,2.210128298127453e-79,7.458848138256195e-77,Down
ENSG00000049239.13,H6PD,167,143,679,667,742,734.3406125756127,-2.170579949800938,0.11639202316006905,6.836013925155477e-79,2.2391966789546043e-76,Down
ENSG00000164111.15,ANXA5,206,208.001,850.001,856.999,806,609.3637990864198,-2.022402194856816,0.10858156511312679,1.1226422621340302e-78,3.572247678110484e-76,Down
ENSG00000196549.13,MME,1247,1204.999,2471,2594.001,2539.001,2836.0369481908274,-1.0601914463815802,0.05831328887005338,7.487615526392117e-76,2.3163770588174722e-73,Down
ENSG00000134107.5,BHLHE40,219,198,707,715.001,769,924.503642841319,-1.8162075202551295,0.10011814970327966,6.801418758716685e-75,2.0472270463737222e-72,Down
ENSG00000168209.6,DDIT4,4404.001,4051,8333,8455.001,7957,10180.915339548288,-0.978555836140472,0.054184305308651176,7.08404652734714e-75,2.0761848993438184e-72,Down
ENSG00000114268.12,PFKFB4,16,14,463,494.999,464.999,744.9874230802305,-4.959107904907159,0.2760641847519325,1.4714793581701586e-73,4.20201682357463e-71,Down
ENSG00000205542.11,TMSB4X,10696.983,10330.991,20888.943,21777.982,19624.98,19699.931446241182,-0.9948383303900856,0.05587231243307347,6.761285890994135e-73,1.8825110242000423e-70,Down
ENSG00000116852.15,KIF21B,1003.001,1011,2090,2101,2298,3337.123510795882,-1.1130908444005427,0.06325165228783408,2.6083865151234793e-71,7.085268443641509e-69,Down
ENSG00000059804.17,SLC2A3,383.001,404,996.999,1044.001,1050,1665.0644582469865,-1.3975913150380823,0.08014945967174579,6.361600393900734e-70,1.6868843711160112e-67,Down
ENSG00000146278.11,PNRC1,401.999,370,1048,1018.999,1109,1061.7451744738926,-1.4651213887552814,0.08469815122289379,8.568051842674913e-69,2.2191254272528025e-66,Down
ENSG00000163683.12,SMIM14,32,58,399,395,445,436.0376429557331,-3.1793500207133585,0.1853672155893885,1.6416935419913067e-68,4.155350222081178e-66,Down
ENSG00000187783.12,TMEM72,12,10,558,528,603,298.57003878620395,-5.632560371093183,0.3265596386584281,8.14289546790419e-68,2.015276151689977e-65,Down
ENSG00000157657.15,ZNF618,145,116.001,571,583,618,497.87090496739825,-2.1794229780840735,0.12693771005665483,2.3340695764208173e-67,5.6509854070866615e-65,Down
ENSG00000085760.15,MTIF2,2123,1965,888.999,859,941,1397.1736506725215,1.1572806683782062,0.06819134816723375,1.3835363717379496e-66,3.27839246213735e-64,Up
ENSG00000130766.5,SESN2,502,420,1187,1196,1131,1585.8777887467365,-1.35700900152854,0.08024323214650898,4.99914380383236e-66,1.159905511318354e-63,Down
ENSG00000117318.9,ID3,970,1000,223,251,196,459.89235313258155,2.099490109750554,0.1254035050954242,3.554732353293961e-64,8.079398820129558e-62,Up
ENSG00000136286.16,MYO1G,1616,1439,2835.999,2914,3278,4441.9121824857,-0.9897111510199456,0.05947194779549142,3.6749118060198794e-64,8.18549855672868e-62,Down
ENSG00000170144.22,HNRNPA3,24992.926,23744.849,14804.719,15423.192,15962.895,19490.887633632265,0.6356135021893574,0.038068506248043414,4.82022507186888e-64,1.0526048357922297e-61,Up
ENSG00000123600.21,METTL8,1635.001,1528,610,549.001,631,812.1630956869013,1.3728647621606052,0.08261540821480791,7.228676308959994e-64,1.5481878471709126e-61,Up
