gene_id,gene_name,A5BKO_1,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000004468.13,CD38,81,78,4244,3334,3345.001,1349.657923723864,-5.320084361306216,0.13042373492197307,0,0,Down
ENSG00000004478.8,FKBP4,15288.999,14342.001,4436,3715,3879,9169.617816675283,2.0595450130542168,0.04357271118879115,0,0,Up
ENSG00000070669.17,ASNS,462.223,427.478,5313.511,4367.247,4284.011,2060.3751389181202,-3.203500118962932,0.07233134581837086,0,0,Down
ENSG00000072274.14,TFRC,13314,12948.002,5129.998,4141,4053.999,12420.860742825977,1.7418234711289131,0.042994688301169204,0,0,Up
ENSG00000080824.19,HSP90AA1,88809.874,83901.966,18320.515,14684.727,14490.713,57058.166397576715,2.6266070989872325,0.038499536572351264,0,0,Up
ENSG00000086061.16,DNAJA1,8770,8307,2263,1739,1883,5444.036676669479,2.2992964419534614,0.04950900141505027,0,0,Up
ENSG00000101255.12,TRIB3,1240,1162,10251,8924,9264,4130.620204217288,-2.802019902614029,0.059147559241898004,0,0,Down
ENSG00000101361.17,NOP56,10844.999,10037,3077,2655.996,2678.001,6589.059018378832,2.0693948433032547,0.047662378024533866,0,0,Up
ENSG00000109107.14,ALDOC,695,597,6423,5640,5805,3026.5160185911705,-3.0261928460355936,0.06980813343923248,0,0,Down
ENSG00000109971.14,HSPA8,52612.984,49958.99,15603.993,12616.998,12939.997,33819.22465426165,2.0796345991777465,0.03804374521370829,0,0,Up
ENSG00000115053.17,NCL,54743,51469,23952.999,18308.999,19756.001,34395.89281693677,1.5397878620644805,0.03983382181282882,0,0,Up
ENSG00000115541.11,HSPE1,7658.716,7327.034,1483.955,1301.624,1285.095,4601.719992040545,2.6363321828346735,0.06565611143787571,0,0,Up
ENSG00000116852.15,KIF21B,1003.001,1011,7646,5770,6137.999,3337.123510795882,-2.505844069831731,0.06121704903505585,0,0,Down
ENSG00000125630.16,POLR1B,3528,3153.001,712,539,565.999,1698.8932842913919,2.638025889750036,0.0679381756966304,0,0,Up
ENSG00000132361.18,CLUH,6577.999,5823.999,1582,1328,1365,4060.8008374881592,2.2932964583059827,0.056408053266143315,0,0,Up
ENSG00000136286.16,MYO1G,1616,1439,9340,7866.999,7859.001,4441.9121824857,-2.2701872760761623,0.05791171839438596,0,0,Down
ENSG00000136450.13,SRSF1,14934.133,14183.945,4779.747,3732.455,3768.084,9814.740346638955,2.0092528545967685,0.04451475737606767,0,0,Up
ENSG00000136997.22,MYC,7558.999,7217,1367.999,1093.999,1158.001,4408.124526887881,2.790750169329311,0.05082515433109684,0,0,Up
ENSG00000163811.12,WDR43,4671.001,4318,1136,927.001,1023.999,2517.3704119717518,2.29923913702953,0.059582921337560615,0,0,Up
ENSG00000168906.13,MAT2A,8497.002,7434,1573,1236.998,1251,5145.6888839740805,2.731579864319511,0.06187348849302513,0,0,Up
ENSG00000169136.13,ATF5,843,752.001,11238,9146.999,9307,4023.4347963824707,-3.4513365387400436,0.057892641792169734,0,0,Down
ENSG00000176171.12,BNIP3,426,411,6833.609,5947.843,5869.819,3242.6056528227273,-3.7100990871555792,0.07888066274256611,0,0,Down
ENSG00000189060.6,H1-0,3526,3331,19436,15822,16290,7052.2352298547885,-2.143117755901639,0.04633458574127742,0,0,Down
ENSG00000059804.17,SLC2A3,383.001,404,3914.966,3082.934,3159.932,1665.0644582469865,-2.9163554636568643,0.07676714078539681,1.16506e-317,5.40636455e-315,Down
