task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
48	e0/944f15	772808	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_IF_6_05_12_run0)	COMPLETED	0	2026-07-19 14:35:54.923	2m 56s	2m 56s	199.8%	6.7 GB	40.7 GB	2.3 GB	4 MB
49	e7/ad54e3	776010	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_AL_6_05_22_run0)	COMPLETED	0	2026-07-19 14:36:15.194	3m 4s	3m 4s	199.5%	7.3 GB	40.6 GB	2.4 GB	4 MB
42	4f/f80ab4	567740	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (HFD_IF_4_03_11_run0)	COMPLETED	0	2026-07-19 14:20:14.706	23m 19s	23m 17s	513.0%	68.8 MB	637.5 MB	33.4 GB	44 GB
50	d8/c21268	807150	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_IF_4_03_11_run0)	COMPLETED	0	2026-07-19 14:43:33.578	1m 54s	1m 54s	199.8%	7.1 GB	40.7 GB	1.6 GB	4 MB
41	80/2da986	552788	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (HFD_IF_4_02_25_run0)	COMPLETED	0	2026-07-19 14:18:55.288	27m 9s	27m 7s	512.9%	68.3 MB	637.5 MB	41.2 GB	54.3 GB
43	44/98200e	596322	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (HFD_AL_7_06_12_run0)	COMPLETED	0	2026-07-19 14:22:23.614	24m 20s	24m 19s	521.1%	67.8 MB	637.5 MB	37.5 GB	49.5 GB
51	5f/0a35b1	814982	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_IF_4_02_25_run0)	COMPLETED	0	2026-07-19 14:46:03.880	2m 16s	2m 15s	199.0%	8 GB	40.7 GB	2 GB	4 MB
52	dc/4fafad	817578	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_AL_7_06_12_run0)	COMPLETED	0	2026-07-19 14:46:43.811	2m 9s	2m 8s	198.8%	6.8 GB	40.4 GB	1.8 GB	4 MB
44	e9/707dbd	680847	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (HFD_AL_4_02_25_run0)	COMPLETED	0	2026-07-19 14:28:03.760	28m 58s	28m 56s	525.6%	68 MB	637.5 MB	47.3 GB	62.5 GB
57	76/516b89	831608	NFCORE_MAG:MAG:ASSEMBLY:POOL_SHORT_READS (group-IF)	COMPLETED	0	2026-07-19 14:57:01.332	14.6s	13.9s	99.9%	5.4 MB	8 MB	10.5 GB	10.5 GB
55	90/09ba7b	831622	NFCORE_MAG:MAG:ASSEMBLY:POOL_SHORT_READS (group-AL)	COMPLETED	0	2026-07-19 14:57:01.339	14.8s	14s	99.9%	5.5 MB	8 MB	10.8 GB	10.8 GB
53	a6/61deeb	831582	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (HFD_AL_4_02_25_run0)	COMPLETED	0	2026-07-19 14:57:01.291	2m 48s	2m 47s	199.2%	8.5 GB	40.6 GB	2.3 GB	4 MB
56	e6/6e2338	837205	NFCORE_MAG:MAG:ASSEMBLY:SHORTREAD_ASSEMBLY:MEGAHIT (group-IF)	COMPLETED	0	2026-07-19 14:57:15.987	4h 52m 44s	4h 52m 44s	688.2%	24.2 GB	24.7 GB	252.7 GB	110.1 GB
58	c8/d7edda	996395	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_SHORTREAD_ASSEMBLIES (MEGAHIT-group-IF.contigs.fa.gz)	COMPLETED	0	2026-07-19 19:50:00.450	3.9s	3.4s	99.5%	5.1 MB	8.1 MB	147.7 MB	506.8 MB
60	20/fc74fc	996740	NFCORE_MAG:MAG:QUAST (MEGAHIT-group-IF)	COMPLETED	0	2026-07-19 19:50:04.434	5m 9s	5m 7s	106.2%	913.4 MB	3.2 GB	6.6 GB	471.5 MB
59	86/e9ebb1	996717	NFCORE_MAG:MAG:BINNING_PREPARATION:SHORTREAD_BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-group-IF)	COMPLETED	0	2026-07-19 19:50:04.414	7m 8s	7m 7s	99.8%	2.6 GB	2.7 GB	2 GB	743.8 MB
54	d2/768b3b	831649	NFCORE_MAG:MAG:ASSEMBLY:SHORTREAD_ASSEMBLY:MEGAHIT (group-AL)	COMPLETED	0	2026-07-19 14:57:01.355	5h 4m 4s	5h 4m 4s	688.3%	24.3 GB	24.8 GB	258.2 GB	113 GB
67	e8/0d8a2f	1066820	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_SHORTREAD_ASSEMBLIES (MEGAHIT-group-AL.contigs.fa.gz)	COMPLETED	0	2026-07-19 20:01:05.877	4.1s	3.8s	100.5%	5.2 MB	8.1 MB	157.4 MB	540.2 MB
69	f2/0a3509	1067974	NFCORE_MAG:MAG:QUAST (MEGAHIT-group-AL)	COMPLETED	0	2026-07-19 20:01:09.992	5m 49s	5m 48s	106.4%	984.3 MB	3.2 GB	6.9 GB	506.5 MB
68	d6/661e9a	1067973	NFCORE_MAG:MAG:BINNING_PREPARATION:SHORTREAD_BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-group-AL)	COMPLETED	0	2026-07-19 20:01:09.986	8m 1s	8m	100.4%	2.8 GB	2.9 GB	2.1 GB	790.7 MB
61	01/94ee32	996725	NFCORE_MAG:MAG:PRODIGAL (group-IF)	COMPLETED	0	2026-07-19 19:50:04.427	1h 14m 6s	1h 14m 5s	107.4%	64.4 MB	4.7 GB	3.6 GB	3.9 GB
65	cd/801b6c	1020969	NFCORE_MAG:MAG:BINNING_PREPARATION:SHORTREAD_BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-group-IF-HFD_IF_4_03_11)	COMPLETED	0	2026-07-19 19:57:12.416	1h 11m 14s	1h 11m 13s	211.4%	2.6 GB	3.5 GB	20 GB	17.7 GB
