gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000000001.5	Gnai3	9743	8985	9347	5886	6240	6325	8973	10347	8981	5253	5675	5294
ENSMUSG00000000003.16	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.16	Cdc45	734.001	643	664	805	815	974	459	603.999	597	1168	1358	1256.999
ENSMUSG00000000031.19	H19	8	5	10	610	599.001	487.001	3706.999	5419.001	5428	1	1	1
ENSMUSG00000000037.18	Scml2	0	0	0	49.001	80.001	90.999	60.001	77	79	0	0	0
ENSMUSG00000000049.12	Apoh	0	0	0	1	0	1	1	3	7	0	0	0
ENSMUSG00000000056.8	Narf	906	801	863	1945	2150	2544	2174	2596	2327	929	1011	877
ENSMUSG00000000058.7	Cav2	113	87	78	2491	2794	3190	2582	3497	3076	112	114	132
ENSMUSG00000000078.8	Klf6	72970	70017	71031.001	23676	24623.999	23567	53793	60827.999	50717	22898	22285.001	22149.999
ENSMUSG00000000085.17	Scmh1	822	817	831.001	1109	1203.999	1393	992.001	1284.001	1162.999	1352	1273	1281.999
ENSMUSG00000000088.8	Cox5a	6245	5562	6276.999	6445.999	6687.001	7318	8429	9906.949	9597.999	3179	3489.001	3294.999
ENSMUSG00000000093.7	Tbx2	29	33	34	6296	7451	8611	6432	8305	8665	11	12	8
ENSMUSG00000000094.13	Tbx4	1	0	1	864	997	1216	993	1223	1295	0	2	0
ENSMUSG00000000103.13	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.7	Ngfr	3	2	2	60	101	79	354	440	395	2	2	1
ENSMUSG00000000125.6	Wnt3	0	0	0	3	1	3	5	3	3	0	0	0
ENSMUSG00000000126.12	Wnt9a	11	6	8	132	165	165	128	172	163	61	57	59
ENSMUSG00000000127.16	Fer	8	8	7	353	405	416	345	460.001	505	4	5	5
ENSMUSG00000000131.16	Xpo6	3552.001	3334	3531.998	3317	3409.001	3905	3484.999	4373.999	4020.999	3158	3606.001	3160
ENSMUSG00000000134.18	Tfe3	4252.001	4178	4630.999	2579.002	2836.001	3041.998	3410	3834	3605	2776.998	2973.998	2731
ENSMUSG00000000142.16	Axin2	1	0	1	506.999	645	606	533.001	693	775.001	0	0	0
ENSMUSG00000000148.18	Brat1	899	950	958	864.001	978.001	1164.001	1011.999	1203.001	1089.999	848	997.999	875
ENSMUSG00000000149.11	Gna12	4207	4193	4278	2564	2673	3138	2581	3103	3043	5008	5297	5013
ENSMUSG00000000154.17	Slc22a18	120	112	97	802	941	1056	893	1124.999	1119	305	318.999	272
ENSMUSG00000000157.17	Itgb2l	346	320.999	317	9	9	4	127	116	84	7	6	8
ENSMUSG00000000159.17	Igsf5	0	0	0	1	1	0	1	0	0	0	0	0
ENSMUSG00000000167.15	Pih1d2	11	8	5	31	32	37	27.001	38	39	14	11	8
ENSMUSG00000000168.11	Dlat	1413	1390	1467	3383	3774	4299.999	3655	4530	4222.999	1419	1562.001	1525
ENSMUSG00000000171.6	Sdhd	3823	3563	4015	5005	5443	6238	5590	7102	6811	3686	3940	3799
ENSMUSG00000000182.10	Fgf23	0	0	0	0	0	3	0	0	4	0	0	0
ENSMUSG00000000183.7	Fgf6	0	0	0	0	0	2	0	0	1	0	0	0
ENSMUSG00000000184.13	Ccnd2	1620	1667	1747.999	31759.001	36951	39141	32573.001	44293	41337.999	236.001	263	242
ENSMUSG00000000194.14	Gpr107	2259	2202	2277.001	3566	3955	4110	4057.001	4866	4676.999	1813	1847.001	1688
ENSMUSG00000000197.9	Nalcn	0	0	0	8	19	11	13	13	11	0	0	0
ENSMUSG00000000202.10	Btbd17	0	1	0	2	2	0	2	5	4	0	1	0
ENSMUSG00000000204.17	Slfn4	13.029	7.021	5	24.105	14.071	23.174	34.135	24.073	15.061	1.001	2.009	0
ENSMUSG00000000214.12	Th	0	0	0	0	3	0	0	0	2	0	0	0
ENSMUSG00000000215.12	Ins2	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000000216.9	Scnn1g	5	3	4	10	10	5	15	13	12	0	0	0
ENSMUSG00000000223.14	Drp2	7	7	5	11	11	13	7	9	12	16	13.001	9
ENSMUSG00000000244.18	Tspan32	8	9	10	78	80.999	83	88	92	97	20	21	16
ENSMUSG00000000247.12	Lhx2	8	12	10	51	66.999	37	131	190	187.999	1	4	2
ENSMUSG00000000248.17	Clec2g	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000000253.14	Gmpr	8	15	4	1286	1408	1660.001	1208	1557	1680	5	4	2
ENSMUSG00000000263.16	Glra1	0	0	0	0	1	2	0	0	0	1	0	2
ENSMUSG00000000266.12	Mid2	18	22	22	362	453	488.999	341	511	457	1	3	1
ENSMUSG00000000275.17	Trim25	5464	5447	5336	6465	6543	6735	11442	12635	11055	3451	3828	3419
ENSMUSG00000000276.12	Dgke	586.999	604	612.001	1084	1201	1281	991	1377	1312	707	743	561.001
ENSMUSG00000000278.11	Scpep1	14295	13706	14247	16172	17215	18457	27362	30705	28077	4071	4383	4155
ENSMUSG00000000282.13	Mnt	3125	3150.001	3158	3172	3292.999	3648.999	3760	4564.001	4246	3378	3770.001	3214.001
ENSMUSG00000000290.14	Itgb2	12753	11640.996	12120.001	12607	12073.991	16421.999	4530.999	4682	4071.999	35308	37623.992	36266
ENSMUSG00000000295.14	Hddc2	202	201	188	529	549	621	419	575	577	307	337	310.001
ENSMUSG00000000296.9	Tpd52l1	1	1	1	1805.001	2140	2314	1738	2435.999	2496	0	1	0
ENSMUSG00000000301.17	Pemt	21	23	31	63	81.999	67.001	67	82	80	43	51	43
ENSMUSG00000000303.14	Cdh1	8969	8478	8648	128	134	147	105	122	104	668	709	641
ENSMUSG00000000305.13	Cdh4	0	3	0	3	3	9	4	5	8	1	0	0
ENSMUSG00000000308.15	Ckmt1	0	0	2	5	2	3	1	4	6	0	1	0
ENSMUSG00000000317.12	Bcl6b	0	0	0	0	0	0	0	0	1	0	2	1
ENSMUSG00000000318.17	Clec10a	7	4	4	12	4	5	6	7	6	90.415	83.978	74.999
ENSMUSG00000000320.11	Alox12	1	0	1	0	2	1	1	3	3	0	0	0
ENSMUSG00000000326.14	Comt	518.001	517	539.999	2271	2521.001	2920	2276	2855	2939.001	812.001	874	880
ENSMUSG00000000339.15	Rtca	1607.001	1565.001	1641	2020	2067	2335	2208.001	2699	2484.999	1661	1833.001	1705
ENSMUSG00000000340.11	Dbt	636	558	550	796.999	915	1087	845.999	1030.001	989	561	626	529
ENSMUSG00000000346.10	Dazap2	25789.9	23540.917	26291.971	13320	13349.971	14669.946	18376.945	20707.96	18741	22563	23609.954	21750.947
ENSMUSG00000000355.14	Mcts1	951	850.001	849	786	893	1059.001	708.999	858.001	822	1047.001	1098	1071
ENSMUSG00000000359.4	Rem1	44	59	59	5	8	7	8	11	2	20	12	13
ENSMUSG00000000365.10	Rnf17	3	0	7	4	0	7	5	8	8	3	4	1
ENSMUSG00000000374.9	Trappc10	5429.999	5457	5740	2428	2754	3072.001	3480	4370	3900	2558.999	2726	2453
ENSMUSG00000000378.16	Ccm2	2632.001	2514	2597	2649.001	2736	3119.001	3044	3627	3377.999	2422	2668.001	2489
ENSMUSG00000000381.11	Wap	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000384.16	Tbrg4	2565.817	2621.649	2711	2139.999	2367.999	2533.002	1867	2302	2349.999	2685.001	2943	2505
ENSMUSG00000000385.9	Tmprss2	1	7	4	5	10	8	10	23	15	1	3	1
ENSMUSG00000000386.19	Mx1	2513.758	2636.812	2495.982	7303.326	7373.654	7076.892	7174.442	8087.846	7285.299	2862.655	3140.73	2670.732
ENSMUSG00000000392.18	Fap	20.001	26	23	16	11	12	21	7	13	7	11	11
ENSMUSG00000000394.16	Gcg	0	0	0	0	0	0	1	2	0	0	0	0
ENSMUSG00000000399.11	Ndufa9	3036	2782	2903	5424	5930	6711.001	5252	6665	6446	2992	3098	2947.999
ENSMUSG00000000402.3	Egfl6	0	0	0	2	1	0	0	0	1	0	0	0
ENSMUSG00000000409.15	Lck	19	29	19	26	30	32.001	29	35	45	12	12	13
ENSMUSG00000000411.8	Tssk3	57	49	47	4	5	1	47	33	23	1	0	0
ENSMUSG00000000416.17	Cttnbp2	2	1	2	255	306.999	345.012	250	366	319	0	0	0
ENSMUSG00000000420.16	Galnt1	7957	7481	7632.998	4824.999	5160	5668.001	6198.999	7118	6134	5677	6048	5632.999
ENSMUSG00000000435.2	Myf5	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000439.10	Mkrn2	669	707	682	1113	1198	1427	991	1370	1184	800	908.001	769
ENSMUSG00000000440.13	Pparg	5	3	3	44	50	53	17	18	20	8	23	17
ENSMUSG00000000441.18	Raf1	2440	2403	2537.999	4121	4418	4966	4165.001	5048.998	4946	2862.999	3176	2733.999
ENSMUSG00000000486.14	Septin1	1238.001	1196.001	1274.001	481.001	459.999	622	275	220.999	223	1466.998	1616.997	1539.001
ENSMUSG00000000489.8	Pdgfb	4864	4456	4532	1616	1617	1857.999	1768.999	1814.999	1654	6118	7010	6186.999
ENSMUSG00000000530.17	Acvrl1	3569.999	3200.999	3295	5178.001	5280.001	6313.001	2794.998	3134	3060	9980.001	10410	9668
ENSMUSG00000000531.6	Tamalin	7018	7503	7657	2973	3002	2799	8276	8998	7971	2054	2022	1594
ENSMUSG00000000532.12	Acvr1b	1385	1474	1476	1016	1156	1198	1510	1749	1556	1234	1193	1115
ENSMUSG00000000538.19	Tom1l2	439	464.999	480.999	6709	8117.001	8878	6186.999	8547.999	8412.001	683	720.999	549
ENSMUSG00000000544.15	Gpa33	0	0	0	1	2	3	2	4	1	0	0	0
ENSMUSG00000000552.11	Zfp385a	3128	2998	3279	3444.001	3483	4303	2455.999	2697.001	2744	6036	6857	6243.001
ENSMUSG00000000555.9	Itga5	3397	3427	3568	2458.001	2857.999	3113.999	2970	3471	3462	1732	1921.001	1660.001
ENSMUSG00000000560.10	Gabra2	0	0	0	3	1	2	1	1	1	0	0	0
ENSMUSG00000000561.15	Wdr77	1542.916	1441.868	1479	1952.573	1970.18	2263.053	1862.191	2183.821	2171.915	1576.247	1769.477	1582.337
ENSMUSG00000000562.6	Adora3	53.624	67	51.391	667	625	996.677	17.036	17.643	25	1505.449	1710.52	1654.074
ENSMUSG00000000563.18	Atp5pb	9266.587	8688.68	9084.545	10835.333	11226.266	13132.916	10868.435	13360.857	12365.576	9900.123	10320.628	10133.038
ENSMUSG00000000567.6	Sox9	3	1	0	629	789.087	822	644.042	826.041	902.088	0	1	1
ENSMUSG00000000568.16	Hnrnpd	19247.999	17883.936	19245.001	10531.001	10574	11722.002	11198.001	12697.001	12089.999	17532.897	19426.999	18621
ENSMUSG00000000579.15	Dynlt1c	134.03	143.116	153.931	143.892	171.437	179.237	158.44	135.78	114.443	323.332	402.053	282.789
ENSMUSG00000000581.9	C1d	1876.001	1682	1650.999	1267	1286	1434.999	1204	1480.001	1296	1841	1940	1752
ENSMUSG00000000594.8	Gm2a	55378	50735	55925	44370	42940	55107	15574	15277	14182	91516	98007	91424
ENSMUSG00000000600.16	Krit1	1674	1812.999	1770	1611.999	1908.002	1845.999	2070	2505.999	2352.001	1082.001	1209.999	921
ENSMUSG00000000605.10	Clcn4	3002.001	2810	2911	2524.998	2774	3223.999	2435	3114.999	2935	3546	3683	3452.002
ENSMUSG00000000606.20	Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.15	Grm6	0	0	0	1	0	1	1	3	1	0	0	0
ENSMUSG00000000627.16	Sema4f	1816.001	1836	1853.999	2804	2738	3489.001	2247.001	2398.001	2272	4558	5095	4362
ENSMUSG00000000628.11	Hk2	4438	4413	4417	3430	3784	4458	2921	3569	3435	3965	4254	3561.999
ENSMUSG00000000631.21	Myo18a	7251.998	6696.999	7057.999	5546.999	6094	6821	6270	7861	7033.001	8482.003	9427	8577.001
ENSMUSG00000000632.14	Sez6	0	0	0	26	17.999	32	36	33	35	0	1	0
ENSMUSG00000000673.10	Haao	2116	2123.001	2024.999	1198	1195	1302	1204	1246	1225	2682.001	2957	2687
ENSMUSG00000000682.8	Cd52	26693	22855	25753	9690	8998	11319	6100	6296	5832	21978	23236	22222
ENSMUSG00000000686.12	Abhd15	415	444	422	221	176	278	47	44	38	1210	1262	1269
ENSMUSG00000000690.6	Hoxb6	0	2	2	38	51	53	37	40	39	0	0	0
ENSMUSG00000000693.11	Loxl3	680	674	662	1901	2204	2512.999	2188	2813	2816	15	25	20
ENSMUSG00000000701.9	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.17	Btn1a1	0	0	0	12	17	14	9	11	20	0	0	0
ENSMUSG00000000708.15	Kat2b	1531	1535.001	1500	2974.001	3333.981	3661	3232.966	4040.981	3721.993	1462.997	1542.999	1391.993
ENSMUSG00000000711.4	Rab5b	6203.843	5669.604	6352.675	8447.83	9569.628	9940.796	11173.671	13872.725	12929.807	4261	4560.837	4523.968
ENSMUSG00000000724.11	Cryba1	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000730.14	Dnmt3l	0	1	3	7	7	8	16	13	15	1	1	0
ENSMUSG00000000731.16	Aire	10	17	10	213	221	215.999	317.001	333.999	372.999	0	1	1
ENSMUSG00000000732.10	Icosl	7086.001	7231.001	7432	3115.001	3108	3157	4986.999	5247.001	4543	4334.999	4702.999	4135
ENSMUSG00000000738.19	Spg7	2120.999	2053	2008	2594.001	2832	3262.999	2618	3151	3110.998	2129.001	2364.001	2062.999
ENSMUSG00000000739.15	Sult5a1	0	0	1	9	18	7	13	17	7	0	0	0
ENSMUSG00000000740.13	Rpl13	50629.934	44835.916	47721.875	26992.434	25732.773	32012.28	24913.822	27513.682	26741.689	68147.343	75532.473	67865.525
ENSMUSG00000000743.10	Chmp1a	5051	4963.983	5326.983	5322.97	5430.917	6203.957	6565.954	7496.985	7070.983	5346.001	5775.964	5247.95
ENSMUSG00000000751.14	Rpa1	5911	5305.001	5460	6700	7431.001	8364	6152	7887	7313	6361.001	7123	6808
ENSMUSG00000000753.16	Serpinf1	171	134	166	210	229	288.001	211	317.001	301	717.999	773	696
ENSMUSG00000000759.15	Tubgcp3	1488	1450.001	1440	1477	1564	1803.999	1511	1801.998	1811	1457.999	1699	1293.001
ENSMUSG00000000766.19	Oprm1	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000000776.14	Polr3d	432.001	475	477	481.001	559.999	634.999	459	638	623.999	340.001	319.999	302
ENSMUSG00000000782.17	Tcf7	2876	2766.001	3116	2891	2936	2218	4258	4932	4493	45	47	44
ENSMUSG00000000787.13	Ddx3x	25850.656	24591.755	25594.669	14324.902	15769.925	17089.757	16541.786	20067.817	17613.83	22513.586	23270.288	21025.448
ENSMUSG00000000791.10	Il12rb1	4	6	3	231	270	270	223	271	238	3	6	8
ENSMUSG00000000792.3	Slc5a5	0	1	0	1	4	6	1	3	7	0	0	0
ENSMUSG00000000794.10	Kcnn3	0	0	1	8	11	6	4	7	11	0	1	3
ENSMUSG00000000804.15	Usp32	2415	2370	2176	2756	2952	3252	3772	4563	4192	1131	1259	1149.001
ENSMUSG00000000805.19	Car4	0	0	0	7	8	8	6	5	5	0	0	0
ENSMUSG00000000811.15	Txnrd3	434	365	438	480	576	636	543	719	662	237	238	249
ENSMUSG00000000817.11	Fasl	0	1	0	0	1	1	0	1	0	0	0	0
ENSMUSG00000000823.17	Zfp512b	716.001	815.001	838	1397.999	1533	1679.001	1138.001	1423	1432	990.001	1158.001	967.999
ENSMUSG00000000826.17	Dnajc5	5640.999	5672	5624	5971	6504.999	7136	7425.001	8863.999	8032	5024	5322	4824
ENSMUSG00000000827.19	Tpd52l2	1478	1369.999	1477	2078	2171.804	2321	2329	2891	2668	1381.999	1538.999	1410
ENSMUSG00000000838.18	Fmr1	2893.051	2767.118	2906.766	2490.026	2569.153	2838.023	2905.003	3791.08	3279.001	2707.047	3074.106	2678.051
ENSMUSG00000000861.16	Bcl11a	812.001	815	765.999	312	346	430.999	175.999	229	232	1050	1173	1065.999
ENSMUSG00000000869.13	Il4	0	0	0	0	1	1	3	0	1	0	0	0
ENSMUSG00000000876.12	Pxmp4	630	548	675	678	671	821	547	697	645	1064	1066	976
ENSMUSG00000000881.13	Dlg3	459.999	483	482	645	731	778.999	878	1015	1014	13	9	4
ENSMUSG00000000884.18	Gnb1l	128.234	108.96	110.394	321.287	331.79	389.875	290.966	362.072	403.763	141.188	136.08	118.204
ENSMUSG00000000889.9	Dbh	0	1	1	9	12	7	9	21	10	0	0	1
ENSMUSG00000000901.18	Mmp11	7	12	10	158	201	202	160.001	220	224	13	14	14
ENSMUSG00000000902.14	Smarcb1	2621	2576	2710	2263	2356.001	2629	2490.999	2915	2917	2156.001	2372.999	2148.001
ENSMUSG00000000903.4	Vpreb3	0	1	1	4	5	0	4	7	3	1	0	0
ENSMUSG00000000915.16	Hip1r	2314.43	2291.876	2511	2363.527	2562.633	2503.4	2737.741	3393.999	3249.909	3331.718	3650.547	3245.578
ENSMUSG00000000916.16	Nsun5	394	396.999	319.999	453	532.999	521	430	493.001	459.999	453	483	427
ENSMUSG00000000934.10	Top1mt	149	119	106	335	336.999	397	320	423	418	115	124	132
ENSMUSG00000000938.12	Hoxa10	4	2	2	614	808	759.001	626	907	846.999	1	3	3
ENSMUSG00000000942.11	Hoxa4	11	9	18	8	8	7	4	10	11	3	8	13
ENSMUSG00000000948.17	Gm38393	0	0	0	0	1	0	4	0	1	0	0	0
ENSMUSG00000000957.12	Mmp14	94	71	120	4956	5996.999	6229	5075.999	6859.001	6784.001	15	20	21
ENSMUSG00000000958.11	Slc7a7	118.001	109.001	125	281.001	282.001	329	258	318.998	359	131.001	125	147
ENSMUSG00000000959.8	Oxa1l	2111	1998	2154.001	1948.001	2020.001	2220	1944	2431	2313	2374.999	2529.999	2258
ENSMUSG00000000976.14	Heatr6	1067.001	1016.001	1027	1179	1299.999	1410	1342.999	1607	1583	888	968	906
ENSMUSG00000000982.6	Ccl3	23	30	22	64	84	101	35	36	32	30	34	36
ENSMUSG00000000983.14	Wfdc18	0	0	0	2	0	0	2	0	1	0	0	1
ENSMUSG00000001014.7	Icam4	19	27	26	64	66	75	68	104	82	28	28	30
ENSMUSG00000001016.13	Ilf2	1910.999	1864	1896.001	2783	2877.999	3247	2515.002	3254.001	3265.001	2088	2298.999	2130
ENSMUSG00000001017.17	Chtop	7026.957	6863.887	7160.867	6963.904	7700.773	8382.941	8277.922	9948.917	9134.83	6331.925	6989.965	6332.958
ENSMUSG00000001018.16	Snapin	1080	999.001	1028	1596	1924	2120	1924	2248	2290	997.001	1085	976
ENSMUSG00000001020.9	S100a4	12617.62	11099.411	12067	1173	1138	1009	2447	2405.332	2292	426	472	458
ENSMUSG00000001021.14	S100a3	17	12.673	11	7	8	5	8	5.565	6	0	1	0
ENSMUSG00000001023.11	S100a5	2	2	3	0	0	0	0	1	0	0	0	0
ENSMUSG00000001025.9	S100a6	5926	5180.999	5514	1525	1421	1811	1434.001	1351	1277.999	3001.999	3118	2991
ENSMUSG00000001027.8	Scn4a	1	1	0	13	17	14	10	12	12	3	1	1
ENSMUSG00000001029.16	Icam2	12	8	8	141.999	125	152	78	103	88	80	90	87
ENSMUSG00000001034.18	Mapk7	1632	1541.001	1589.999	1588	1716	1916.999	2274	2491.001	2317	1893.001	2084.001	1949.001
ENSMUSG00000001036.18	Epn2	3	5	8	956.001	1098	1260	1013	1351.999	1379	7	3	4
ENSMUSG00000001039.13	B9d1	31	30	32	282	299	356.001	404	501	508	37	36	43
ENSMUSG00000001052.16	Sec24b	2959.002	2879	3026	3864	3997.999	4241	4163.001	5012.001	4567	3099.001	3412	3075.999
ENSMUSG00000001053.16	N4bp3	903.999	901.999	929.001	502.999	446	576.001	429	479	448	1378	1514	1448
ENSMUSG00000001054.10	Rmnd5b	1119	1023	1114	1141.999	1282.001	1523.001	924	1166	1212	1566	1802	1701.999
ENSMUSG00000001056.4	Nhp2	3676	3477	3516	3342	3435	4007	3081	3781	3588	3259	3321	3127
ENSMUSG00000001062.19	Vps9d1	1855.998	1906.998	1911.001	1658.001	1838.001	2219	1674	1840	1705.001	2701	3103.002	2627
ENSMUSG00000001065.16	Zfp276	1798	1704	1742	1717.999	1784.999	2036.999	1582.001	1675	1584.001	2315.999	2622	2041.999
ENSMUSG00000001076.8	C1ql4	0	1	0	4	2	0	13	7	4	0	0	2
ENSMUSG00000001082.13	Mfsd10	1930.001	1882	1926	1411.998	1342.001	1745	929	1110.001	1130.001	3409.001	3620	3307
ENSMUSG00000001089.15	Luzp1	1645	1470	1544	2304	2622	2760	2381.999	3237	3136	1158	1336	1107
ENSMUSG00000001095.6	Slc13a2	1	0	1	3	8	4	2	0	1	13	13	7
ENSMUSG00000001098.16	Kctd10	6577	6229.999	6702	4452.001	4655.001	5148	5786.999	6761	6072	7162.001	7885.001	7240.001
ENSMUSG00000001100.11	Poldip2	1093.999	887.001	1165	3029	3404	3751	2970.999	4053	3969	1318	1421	1332
ENSMUSG00000001103.8	Sebox	0	0	0	0	1	1	2	0	1	0	0	0
ENSMUSG00000001105.16	Ift20	1002	907	903	928	953	1073	880.999	1058	1010	1064.001	1174	1068.999
ENSMUSG00000001119.8	Col6a1	6	16	3	5	9	14	6	18	9	18	19	16
ENSMUSG00000001120.16	Pcbp3	43.001	38	35	28	32	23	20	20	26	46	39	43
ENSMUSG00000001123.16	Lgals9	1042	957	962	5736.001	6009	6972.001	4168	5612	5406	903	978	976
ENSMUSG00000001127.13	Araf	2688.999	2698.999	2746	3283.999	3668.001	4032	3302.999	3905.999	3912	2612	3024	2532.999
ENSMUSG00000001128.8	Cfp	13091	12113	12979	4894	4495	6054	1089	1030	826	8043	8747	8072
ENSMUSG00000001131.12	Timp1	1	0	1	246	278	283	299	340	353	0	2	2
ENSMUSG00000001134.10	Uxt	504.954	450.001	473.001	452.999	455.998	519	406	526.973	476.97	396.999	417.998	379.968
ENSMUSG00000001138.14	Cnnm3	1071	1013.627	1108.999	1474.999	1615.999	1789.001	1519	1852.001	1800.634	1584	1855	1629.001
ENSMUSG00000001143.14	Lman2l	770.002	768	741.001	1762	1955.001	2313.999	1573.001	1964.001	1904	1277	1474.995	1347.001
ENSMUSG00000001150.8	Mcm3ap	2347.001	2268	2308	2628	2971	3274	2569	3196	3059	2380	2711	2301
ENSMUSG00000001151.11	Pcnt	2586.999	2525	2538	2195	2398	2646	1781	2141.001	1999	3259	3561	3139.999
ENSMUSG00000001155.14	Ftcd	0	0	0	3	0	0	1	1	1	0	1	0
ENSMUSG00000001156.10	Mxd1	9682	9897	10694.999	6142	6125.999	5391	15344	16911	15077	795	826	761
ENSMUSG00000001157.14	Gmcl1	1153	1160	1105.001	1601	1784	2071	1973	2434	2259.999	933	1088	1022
ENSMUSG00000001158.14	Snrnp27	1225	1109.999	1185.999	1588	1708	2039	1980.001	2266.001	2174	984	1017	914.001
ENSMUSG00000001166.18	Oas1c	3	4	10	244	229	259	186	265	253.98	10	5	5
ENSMUSG00000001168.17	Oas1h	0	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000001173.16	Ocrl	244	242.001	248.999	911	1070	1180.001	1039.999	1266	1243	152	179	169
ENSMUSG00000001175.17	Calm1	207446	197559.999	212951	60425.001	59744	60506.999	169985	169612	147086	34541	36686	35048
ENSMUSG00000001211.16	Agpat3	5077.999	4781	5011	9631	10222.999	12157.999	6619.999	7921.001	7902.001	10801	11603.999	10917
ENSMUSG00000001225.13	Slc26a3	0	0	0	0	0	1	2	5	0	0	0	0
ENSMUSG00000001227.13	Sema6b	360	348	311	579	578	773	447	555	599	380	398	378
ENSMUSG00000001228.15	Uhrf1	4350.993	4175.901	4313.914	3324.951	3369.987	3829.968	2583.981	3523.924	3442.999	4071.962	4668.662	4400.979
ENSMUSG00000001229.10	Dpp9	3791	3555	3952	3063	3387	3716	3707	4605	4142	2835	3126	2839
ENSMUSG00000001240.14	Ramp2	1	2.345	4.337	110.527	112.466	129.569	110.557	143.189	169.176	3.333	3	2.331
ENSMUSG00000001247.17	Lsr	3093.001	2821	3093	1767.001	1789	2027	1975.999	2081	1828.001	3414	3667	3425
ENSMUSG00000001248.16	Gramd1a	6465.001	6400	6661	3353	3665.999	4042.999	4189	4830	4901.999	2944	3429	2839.001
ENSMUSG00000001249.15	Hpn	0	0	1	44	43	60	45	49	54.999	0	0	0
ENSMUSG00000001260.11	Gabrg1	0	0	0	0	0	2	2	0	1	0	0	0
ENSMUSG00000001270.10	Ckb	12926.784	12480.684	12776.617	22178.734	22493.606	29608.309	7775.93	9294.831	9234.884	32600.617	36579.067	34423.572
ENSMUSG00000001280.14	Sp1	5276	4991	5014.001	3202	3599	3968.001	3558	4405	4001	4897	5397	4495
ENSMUSG00000001281.11	Itgb7	13821.999	13049.999	13260	11918.999	11103	15343	3155	2893	2657	45482	49341	46006.999
ENSMUSG00000001285.13	Myg1	902.216	920.219	945.941	1192.284	1185.509	1294.71	1006.759	1169.958	1144.907	1278.156	1400.128	1404.996
ENSMUSG00000001288.16	Rarg	196	217	233	1887.001	2241	2237	2298	2826	2917.001	68	54	54
ENSMUSG00000001289.13	Pfdn5	10695.168	9925.366	10946.922	6908.232	6797.22	7728.059	9130.865	10378.604	9816.961	10408.381	11163.588	10259.48
ENSMUSG00000001300.17	Efnb2	1274.999	1275	1357	221	230	235	553	606	526	34	27	21
ENSMUSG00000001305.6	Rrp15	650	621	687	524	577	698	412	567	521	669	683	639
ENSMUSG00000001313.13	Rnd2	39	39	43	592	670	845	616.998	727	737.999	118	142	109
ENSMUSG00000001323.18	Srr	184.999	151.001	171.001	822	927	1058.001	858.001	1148.999	1059	278	268.999	259
ENSMUSG00000001333.10	Sync	10	6	10	10	34	27	34	28	38	0	1	2
ENSMUSG00000001334.11	Fndc5	254	270	275	1130	1044	1144	479	552	522	285	291	258
ENSMUSG00000001348.16	Acp5	55	37	66	64	50	62	58.001	51	67	19	18	24
ENSMUSG00000001349.6	Cnn1	0	0	0	2	1	1	0	2	3	0	0	0
ENSMUSG00000001366.15	Fbxo9	683.001	677	690	1021	1114	1296	1121.999	1289.001	1195	849	876.001	823.001
ENSMUSG00000001376.18	Vps50	1248	1169	1214.001	1831.999	1912	2238	1892	2522	2218	1011	1180.001	1046.001
ENSMUSG00000001380.8	Hars1	2535	2431	2549	2869	2892	3481	2603	3154	2952	2267.999	2470.999	2369
ENSMUSG00000001383.10	Zmat2	5198	4902	5082	4233	4458	4977	5197	6049	5619	4735	5030	4677
ENSMUSG00000001403.14	Ube2c	326	310.987	335	1311	1327	1645	663	807.999	802	2314	2571	2533.999
ENSMUSG00000001415.11	Smg5	4895.999	4952.001	4939.001	3979	4581.001	4931.999	4808	5750	5496.999	3906	4267.001	3787.001
ENSMUSG00000001416.14	Cct3	10535.999	9799.999	9901.001	11367.001	11357.999	13839	10049	12043.999	11751.998	8108.998	8925	8258
ENSMUSG00000001418.14	Glmp	3588.999	3228	3434	9816	11006	12695	10143	12838.001	12546	3688.999	4098	4029.999
ENSMUSG00000001419.18	Mef2d	4359	4417.999	4615	6575.999	7231.75	8469.999	6536.47	8158	7827.002	5566.001	5943.999	5442
ENSMUSG00000001420.14	Tmem79	37.999	46	45	46	55	63	62	74	58	44	47	50.001
ENSMUSG00000001424.15	Snd1	9630	8951.999	9538	10338.001	11249	12170	12366.001	15165	14357	6614.001	6907	6467
