gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000082636.2	Gm14923	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082637.3	Gm11248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082638.2	Gm12815	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082639.9	Gm2012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082641.2	Rpl30-ps5	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000082644.2	Mup-ps19	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082645.4	Gm15481	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000082646.2	Gm12732	1.001	2.001	2.004	1	0	1	0	0	0	2.002	0	0
ENSMUSG00000082647.2	Gm14056	5	5	1	1	5	0	2	2	5	2	6	7
ENSMUSG00000082648.2	Gm11366	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082649.2	Gm12754	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082650.2	Gm15358	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082651.2	Gm14001	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000082652.2	Gm14725	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082653.2	Gm15897	2	2	0	0	0	0	0	0	0	2	1	0
ENSMUSG00000082655.2	Gm7857	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082656.2	Vmn1r-ps125	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082657.2	Gm14736	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082658.2	Fau-ps2	1	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000082660.2	Gm14612	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082661.2	Gm11590	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082662.2	Gm15516	0	0	0	0	0	1	1	0	0	1	0	3
ENSMUSG00000082663.3	Trav13-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082664.2	Gm8761	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082665.2	Gm11470	0	0	0	1.006	5.054	1.006	1.003	3.023	3.008	0	1.001	0
ENSMUSG00000082666.2	Gm13677	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082667.2	Gm11348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082669.2	Gm5393	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082670.2	Gm14050	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082671.3	Gm14006	0	0	0	0	0	1	0	1	0	0	1	0
ENSMUSG00000082672.2	Gm11876	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082673.2	Gm11857	0	1	0	0	0	0	0	1	0	1	1	1
ENSMUSG00000082674.2	Gm11914	11.382	2.137	6.937	5.65	9.499	6.855	8.217	4.367	9.302	9.938	12.155	5.592
ENSMUSG00000082675.2	Gm6382	4.009	2.003	3.008	3.003	1.003	5.013	0	1.001	2.002	1.001	0	1.002
ENSMUSG00000082676.2	Gm11843	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082677.2	Gm15371	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082678.2	Gm12818	0	0	0	1.02	1.017	2.061	0	0	0	1.009	0	0
ENSMUSG00000082679.2	Gm13469	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082680.2	Gm14885	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082681.2	Cyp2j7-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082682.2	Gm15349	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082683.2	Gm12697	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082684.2	Gm12774	0	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000082686.2	Gm12961	2	2	0	2	0	0	1	0	0	1	3	0
ENSMUSG00000082687.2	Gm11474	1	2	1	0	0	2	0	0	0	4	1	2
ENSMUSG00000082688.2	Gm12124	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000082689.2	Gm14156	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000082690.2	Gm14972	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082691.7	Dynlt1-ps1	18	21	12	21	23	29	18	30	31	20.068	28	33
ENSMUSG00000082692.3	H2af-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082693.4	Gm15190	0	1.003	1.002	1.003	1.003	1.002	0	0	0	1.002	1.003	1.001
ENSMUSG00000082696.2	Gm15040	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082698.2	Gm15316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082699.2	Gm12736	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082700.2	Gm13792	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082701.2	Gm14460	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082703.2	Gm11907	2	0	0	0	2	3	0	3	1.337	0	0	0
ENSMUSG00000082704.2	Gm12515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082705.2	Gm15616	1.001	1.003	0	0	1	1.005	4	2	3.008	1.001	3.01	6.094
ENSMUSG00000082706.2	Gm11663	2.002	1.002	1.001	0	0	1.004	0	0	0	0	0	0
ENSMUSG00000082707.2	Gm6881	0	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000082708.2	Gm15172	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082709.2	Gm12362	0	0	0	1	1	0	0	0	1	0	0	0
ENSMUSG00000082710.2	Defa-ps14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082711.2	Gm12987	1.001	0	1.001	0	0	1.001	0	1.001	0	1	0	0
ENSMUSG00000082712.3	Or5ak21-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082713.2	Gm14721	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082714.2	Gm15120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082715.2	Gm11633	0	0	0	0	0	0	0	1	3	0	1	1
ENSMUSG00000082716.2	Rpl31-ps5	0	0	2.435	0	0	0	0	0	0	0	0	0
ENSMUSG00000082717.2	Gm13087	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082718.2	Gm14928	1.397	0	1.003	1.006	0	0	1.065	1.334	1.004	1.004	0	0
ENSMUSG00000082720.2	Gm12489	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082721.2	Gm12087	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082722.2	Gm11393	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082723.2	Gm14564	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082724.4	Gm14416	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082725.2	Gm12451	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082726.2	Gm11424	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000082727.3	Gm13260	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000082728.2	Supt20-ps	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082729.4	Gm14845	2.478	0	2.614	1.262	1.236	1.18	0	1.349	0	0	2.553	1.256
ENSMUSG00000082730.3	Gm11363	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082732.2	Rpl23a-ps6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082733.2	Gm15153	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082734.3	Rhox11-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082735.2	Gm16394	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082736.2	Gm5381	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082737.4	Gm12026	1.077	1.036	0	0	0	1.056	1.073	0	0	0	0	0
ENSMUSG00000082738.2	Gm15422	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082739.5	Or52ab8-ps1	0	0	0	0	2	0	1	0	0	0	0	0
ENSMUSG00000082740.2	Gm14127	0	0	0	14.081	12.224	7	8.025	10.093	15.1	1.008	1.006	0
ENSMUSG00000082741.3	Gm9703	0	1	1.885	1	0	0.963	0	0	1.92	1.806	0	0.973
ENSMUSG00000082743.2	Gm12988	0	0	1.001	1.001	1.001	1.002	1.002	1	0	0	0	0
ENSMUSG00000082744.2	Gm15625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082745.2	Gm15181	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082746.2	Rps12-ps1	0	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000082749.2	Rpl9-ps2	0	0	0	0	1	1	0	0	1	0	0	0
ENSMUSG00000082750.2	Gm12156	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082751.2	Gm6620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082752.2	Gm14899	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082754.3	Or5ap2b-ps1	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000082755.2	Gm8692	1.002	2.006	2.009	1.002	2.352	0	1.002	0	1.003	1.007	4.01	0
ENSMUSG00000082757.2	Gm6923	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082758.2	Gm13024	0	0	0	0	0	0	0	0	0	0	0	0
