gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
CLDN9	CLDN9	7.398674	7.979979	8.314014	8.570037	8.10013	9.024528	8.341907	8.170286
CLDND1	CLDND1	118.930744	112.932507	123.914372	120.376438	117.149938	128.001824	130.202315	126.18738
CLEC11A	CLEC11A	0.274762	0.195175	0.335632	0.175887	0.080941	0.242751	0.251002	0.234842
CLEC16A	CLEC16A	15.979704	15.202998	14.926615	14.816536	15.801237	15.777426	14.96452	16.318832
CLEC17A	CLEC17A	0.293503	0.260406	0.944701	1.609242	0	0	0.626468	0
CLEC19A	CLEC19A	0	0	0.057693	0.034102	0	0	0	0
CLEC1A	CLEC1A	2.248427	2.095376	1.897963	2.525066	1.982289	2.094987	2.122202	1.85291
CLEC1B	CLEC1B	0	0.035462	0	0	0	0	0	0
CLEC20A	CLEC20A	0	0	0	0	0	0	0	0
CLEC2L	CLEC2L	0	0	0.075653	0	0.04105	0	0	0.095284
CLEC3A	CLEC3A	0	0	0	0	0	0	0	0
CLEC3B	CLEC3B	0	0	0	0	0	0	0	0
CLEC4E	CLEC4E	0	0	0	0	0	0	0	0
CLEC4F	CLEC4F	0	0	0	0	0	0	0	0
CLEC4G	CLEC4G	0	0	0	0	0	0	0.060616	0
CLEC4OP	CLEC4OP	0	0.02692	0.013021	0.015469	0	0	0.017558	0
CLEC5A	CLEC5A	0	0	0	0	0	0	0	0
CLGN	CLGN	27.728226	27.438395	28.641607	28.59213	28.442499	29.164796	30.628396	29.468772
CLHC1	CLHC1	0.582981	0.944329	0.962369	1.001705	1.007515	0.866468	0.36416	0.807437
CLIC1	CLIC1	343.706807	341.20791	355.530284	353.013594	366.571904	377.578007	389.870371	355.498753
CLIC2	CLIC2	1.549192	1.88883	1.248414	1.732877	1.65952	2.629549	1.092804	1.729175
CLIC3	CLIC3	0.058643	0.096925	0.109246	0.18526	0.033865	0.04001	0.084161	0.03928
CLIC4	CLIC4	102.252871	104.593172	96.583922	98.770146	107.756439	104.610977	101.508101	105.975076
CLIC5	CLIC5	0.039118	0	0	0	0	0.033946	0	0
CLINT1	CLINT1	112.862558	113.203453	107.943314	106.172017	111.499261	111.384833	109.563278	120.692528
CLIP1	CLIP1	14.867907	15.24707	13.64409	13.673735	14.594838	15.309363	14.119456	17.039783
CLIP2	CLIP2	9.249597	9.394278	8.656961	9.36493	9.127356	8.334604	7.15802	9.400031
