gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
LOC100011567	LOC100011567	2	0	0	2	0	1	0	1
LOC100011569	LOC100011569	27.908	14.125	27.325	11.103	20.246	21.215	9.1	14.206
LOC100011572	LOC100011572	512	400	389	306	327	255	301	302
LOC100011591	LOC100011591	0	0	0	0	0	0	0	0
LOC100011600	LOC100011600	27	23	17	13	30	12	16	16
LOC100011605	LOC100011605	3196	2181	2236	1727	1954	1756	1535	1707
LOC100011610	LOC100011610	6862	5059	4824	4318	4697	4434	4040	4318
LOC100011615	LOC100011615	20.028	17.016	19.026	12.006	15.008	14.013	13.004	18.033
LOC100011616	LOC100011616	1310	944	1050	813	887	801	709	787
LOC100011627	LOC100011627	1824	1316	1323	1182	1254	1063	1026	1099
LOC100011628	LOC100011628	0	0	0	0	0	0	0	1
LOC100011629	LOC100011629	0	0	0	0	0	0	0	0
LOC100011653	LOC100011653	145	170	182	137	115	85	92	96
LOC100011657	LOC100011657	0	0	0	0	0	0	0	0
LOC100011661	LOC100011661	0	0	0	0	0	0	0	0
LOC100011666	LOC100011666	1	0	1	0	0	0	0	1
LOC100011667	LOC100011667	0	0	0	0	0	0	0	0
LOC100011670	LOC100011670	6888	5674	5154	4363	4664	4433	3865	4658
LOC100011673	LOC100011673	0	0	0	0	0	0	0	0
LOC100011675	LOC100011675	22.27	5.456	10.427	10.419	7.71	4.41	4.962	3.837
LOC100011696	LOC100011696	0	0	0	0	0	0	0	0
LOC100011711	LOC100011711	1209	1058	935	758	662	764.058	540	627
LOC100011747	LOC100011747	6255.871	4838	4592.611	3806.204	4032	3802.4	3449	3812.202
LOC100011772	LOC100011772	8	5	3	6	2	6	1	2
LOC100011788	LOC100011788	0	0	0	0	1	2.001	0	0
LOC100011811	LOC100011811	2403.183	2121.797	2062.551	1612.001	1875.861	1646.708	1385.602	1509.838
LOC100011820	LOC100011820	0	0	2	0	0	0	0	0
LOC100011822	LOC100011822	0	0	0	0	0	0	0	0
LOC100011831	LOC100011831	0	0	0	0	0	0	0	0
LOC100011867	LOC100011867	0	0	0	0	0	0	0	0
LOC100011882	LOC100011882	176	132	142	118	117	115	96	134
LOC100011888	LOC100011888	25.165	12.022	1.001	7.006	13.98	10.017	9.996	7.012
LOC100011902	LOC100011902	65.73	36.544	43.573	36.581	20.29	35.59	28.038	27.163
LOC100011905	LOC100011905	46	18	17	23	19	24	30	20
LOC100011913	LOC100011913	18	12	10	8	7	7	10	5
LOC100011915	LOC100011915	2414	1710	1706	1522	1726	1431	1386	1555
LOC100011919	LOC100011919	3054.999	2342	2484	2099	2213	1993	1816	2047
LOC100011929	LOC100011929	5.999	2	0	1	1	1	0	0
LOC100011951	LOC100011951	3392	2565	2484	2053	2418	1898	1654	1963
LOC100011961	LOC100011961	0	0	0	0	0	0	0	0
LOC100011973	LOC100011973	20372.13	16854	16261.389	13467.797	14440	13800.6	12464	13621.797
LOC100011978	LOC100011978	7	5	3	11	2	4	5	4
LOC100012002	LOC100012002	17	9	10	9	12	9	4	9
LOC100012003	LOC100012003	0	0	0	0	0	0	0	2
LOC100012004	LOC100012004	2116	1504	1619	1343	1472	1244	1131	1329
LOC100012007	LOC100012007	4.007	1.001	3.002	1.001	0	0	0	2.003
LOC100012021	LOC100012021	4.664	1.735	3.61	0	3.788	8	3.876	1
LOC100012029	LOC100012029	6	10	2	7	3	3	10	1
LOC100012037	LOC100012037	601	304	432	340	373	331	412	298
LOC100012041	LOC100012041	0	0	0	0	0	0	0	0
LOC100012050	LOC100012050	0	0	0	0	0	0	0	0
LOC100012054	LOC100012054	0	0	0	0	0	0	0	0
LOC100012061	LOC100012061	2	3	1	1	5	4	0	0
LOC100012064	LOC100012064	319	244	240	177	196	178	151	169
LOC100012073	LOC100012073	0	0	0	0	0	1.001	0	0
LOC100012075	LOC100012075	0	0	0	0	0	0	0	0
LOC100012082	LOC100012082	0	2	0	2	0	2	0	1
LOC100012084	LOC100012084	0	0	0	0	0	0	0	0
LOC100012086	LOC100012086	0	0	0	0	0	0	0	0
LOC100012097	LOC100012097	2	1	0	0	2	0	0	0
LOC100012106	LOC100012106	9.001	5	3	5	4.058	4	4	1
LOC100012112	LOC100012112	331	247	268	214	227	195	155	235
LOC100012130	LOC100012130	2068	1281	1562	1401	1328	1096	1178	1040
LOC100012131	LOC100012131	17.445	11.265	17.39	8	9.212	0	11.124	11
LOC100012135	LOC100012135	0	0	0	0	0	0	0	0
LOC100012142	LOC100012142	14	7	8	9	13	4	8	16
LOC100012145	LOC100012145	0	0	0	0	0	0	0	0
LOC100012149	LOC100012149	2	0	1	2	0	0	0	0
LOC100012151	LOC100012151	4341	3126	3448	3056	3596	2939	2789	2898
LOC100012175	LOC100012175	34	17	26	20	26	17	12	18
LOC100012177	LOC100012177	0	0	0	0	0	0	0	0
LOC100012178	LOC100012178	55	33	10	28	26	21	20	35
LOC100012180	LOC100012180	0	0	0	0	0	0	0	1
LOC100012190	LOC100012190	0	0	0	0	0	0	0	0
LOC100012199	LOC100012199	396	155	153	173	167	101	131	145
LOC100012206	LOC100012206	333.225	277	274.074	210	243	254.05	202.102	240.045
LOC100012215	LOC100012215	6	3	5	6	7	4	6	2
LOC100012228	LOC100012228	474	448	439	362	390	360	333	346
LOC100012230	LOC100012230	0	0	0	0	0	0	0	0
LOC100012236	LOC100012236	17503.281	11926.661	11710	9601	11191	9213.657	8969	10106
LOC100012241	LOC100012241	0	0	0	0	2	0	0	0
LOC100012250	LOC100012250	0	0	0	0	0	0	1	0
LOC100012261	LOC100012261	0	0	0	0	0	0	0	0
LOC100012266	LOC100012266	13.625	8	4	9.549	6.709	13.909	10	12
LOC100012273	LOC100012273	8334	6236	6514.999	5464	5759	5030.002	4484.999	5064.001
LOC100012288	LOC100012288	81	64	67	38	43	37	28	32
LOC100012302	LOC100012302	8.375	6	14	7.451	3.291	4.091	10	9
LOC100012335	LOC100012335	3	2	3	7	3	2	4	0
LOC100012347	LOC100012347	0	0	0	0	0	0	0	0
LOC100012360	LOC100012360	4	2	3	0	0	1	1	2
LOC100012364	LOC100012364	394	312	323	307	283	264	254	248
LOC100012380	LOC100012380	0	0	0	0	0	0	0	0
LOC100012382	LOC100012382	3	2	12	2	4	0	0	4
LOC100012393	LOC100012393	0	0	0	0	0	0	0	0
LOC100012406	LOC100012406	10	1	7	9	5	5	5	1
LOC100012424	LOC100012424	0	0	0	0	0	0	0	0
LOC100012425	LOC100012425	0	0	0	1	1	0	0	0
LOC100012427	LOC100012427	0	0	0	0	0	0	0	0
LOC100012432	LOC100012432	7423	5767.999	5562	4920.001	5287.999	4743	4035	4597
LOC100012441	LOC100012441	3751.976	4012.296	3467.821	2451.611	3216.767	3318.637	2273.152	3021.453
LOC100012448	LOC100012448	1	0	0	0	0	0	0	0
LOC100012450	LOC100012450	0	0	0	0	0	0	0	0
LOC100012472	LOC100012472	8	3	7	7	8	6	7	5
LOC100012473	LOC100012473	0	0	0	0	0	0	0	0
LOC100012477	LOC100012477	0	0	0	0	0	0	0	0
LOC100012478	LOC100012478	10.078	2.006	3.01	2.002	5.014	2.007	3.009	4.013
LOC100012481	LOC100012481	0	0	0	0	0	0	0	0
LOC100012486	LOC100012486	6.054	1.001	2.012	0	3.002	2	1.001	0
LOC100012489	LOC100012489	31.368	7.079	18.132	6.011	12.1	16.219	13.065	14.075
LOC100012510	LOC100012510	0	0	0	0	1	0	0	0
LOC100012514	LOC100012514	0	6	2	1	0	3	2	4
LOC100012516	LOC100012516	0	0	0	0	0	0	0	1
LOC100012527	LOC100012527	14436	9973	10531	8928	9770	7781	8122	7984
LOC100012548	LOC100012548	0	0	0	0	0	0	0	0
LOC100012556	LOC100012556	1	0	0	0	0	0	0	0
LOC100012557	LOC100012557	3	1	1	2	1	3	1	3
LOC100012563	LOC100012563	0	0	0	0	0	0	0	0
LOC100012586	LOC100012586	0	0	0	0	0	0	0	0
LOC100012591	LOC100012591	0	0	0	0	0	0	0	0
LOC100012594	LOC100012594	4	2	0	0	2	0	1	3
LOC100012600	LOC100012600	0	0	0	0	0	0	0	0
LOC100012601	LOC100012601	26.028	42.59	48	37	47.073	29	25	28.111
LOC100012604	LOC100012604	3.077	5.242	1.085	1	3	5.306	0	4.37
LOC100012618	LOC100012618	13965	9201	9934	8336	9428	7920	8361	8732
LOC100012619	LOC100012619	0	0	0	0	0	0	0	0
LOC100012625	LOC100012625	0	0	0	0	0	0	0	0
LOC100012629	LOC100012629	737	606	575	527	521	542	484	467
LOC100012635	LOC100012635	0	1	0	3	0	0	1	0
LOC100012637	LOC100012637	2393	1766	1672	1469	1536	1325	1336	1551
LOC100012645	LOC100012645	0	4.002	1.001	0	1.001	1	0	0
LOC100012658	LOC100012658	25	18	14	24	20	13	14	28
LOC100012668	LOC100012668	31	15	33	33	39	12	30	12
LOC100012672	LOC100012672	890.312	721	716	617	642	615	604	653.003
LOC100012676	LOC100012676	0	2	0	2	0	0	0	0
LOC100012677	LOC100012677	3	2	0	1	0	1	2	1
LOC100012685	LOC100012685	0	0	0	0	0	0	0	0
LOC100012700	LOC100012700	0	0	0	0	0	0	0	0
LOC100012711	LOC100012711	0	0	0	0	0	0	0	0
LOC100012724	LOC100012724	0	0	0	0	0	0	0	0
LOC100012733	LOC100012733	152	88	82	83	77	70.144	91	80
LOC100012756	LOC100012756	0	0	0	0	0	0	0	0
LOC100012766	LOC100012766	0	0	0	0	0	0	0	0
LOC100012775	LOC100012775	1	1	0	3	1	6	1	0
LOC100012776	LOC100012776	18	7	3	1	2	2	2	3
LOC100012785	LOC100012785	25125	17734	17944	15249	16297	13239	13963	14888
LOC100012789	LOC100012789	2187	1896	2183	1779	1572	1487	1356	1453
LOC100012795	LOC100012795	2	9	8	7	2	2	4	7
LOC100012804	LOC100012804	13	20.001	6	10	10	10	9	6
LOC100012812	LOC100012812	0	1	0	0	0	0	0	0
LOC100012815	LOC100012815	0	0	0	0	0	0	0	0
LOC100012818	LOC100012818	0	0	0	0	0	0	0	0
LOC100012821	LOC100012821	3	9	3	3	3	2	2	0
LOC100012829	LOC100012829	0	0	0	0	0	0	0	0
LOC100012836	LOC100012836	3	3	1	5	2	2	5	2
LOC100012845	LOC100012845	0	1	1	0	0	0	0	0
LOC100012857	LOC100012857	0	0	0	0	1	0	0	2
LOC100012862	LOC100012862	0	0	0	0	0	0	0	0
LOC100012872	LOC100012872	4	6	5	11	5	6	1	1
LOC100012901	LOC100012901	0	0	0	0	0	0	0	0
LOC100012910	LOC100012910	373	161	175	195	193	135	176	134
LOC100012925	LOC100012925	0	0	0	0	0	0	0	0
LOC100012932	LOC100012932	0	0	0	0	0	0	0	0
LOC100012939	LOC100012939	0	0	0	0	0	0	0	0
LOC100012941	LOC100012941	0	0	0	0	0	0	0	0
LOC100012947	LOC100012947	0	0	0	0	0	0	0	0
LOC100012958	LOC100012958	1949.784	803.962	1023.881	961	911.003	622.953	849.936	756.003
LOC100012973	LOC100012973	0	0	0	0	0	0	0	0
LOC100012978	LOC100012978	12	3	1	5	4	5	2	1
LOC100012979	LOC100012979	0	0	0	0	0	0	0	0
LOC100012997	LOC100012997	3	4	2	1	2	0	1	0
LOC100013003	LOC100013003	0	0	0	0	0	0	0	1
LOC100013008	LOC100013008	179	183	178	129	103	106	110	120
LOC100013013	LOC100013013	0	0	0	0	0	0	0	0
LOC100013022	LOC100013022	0	0	0	0	0	0	0	0
LOC100013028	LOC100013028	0	0	0	0	0	0	0	0
LOC100013031	LOC100013031	4	3	3	1	3	2	1	1
LOC100013037	LOC100013037	0	0	0	0	0	0	0	0
LOC100013044	LOC100013044	1.001	1	1	4.001	3.002	2	2.002	6.004
LOC100013050	LOC100013050	305	195	240	202	215	195	204	177
LOC100013054	LOC100013054	0	0	0	0	0	0	0	0
LOC100013064	LOC100013064	0	0	0	0	0	0	0	0
LOC100013070	LOC100013070	0	0	0	0	0	0	0	0
LOC100013073	LOC100013073	355	278	223	180	183	173	170	204
LOC100013082	LOC100013082	0	0	0	0	0	0	0	0
LOC100013087	LOC100013087	3	2	2	0	2	2	0	3
LOC100013113	LOC100013113	3	0	0	1	1	0	0	0
LOC100013114	LOC100013114	10	2	8	3	11	3	3	7
LOC100013115	LOC100013115	0	0	0	0	0	0	0	0
LOC100013123	LOC100013123	0	0	0	0	2	0	1	0
LOC100013132	LOC100013132	24	28	16	16	27	22	31	12
LOC100013133	LOC100013133	746	639	650	524	527	497	459	532
LOC100013141	LOC100013141	0	0	0	0	0	0	0	0
LOC100013142	LOC100013142	813	644	648	554	583	523	533.209	490
LOC100013145	LOC100013145	0	0	0	0	0	0	0	0
LOC100013146	LOC100013146	0	0	0	0	0	0	0	0
LOC100013147	LOC100013147	0	0	0	0	0	0	0	0
LOC100013158	LOC100013158	1508	1167	1213	971	960	961	855	986
LOC100013176	LOC100013176	109	62	61	46	60	62	56	81
LOC100013196	LOC100013196	6	7	13	8	2	5	5	10
LOC100013197	LOC100013197	0	1	0	0	2	0	0	0
LOC100013233	LOC100013233	0	0	0	0	0	0	0	0
LOC100013256	LOC100013256	104.49	101.045	67.528	78.063	57.036	68.108	60.448	78.115
LOC100013265	LOC100013265	1	0	0	0	1	0	0	0
LOC100013286	LOC100013286	0	0	0	0	0	0	0	0
LOC100013287	LOC100013287	0	1	4	0	0	1	2	0
LOC100013294	LOC100013294	52.317	29	48.588	28	19	17	23.004	16
LOC100013297	LOC100013297	5075	2991	3539	3367	3048	2302	2520	2478
LOC100013304	LOC100013304	23699	18046	17614	14977	16767	14333	12397.999	14670
LOC100013310	LOC100013310	596	450.001	440	400	422.001	403	344	373
LOC100013319	LOC100013319	11	4	2	8	3	15	2	14
LOC100013336	LOC100013336	0	0	0	0	0	0	0	0
LOC100013341	LOC100013341	3071	2647	2702	2261	2432	2079	1860	1853
LOC100013350	LOC100013350	1	0	1	0	0	0	0	0
LOC100013358	LOC100013358	0	0	0	0	0	0	0	0
LOC100013359	LOC100013359	0	1	1	0	2	0	0	0
LOC100013367	LOC100013367	0	0	0	0	0	0	0	0
LOC100013374	LOC100013374	28658	22655	21183	17731	19936	17895	14591	17747
LOC100013378	LOC100013378	0	0	0	0	0	0	0	0
LOC100013379	LOC100013379	24.683	11	12.412	9	8	8	8.996	8
LOC100013386	LOC100013386	0	0	0	0	0	0	0	0
LOC100013400	LOC100013400	165.048	135	117.048	91	99	121	92	133
LOC100013408	LOC100013408	0	0	0	0	0	0	0	0
LOC100013411	LOC100013411	2	1	1	2	4	0	0	3
LOC100013418	LOC100013418	76.706	32.281	45.171	36	29.386	38.723	43	25
LOC100013421	LOC100013421	0	0	0	0	1	0	0	0
LOC100013427	LOC100013427	0	0	0	0	0	0	0	0
LOC100013439	LOC100013439	0	0	0	0	0	0	0	0
LOC100013446	LOC100013446	0	0	2	0	1	0	0	1
LOC100013449	LOC100013449	0	0	0	0	0	0	0	0
LOC100013455	LOC100013455	0	0	0	0	0	0	0	0
LOC100013458	LOC100013458	68	44	48	54	42	36	39	33
LOC100013467	LOC100013467	1934.853	1189	1271	1057	1203	957.888	907	997.85
LOC100013473	LOC100013473	91.793	49.117	46.065	17.015	33.881	30.039	27.04	34.38
LOC100013489	LOC100013489	0	0	0	0	0	0	0	0
LOC100013490	LOC100013490	133.154	117.918	115.409	91.396	93.678	85.549	67.142	93.685
LOC100013494	LOC100013494	248	174.001	201	186.999	189.001	149.001	168	147
LOC100013496	LOC100013496	10	4	4	2	2	0	1	3
LOC100013501	LOC100013501	345	282	366	266	278	250	238	280
LOC100013502	LOC100013502	1	0	0	0	0	0	0	0
LOC100013503	LOC100013503	400	242	268	223	262	245	256	248
LOC100013504	LOC100013504	0	0	0	0	0	0	0	0
LOC100013511	LOC100013511	0	2	0	0	0	0	0	0
LOC100013532	LOC100013532	0	0	0	0	0	0	0	0
LOC100013540	LOC100013540	0	0	0	0	0	0	0	0
LOC100013544	LOC100013544	0	0	0	0	0	0	0	0
LOC100013545	LOC100013545	0	0	0	0	0	0	0	0
LOC100013556	LOC100013556	0	0	0	0	1	0	0	0
LOC100013557	LOC100013557	25	16	25	11	12	9	17	13
LOC100013558	LOC100013558	0	1	0	0	0	0	0	0
LOC100013563	LOC100013563	0	0	0	0	0	0	0	0
LOC100013576	LOC100013576	0	0	0	0	0	0	0	0
LOC100013581	LOC100013581	0	0	0	0	0	0	0	0
LOC100013589	LOC100013589	8	4	12	1	4	10	6	4
LOC100013599	LOC100013599	4104.59	3592.919	3293.842	2506.663	2827.915	3022.895	2416.421	2869.704
LOC100013600	LOC100013600	0	0	0	1	1	0	0	1
LOC100013602	LOC100013602	2	0	0	1	0	0	0	0
LOC100013604	LOC100013604	83319	64526	61970	53727	59045	50717	44790	50498.973
LOC100013624	LOC100013624	0	0	0	0	0	0	0	0
LOC100013635	LOC100013635	0	0	1	0	0	0	0	0
LOC100013636	LOC100013636	0	0	0	0	1	0	0	0
LOC100013639	LOC100013639	14	6	8	7	7	9	13	2
LOC100013654	LOC100013654	0	0	0	0	0	1	0	0
LOC100013657	LOC100013657	8	2	7	5	5	4	7	3
LOC100013658	LOC100013658	0	0	0	0	0	0	0	0
LOC100013660	LOC100013660	0	0	0	1	0	0	0	0
LOC100013663	LOC100013663	10.023	11.008	8.007	5.001	4.003	4.938	1.001	6.006
LOC100013689	LOC100013689	0	0	0	0	0	0	0	0
LOC100013696	LOC100013696	0	0	0	0	0	0	0	0
LOC100013698	LOC100013698	0	4	1	1	5	0	1	1
LOC100013717	LOC100013717	1	2	0	0	0	0	0	0
LOC100013726	LOC100013726	0	0	0	0	0	0	0	0
LOC100013732	LOC100013732	1	3	0	1	1	0	0	0
LOC100013740	LOC100013740	3	0	0	0	0	0	0	0
LOC100013748	LOC100013748	27.881	33.502	36.876	26.885	36.659	27.625	31.079	29.843
LOC100013754	LOC100013754	0	0	0	0	0	0	0	0
LOC100013785	LOC100013785	0	0	0	0	0	0	0	0
LOC100013789	LOC100013789	3.016	0	0	0	0	0	0	0
LOC100013792	LOC100013792	0	0	0	0	0	0	0	0
LOC100013807	LOC100013807	3	0	0	0	0	1	0	0
LOC100013817	LOC100013817	3567	2823	3204	2420	2543	2492	2061.997	2379
LOC100013827	LOC100013827	16.119	16.498	13.124	5.115	16.308	8.375	3.921	2.157
LOC100013839	LOC100013839	0	0	1	0	0	0	0	0
LOC100013840	LOC100013840	5298	3701	3645	2980	3555	3050	2760	3113
LOC100013846	LOC100013846	1	0	0	0	0	0	0	0
LOC100013856	LOC100013856	0	0	0	0	0	0	0	0
LOC100013869	LOC100013869	0	0	0	0	0	0	0	0
LOC100013870	LOC100013870	89	62	91	66	73	49	45	44
LOC100013872	LOC100013872	0	0	0	1	0	0	0	0
LOC100013884	LOC100013884	0	0	0	0	0	0	0	0
LOC100013894	LOC100013894	366	302	290	209	245	242	194	236
LOC100013913	LOC100013913	0	0	0	0	0	0	0	0
LOC100013915	LOC100013915	59	36	24	36	22	19	35	21
LOC100013918	LOC100013918	0	0	0	0	0	0	0	0
LOC100013919	LOC100013919	0	0	0	0	0	0	0	0
LOC100013930	LOC100013930	0	0	0	0	0	0	0	0
LOC100013934	LOC100013934	0	0	0	0	0	0	0	0
LOC100013936	LOC100013936	753	511	617	510	503	449	459.001	418
LOC100013937	LOC100013937	0	0	0	0	0	0	0	0
LOC100013939	LOC100013939	1	1	0	0	0	2	0	0
LOC100013946	LOC100013946	0	0	1	0	0	0	0	0
LOC100013957	LOC100013957	0	0	0	0	0	0	0	0
LOC100013959	LOC100013959	62	53	68	42	59.033	37	39	57
LOC100013969	LOC100013969	0	2	0	0	1	0	0	0
LOC100013971	LOC100013971	0	0	0	0	0	0	0	0
LOC100013975	LOC100013975	0	0	0	0	0	0	0	0
LOC100013978	LOC100013978	0	0	0	0	0	0	0	0
LOC100013981	LOC100013981	7	2	5	3	5	6	0	4
LOC100013990	LOC100013990	3	0	5	0	3	1	0	1
LOC100014006	LOC100014006	0	0	0	0	0	0	0	1
LOC100014013	LOC100014013	0	0	0	0	0	0	0	0
LOC100014017	LOC100014017	254	191	178	164	182	155	164	161
LOC100014035	LOC100014035	636	428	506	363	430	392	312	351
LOC100014041	LOC100014041	1723	1253	1497	1349	1200	1049	1029	1038
LOC100014048	LOC100014048	1994.943	1896.985	1727.364	1292.84	1665.427	1528	1260.91	1507.968
LOC100014061	LOC100014061	1	0	0	0	0	0	1	0
LOC100014063	LOC100014063	1	0	0	0	0	0	0	0
LOC100014066	LOC100014066	0	0	0	0	0	0	0	0
LOC100014079	LOC100014079	0	0	0	0	0	0	0	0
LOC100014093	LOC100014093	77.431	34.976	59.936	51.214	35.833	28.371	48.601	42.451
LOC100014095	LOC100014095	0	0	0	0	0	0	0	0
LOC100014100	LOC100014100	0	0	0	0	0	0	0	0
LOC100014102	LOC100014102	0	0	0	0	0	0	0	0
LOC100014107	LOC100014107	0	0	0	0	0	0	0	0
LOC100014110	LOC100014110	0	0	0	0	0	0	0	0
LOC100014146	LOC100014146	0	0	0	0	0	0	0	0
LOC100014148	LOC100014148	0	0	0	0	0	0	0	0
LOC100014151	LOC100014151	15	2	7	3	6	10	1	5
LOC100014158	LOC100014158	79	54	68	44	48	27	39	46
LOC100014184	LOC100014184	0	0	0	0	0	0	0	0
LOC100014211	LOC100014211	2.096	2.027	0	2.064	1.026	1.015	1.02	1.029
LOC100014233	LOC100014233	1164	883	893	723	722	769	672	717
LOC100014238	LOC100014238	9791.999	6659.001	7065.999	5687.999	6539	5264	5194	5509
LOC100014247	LOC100014247	2	0	2	1	1	0	1	0
LOC100014294	LOC100014294	5	1	11	5	1	6	3	1
LOC100014300	LOC100014300	0	0	0	0	0	0	0	0
LOC100014303	LOC100014303	0	0	0	0	0	0	0	0
LOC100014318	LOC100014318	0	0	0	0	0	0	0	0
LOC100014324	LOC100014324	0	2.029	1.999	0	1.002	0	0	0
LOC100014327	LOC100014327	0	0	2	0	0	0	0	1
LOC100014384	LOC100014384	3106.468	2416.717	2233.337	1831.69	2108.298	2075.685	1582.149	1898.297
LOC100014394	LOC100014394	32	30	42	22	29	28	26	24
LOC100014413	LOC100014413	2267	2035.999	2067	1596.999	1713.999	1549	1572.001	1501
LOC100014414	LOC100014414	0	0	0	0	0	0	0	0
LOC100014421	LOC100014421	2360	1538	1689	1373	1637	1227	1288	1302
LOC100014426	LOC100014426	0	0	0	0	0	0	0	0
LOC100014428	LOC100014428	421.485	339.257	338.205	214.164	297.063	308	206	225
LOC100014433	LOC100014433	512	418	412	297	360	321	368	338.024
LOC100014452	LOC100014452	0	0	0	0	0	0	0	0
LOC100014454	LOC100014454	8	3	8	4	3	3	7	2
LOC100014456	LOC100014456	37	7	16	14	18	17.001	9	10
LOC100014462	LOC100014462	0	1	2	0	0	1	0	0
LOC100014472	LOC100014472	1027.877	840.038	842.51	679	784.57	645	585.536	668.948
LOC100014486	LOC100014486	0	0	0	0	0	0	0	0
LOC100014492	LOC100014492	9031	4578	5108	5046	5326	3634	4537	4445
LOC100014496	LOC100014496	534	322	318	278	307	275	229	246
LOC100014513	LOC100014513	0	0	4	0	0	0	0	0
LOC100014520	LOC100014520	3998	3004	3014	2515	2825	2394	2161	2221
LOC100014529	LOC100014529	0	0	0	0	0	0	0	0
LOC100014544	LOC100014544	410	289	327	272	292	223	254	285
LOC100014546	LOC100014546	0	0	0	0	1	0	0	0
LOC100014552	LOC100014552	8648	6346	6658	6071	6208	5701	4881	5470
LOC100014573	LOC100014573	3501	2849	2878	2297	2541	2244	1801	2166
LOC100014585	LOC100014585	0	0	0	0	0	0	0	0
LOC100014588	LOC100014588	0	0	1.002	0	1.005	1.014	0	0
LOC100014591	LOC100014591	2440.087	1870.408	1831.157	1509	1735.104	1449.166	1454.079	1674.119
LOC100014611	LOC100014611	545	276	298	275	301	247	218	248
LOC100014619	LOC100014619	1.015	0	0	0	1.003	2.135	0	3.01
LOC100014624	LOC100014624	56	30	39	28	34	40	23	26
LOC100014626	LOC100014626	124	92	90	70	90	75	71	76
LOC100014628	LOC100014628	0	0	0	0	0	0	0	0
LOC100014635	LOC100014635	1	1	4	2	2	3	1	2
LOC100014642	LOC100014642	0	0	0	0	0	0	0	0
LOC100014668	LOC100014668	1	5	4	3	1	1	0	6
LOC100014675	LOC100014675	1111	846	954	867.001	829	648.001	709	723
LOC100014688	LOC100014688	0	0	0	0	0	0	0	0
LOC100014694	LOC100014694	3.18	0	0	0	1.01	2.033	0	1.011
LOC100014704	LOC100014704	5	0	1	1	0	1	1	0
LOC100014714	LOC100014714	477	385	383	333	346	324	343.034	335
LOC100014724	LOC100014724	362	325	387	317	288	276	249	248
LOC100014733	LOC100014733	170.148	126.028	131.049	92.016	117.028	91.029	66.048	127.012
LOC100014741	LOC100014741	2843	2204	2426	1929	2081	1912	1695	1958
LOC100014747	LOC100014747	8	2	1	4	2	1	2	1
LOC100014763	LOC100014763	1184	1027	966	796.999	841	895	677	853
LOC100014784	LOC100014784	899	737	685	588	598	665	595	652
LOC100014813	LOC100014813	3	0	2	0	0	0	0	1
LOC100014815	LOC100014815	0	0	0	0	0	0	0	0
LOC100014825	LOC100014825	0	0	0	0	0	0	0	0
LOC100014836	LOC100014836	94	49	66	66	70	55	44	48
LOC100014841	LOC100014841	1	0	1	0	0	0	0	0
LOC100014842	LOC100014842	283	243	248	229	206	166.001	146	195
LOC100014847	LOC100014847	0	0	0	0	0	0	0	0
LOC100014857	LOC100014857	19	16	14	16	10	14	14	11
LOC100014879	LOC100014879	90.125	63.07	38.905	28.005	43.015	23.984	32.967	36.566
LOC100014880	LOC100014880	30994	21828	20955	17487	19542	17165	15923	18384
LOC100014881	LOC100014881	7330	5387	5528	4778	5353	4917	4493	5213.001
LOC100014888	LOC100014888	14	6	14	9	10	7	3	4
LOC100014890	LOC100014890	6411	4476	4623	3601	4271	3540	3409	3866
LOC100014891	LOC100014891	0	0	0	2	0	0	0	0
LOC100014895	LOC100014895	1391	1162	1193.078	990.999	996	996	851.001	1033
LOC100014897	LOC100014897	1015	867	968	715	783	734	688	686
LOC100014903	LOC100014903	0.999	0	0	0	0	0	0	0
LOC100014932	LOC100014932	1866	1511	1526	1211	1323	1146	1096	1189
LOC100014934	LOC100014934	4	5	3	6	0	0	4	0
LOC100014936	LOC100014936	5	3	2	1	5	1	4	11
LOC100014953	LOC100014953	1.006	3.067	2.007	1.001	3.008	0	0	0
LOC100014960	LOC100014960	24936	18302	20957	19430	18441	16677	15778	15406
LOC100014967	LOC100014967	1	0	0	0	0	0	0	0
LOC100014968	LOC100014968	8	9	9	11	6	4	4	2
LOC100014969	LOC100014969	96	61	45	41	40	35	34	42
LOC100014976	LOC100014976	0	0	0	0	0	0	0	0
LOC100014981	LOC100014981	59	15	16	12	10	14	11	11
LOC100014996	LOC100014996	2.002	2.999	0	1	0	2.001	3.003	2.01
LOC100015002	LOC100015002	7	4	3	3	3	5	8	11
LOC100015059	LOC100015059	12	8.01	14.008	2.001	8.007	12.01	6.002	8.003
LOC100015078	LOC100015078	3630	2749	3045	2570	2844	2345	2338	2231
LOC100015082	LOC100015082	1	1	1	0	0	0	0	0
LOC100015103	LOC100015103	3	3	1	1	2	2	0	1
LOC100015105	LOC100015105	752.675	489.192	444.071	434.588	477.512	358.527	370.341	397.919
LOC100015106	LOC100015106	0	0	0	0	0	0	0	0
LOC100015119	LOC100015119	1	1	0	0	0	1	0	0
LOC100015122	LOC100015122	0	0	1	0	0	0	0	0
LOC100015149	LOC100015149	0	0	0	0	0	0	0	0
LOC100015157	LOC100015157	0	0	0	0	0	0	0	0
LOC100015163	LOC100015163	1014	875	849.001	705	716	702	620	644
LOC100015166	LOC100015166	26	15	7	10	14	7	12	4
LOC100015172	LOC100015172	4005	3285.001	3348	2587	2940	2630	2409.001	2424.001
