gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
ABTB3	ABTB3	143	121	83	79	102	63	64	83
ACAA1	ACAA1	3581	2890	3269	2484	2700	2192	2092	2040
ACAA2	ACAA2	5571	4125	4225	3684	3766	3226	3041	3422
ACACA	ACACA	11628.999	9862	10089	7988.001	7727	7479.001	7163.998	7926.001
ACACB	ACACB	1119	965	1109.999	864	803	775	747	724
ACAD10	ACAD10	273	132	175	172	155	123	144	131
ACAD11	ACAD11	228	132	134	128	128	135	106	156
ACAD8	ACAD8	2534	1839	1912	1509	1604	1449	1396	1495
ACAD9	ACAD9	4444	3369	3315	2789	3101	2677	2427	2801
ACADL	ACADL	3770	2674	2882	2451	2609	2142	2114	2250
ACADM	ACADM	845	546	525	542	461	339	420	413
ACADS	ACADS	225	190	240	142	161	134	127	145
ACADSB	ACADSB	4361	3296	3078	2452	2946	2568	2403	2734
ACADVL	ACADVL	6271	4858	4976	4291	4584	3935	3569	3957
ACAN	ACAN	1	1	0	2	0	0	3	2
ACAP1	ACAP1	103	117	112	82	72	81	85.001	53
ACAP2	ACAP2	829	742	754	654	672	613	473	624
ACAT1	ACAT1	1539	951	963	816	906	624	717	770
ACAT2	ACAT2	5682	3335	3650	2988	3234	2553	2728	2740
ACBD3	ACBD3	3799	2793	2727	2362	2575	2284	2105	2236
ACBD4	ACBD4	162	128	148	120	133	112	105	124
ACBD5	ACBD5	2166	1646	1620	1330	1469	1283	1202	1398
ACBD6	ACBD6	3632	2795	2676	2259	2454	2183	1908	2322
ACBD7	ACBD7	4	2	4	4	2	1	0	0
ACCS	ACCS	1492	1225	1323	1089	1061	998	908	958
ACD	ACD	1191	855	982	863.999	899.999	631	653.999	655
ACE	ACE	0	0	0	0	0.999	0	3	0.999
ACE2	ACE2	1173.999	919	918	696	799	721	686	793
ACER1	ACER1	0	0	1	1	1	0	0	0
ACER2	ACER2	2035	1509	1581	1338	1445	1283	1235	1279
ACER3	ACER3	1337	1011	1136	1067	999	809	743	854
ACHE	ACHE	3	1	1	5	3	1	1	3
ACIN1	ACIN1	11700	9172	9859	7870	8391.999	7487.001	6680.999	7348
ACKR1	ACKR1	0	0	0	0	0	0	0	0
ACKR2	ACKR2	2	0	0	0	3	1	1	0
ACKR3	ACKR3	1725	1412	1497	1276	1349	1132	1046	1137
ACKR4	ACKR4	6	3	13	12	5	6	5	9
ACMSD	ACMSD	1	2	1	1	0	1	2	3
ACO1	ACO1	6472	4814	4618	3746	4257	3712	3502	4094
ACO2	ACO2	13554	10928	11155	9399	9761	8932	7219	7989
ACOD1	ACOD1	0	0	0	0	0	0	0	0
ACOT11	ACOT11	247	222	191	141	167	143	121	171
ACOT12	ACOT12	3	2	1	0	2	0	0	0
ACOT13	ACOT13	342	255	241	216	255	172	187	186
ACOT7	ACOT7	871	505	578.999	503	501	377	431	422
ACOT8	ACOT8	495	378	415	327	325	309	266	283
ACOT9	ACOT9	2022	1368	1448	1109	1312.999	1102	1076	1211
ACOX1	ACOX1	4996.001	3713	3954	3213	3555	3212	2956	3422
ACOX3	ACOX3	815	641	608	493	603	487	458	519
ACOXL	ACOXL	12	3	8	7	13	3	4	9
ACP1	ACP1	9282.571	5629.628	6036.732	5141.835	5891.926	3986.86	4586.876	5150.807
ACP2	ACP2	1247	1023	1094	1024	997	911	740	825
ACP3	ACP3	0	0	0	0	0	0	0	0
ACP4	ACP4	9	5	13	7	10	7	1	2
ACP5	ACP5	2107	1518	1538	1374	1490	1332	1156	1374
ACP6	ACP6	1015	861	859	813	704	706	624	728
ACP7	ACP7	256	296	288	231	214	225	186	165
ACRBP	ACRBP	18	22	16	23	24	8	13	7
ACSBG1	ACSBG1	0	0	0	0	1	0	1	0
ACSBG2	ACSBG2	20	19	15	6	7	11	12	16
ACSF2	ACSF2	88	51	49	52	55	44	62	44
ACSF3	ACSF3	633	470	482	422	449	359	328	388
ACSL1	ACSL1	17917	13042	13186	11375	12961	11040.001	10012	11284
ACSL3	ACSL3	15349.999	10410	11255.999	9323	11179	9555	8925.999	9431
ACSL4	ACSL4	9107	6855.001	6707	5782.999	6088	5654	5126	5482.001
ACSL5	ACSL5	594	363	409	334	508	302	329	355
ACSL6	ACSL6	295	208	215	197	200	158	221	184
ACSS1	ACSS1	13	17	12	20	12	9	8	13
ACSS2	ACSS2	9020	7509.001	7909	6337.001	6668	5626	5772	5978.999
ACSS3	ACSS3	0	0	0	0	0	0	0	0
ACTA1	ACTA1	11	2	14	2	0	2	1	0
ACTA2	ACTA2	6	2	10	3	2	10	3	9
ACTB	ACTB	2077.705	1520.163	1482.314	1081.84	1367.154	1250.381	1032.625	1090.489
ACTBL2	ACTBL2	0	0	0	0	0	0	0	0
ACTC1	ACTC1	5	7	2	9	10	3	1	2
ACTG1	ACTG1	152714	115669	116585	95878	103725.001	92286	86505	90763
ACTG2	ACTG2	7	5	16	12	5	4	6	7
ACTL10	ACTL10	1	0	0	0	1	0	0	0
ACTL6A	ACTL6A	10028	7415	7329	5919	6887	5743	5161	6117
ACTL6B	ACTL6B	2	1	2	1	2	2	1	2
ACTL7A	ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	ACTL7B	14	11	9	7	9	8	1	2
ACTL8	ACTL8	1	2	2	1	1	1	1	0
ACTL9	ACTL9	0	0	2	3	3	2	3	2
ACTMAP	ACTMAP	1041	904	960	736	804	714	590	628
ACTN1	ACTN1	23301.001	18018	17602.999	15285.999	15086	13961.999	12173	14154
ACTN2	ACTN2	6	8	2	7	5	4	1	3
ACTN3	ACTN3	175	169	179	132	106	123	113	122
ACTN4	ACTN4	21721.995	17578	16887.996	14540.999	15376	14112.001	11262.001	13444
ACTR10	ACTR10	19274	13813	13746	11428	13122	11033	10113	11796
ACTR1A	ACTR1A	7543.573	6450	6053	5177	5890	5152	4433	5349
ACTR1B	ACTR1B	1833.427	1447	1304	1052	1245	1131	1031	1167
ACTR2	ACTR2	25005	17987	16955	14136	16940	14128	12840	15186
ACTR3	ACTR3	30451	20763	20482	17299	20287	16560	16248	17978
ACTR3B	ACTR3B	546	395	492	394	392	350	330	308
ACTR5	ACTR5	2306	1690	1906	1473	1621	1324	1348	1401
ACTR6	ACTR6	1591.999	1168	1062	948	1116	845	873	941
ACTR8	ACTR8	1762	1691	1730	1482	1281	1373	1169	1326
ACTRT3	ACTRT3	0	0	0	0	0	0	0	0
ACVR1	ACVR1	1728	1128	1267	1077	1268	1032	964	1076
ACVR1B	ACVR1B	1959	1537	1484	1282	1317	1306	1096	1276
ACVR1C	ACVR1C	3	1	3	0	0	1	3	0
ACVR2A	ACVR2A	2523	1849	1876	1680	1818.666	1533	1457	1487
ACVR2B	ACVR2B	674	605	491	503	505	457	425	537
ACVRL1	ACVRL1	10	8	12	9	9	6	6	2
ACY1	ACY1	1015	743	762	597	695	641	584	572
ACY3	ACY3	13	7	7	7	12	2	7	6
ACYP1	ACYP1	2707	1741	1555	1477	1581	1274	1280	1400
ACYP2	ACYP2	468.887	309.416	336.898	307	314.122	252	274.749	226
ADA	ADA	89	74	70	58	71	62	58	46
ADA2	ADA2	797	470	666	517	485	446	447	418
ADAD2	ADAD2	19	18	19	12	6	6	11	8
ADAL	ADAL	680	464	500	395	411	383	367	446
