gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000029086.16,Prom1,-0.5258641319696465,0.016352624159348267,Down,Neural_SC
ENSMUSG00000042745.10,Id1,0.3890835252237369,0.03658554889644423,Up,General_Stemness
ENSMUSG00000007872.4,Id3,0.31309283092130114,0.06292789534267773,NS,General_Stemness
ENSMUSG00000003032.9,Klf4,0.2570078077470829,0.12178623926422298,NS,Pluripotency
ENSMUSG00000030029.15,Lrig1,-0.22212929455127198,0.1670953486429943,NS,Intestinal_SC
ENSMUSG00000025809.16,Itgb1,-0.22861995196651838,0.16796537050304322,NS,Mesenchymal_SC
ENSMUSG00000000567.6,Sox9,0.21837696618043964,0.17898410785826435,NS,Neural_SC
ENSMUSG00000027611.13,Procr,0.20950766840375534,0.18925945359906823,NS,Hematopoietic_SC
ENSMUSG00000076431.5,Sox4,-0.1963674179179777,0.24136293319413113,NS,General_Stemness
ENSMUSG00000015053.15,Gata2,0.16128513166339717,0.32902530100176536,NS,Hematopoietic_SC
ENSMUSG00000022026.8,Olfm4,0.10383157595172947,0.383760701636619,NS,Intestinal_SC
ENSMUSG00000032011.6,Thy1,0.13942001442825136,0.4160387030010628,NS,Mesenchymal_SC
ENSMUSG00000015355.14,Cd48,-0.1418951499330502,0.42229355473078667,NS,Hematopoietic_SC
ENSMUSG00000022346.18,Myc,0.1387962924596162,0.436417374039627,NS,Pluripotency
ENSMUSG00000026728.10,Vim,0.12518656127068825,0.4905159190653233,NS,Neural_SC
ENSMUSG00000004891.17,Nes,-0.09741248563989713,0.518817071067939,NS,Neural_SC
ENSMUSG00000075602.11,Ly6a,0.11896324846360332,0.5191338145410503,NS,Hematopoietic_SC
ENSMUSG00000026814.17,Eng,0.099316132994756,0.5809560046280382,NS,Mesenchymal_SC
ENSMUSG00000047139.10,Cd24a,-0.09430169903195451,0.5863404413881171,NS,General_Stemness
ENSMUSG00000026923.16,Notch1,0.09537381255359624,0.5902232373322227,NS,General_Stemness
ENSMUSG00000050966.10,Lin28a,-0.06357972719047827,0.6632807299338402,NS,Pluripotency
ENSMUSG00000053279.9,Aldh1a1,0.07118152758387955,0.665309967345943,NS,Mesenchymal_SC
ENSMUSG00000053279.9,Aldh1a1,0.07118152758387955,0.665309967345943,NS,General_Stemness
ENSMUSG00000028717.13,Tal1,0.07294912941914115,0.7159748015532802,NS,Hematopoietic_SC
ENSMUSG00000054256.12,Msi1,0.049021830160745614,0.7857604412953452,NS,Neural_SC
ENSMUSG00000032420.9,Nt5e,-0.034471718499467195,0.8407776613290139,NS,Mesenchymal_SC
ENSMUSG00000005087.18,Cd44,-0.039182376281592136,0.859327166466098,NS,Mesenchymal_SC
ENSMUSG00000027878.12,Notch2,-0.03560826337845867,0.8633244639960796,NS,General_Stemness
ENSMUSG00000015134.16,Aldh1a3,-0.031058610864833403,0.8819870133988922,NS,General_Stemness
ENSMUSG00000005672.13,Kit,0.032892746088729934,0.8903682674078793,NS,Hematopoietic_SC
ENSMUSG00000000142.16,Axin2,-0.02162928441643809,0.9175772364721317,NS,Intestinal_SC
ENSMUSG00000029231.16,Pdgfra,-0.004211394441708559,0.9884043766235227,NS,Mesenchymal_SC
ENSMUSG00000016494.10,Cd34,4.2015469701491026e-4,0.9997372430174917,NS,Hematopoietic_SC
