sample	construct_reads	HPV16	EGFP	Luc
L1L2_3M	0	0	0	0
L1L2H_3M	45	16	0	71
L1L2_12M	0	0	0	0
L1L2H_12M	83	41	0	123
L1L2_18M	0	0	0	0
L1L2H_18M	58	37	0	75
