taxon	HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
Acetatifactor_SGB41549	0	0.00231	3.82405	0.3945	5.0122	0	0	9e-05	0.23404	0
Acetatifactor_SGB94872	0	0	0.00819	0.02811	0.02174	0	0	0.00173	0	0
Acetatifactor_aquisgranensis	0.01861	0.03358	0.01714	0.00864	0.0236	0.06888	0.04612	0.0361	0.00104	0.04443
Acetatifactor_muris	0.04556	0.02287	0	0	0	0.07862	0.04965	0.06516	0	0.03034
Acutalibacter_intestini	0.001	0.01296	0	0	0	0.00032	0.02381	0.00528	0	0.00045
Acutalibacter_muris	0	0.00167	0	0	0	0	0.00165	0	0	0
Acutalibacter_sp_1XD8_36	0.5252	1.25246	0	0	0	0.58942	1.06707	0.35868	0	0.72363
Adlercreutzia_SGB63103	0	0	0.53488	0.77396	1.05592	0	0	0	0.64466	0
Adlercreutzia_SGB94949	0	0	0.10172	0.02599	0.10526	0	0	0	0.03566	0
Adlercreutzia_caecimuris	0.3235	0.33439	0	0	0	0.22486	0.38114	0.12501	0	0.49514
Adlercreutzia_equolifaciens	0	0	0.03485	0.00953	0.03599	0	0	0	0.01541	0
Adlercreutzia_mucosicola	0.17074	0.03656	0	0	0	0.21915	0.16148	0.05892	0	0.1341
Adlercreutzia_muris	0.05175	0.08339	0	0	0	0.03846	0.05576	0.05309	0	0.12759
Akkermansia_muciniphila	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
Alistipes_muris	1.0867	3.28422	0	0	0	2.05943	1.33202	2.75935	0	2.93495
Anaerotruncus_colihominis	0.10903	0.12987	0	0	0	0.18816	0.37899	0.03364	0	0.2422
Anaerotruncus_sp_1XD42_93	0.28393	0.83458	0.50732	0.16787	0.79581	0.4753	0.64619	0.13436	0.18977	0.5899
Bacillota_unclassified_SGB43541	0.46238	0.43093	0.06783	0.07773	0.05135	1.14929	1.03124	0.48356	0.0392	1.09994
Bacillota_unclassified_SGB43543	0.02451	0.02103	0.17073	0.2434	0.0763	0.07726	0.01517	0.12942	0.21456	0.20807
Bacillota_unclassified_SGB43546	3.08914	3.16832	2.25304	1.93205	3.0589	4.5675	3.04909	1.61017	0.96441	3.98123
Bacillota_unclassified_SGB43550	0.03278	0.08226	0.11009	0.13773	0.12144	0.11333	0.05645	0.07479	0.03351	0.07955
Bacillota_unclassified_SGB63211	0.29703	0.38705	0	0.15172	0	0.40879	0.14746	0.20144	0.2123	0.51679
Bacteria_unclassified_SGB41673	0	0	0	0	0.00988	0	0	0	0	0
Bacteroides_acidifaciens	0	0	0	0	0	0	0.27702	0	0	0
Bifidobacterium_pseudolongum	0.11151	0.19171	0.0663	0	0.01124	0.19859	0	0.04885	0.20139	0.29689
Clostridia_bacterium	1.08648	0.30449	0.78101	0.80234	1.1322	0.54185	0.88273	0.46142	0.04169	0.32817
Clostridiales_bacterium	0.07128	0.02681	0.08118	0.19994	0.24548	0.1022	0.06099	0.15565	0.00598	0.02829
Clostridium_SGB65123	0	0.00965	0.00187	0	0	0.00416	0	0	0	0.00401
Coriobacteriaceae_bacterium	0.07806	0.11826	0	0	0	0.09106	0.04762	0.06526	0	0.25662
Dubosiella_newyorkensis	4.76807	0.17866	0.39614	14.584	0.22934	0.44265	0.6883	3.12731	0.09008	0.21942
Enterococcus_faecalis	0.00096	0	0	0.00391	0.00365	0	0	0.07416	0	0
Erysipelotrichales_bacterium	0.02429	0	0.00033	0.01625	0.05617	0	0.00134	0.04175	0	0
Eubacteriaceae_bacterium	0	0.00512	0	0	0.06173	0	0	0.02263	0	0
Faecalibaculum_rodentium	1.7821	0.84064	0	0	0	0.69352	0.39658	0.55288	0	1.48521
GGB113719_SGB156132	0	0.00096	0.00238	0.01385	0.01975	0.00283	0.00303	0.01259	0	0
GGB114909_SGB158297	0	0	5e-05	0	0	0	0	0	0	0
GGB115370_SGB161393	0	0	0.05986	0	0	0	0	0	0	0
GGB115673_SGB41496	0	0	3.08527	1.19463	0	0	0	0	0.35524	0
GGB128694_SGB159148	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
GGB140903_SGB43521	0	0.95041	0	0	0	0	0	1.11936	0	2.80378
GGB140903_SGB63218	0.02551	0.05336	0	0.01631	0	0.0076	0.10647	0.22401	0	0.24588
GGB142060_SGB41428	0	0	0	0	0	0	0	0.00966	0	0
GGB1503_SGB2082	0	0	0	4.18908	0	0	0	0	1.55682	0
GGB20149_SGB29430	1.48337	0.33776	2.71532	5.95662	3.92994	0.35536	0.20114	0.45084	0.28975	0.11879
GGB22635_SGB63107	0	0.01009	0.04036	0.00186	0.03383	0.00515	0.00641	0.00557	0.07767	0.01787
GGB27876_SGB40310	5.16294	9.44961	0	0	0	5.90681	6.60931	3.56895	0	7.37684
GGB27878_SGB40312	0.071	0.14579	0.26268	0.13535	0.62585	0.06461	0.01336	0.06886	0.51412	0.07841
GGB27918_SGB40356	21.87801	35.57683	10.27973	8.18519	13.21398	13.70351	28.38399	29.24998	42.25459	15.94278
GGB28382_SGB40962	0	0	0	0	0	0	0	0.15282	0	0
GGB28418_SGB41001	0	0	0.22756	0.16026	0.53769	0	0	0.00302	0.07047	0.00385
GGB28436_SGB41019	0	0.00473	0.0018	0.00277	0.01076	0.00647	0	0.01099	0.00515	0.00018
GGB28456_SGB41039	0	0	0	0	0	0	0.00979	0.01028	0	0
GGB28632_SGB41253	0	0	0	0.00159	0	0	0	9e-05	0	0
GGB28646_SGB102426	0	0.00933	0	0	0	0.00725	0	0	0	0
GGB28695_SGB41326	1.85971	0.01312	0	0	0	0.03449	0.10977	1.41285	0	0.01013
GGB28765_SGB41414	0.09816	0	0	0.00434	0	0.01379	0.09404	0.026	0	0.00063
GGB28769_SGB41421	0.00732	0	0	0.00838	0.0146	0.00333	0.00029	0	0	0
GGB28776_SGB41429	0	0	0.01738	0.01822	0.02192	0	0	0	0	0
GGB28778_SGB102277	0.04147	0.00196	0	0	0	0.03086	0.02767	0.01488	0	0.0014
