#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_mpa_vJan25.metaphlan	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_mpa_vJan25.metaphlan	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_mpa_vJan25.metaphlan	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_mpa_vJan25.metaphlan	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_mpa_vJan25.metaphlan
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	57.4254	36.68977	72.18755	73.87456	75.61338	69.37431	42.23486	41.91669	17.17353	61.16348
k__Bacteria|p__Bacteroidota	29.49643	50.67343	13.92098	15.32856	20.28402	22.14087	38.86229	38.72331	55.67813	26.85773
k__Bacteria|p__Verrucomicrobiota	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Actinomycetota	1.49178	1.91543	0.93101	1.23372	1.48314	1.28341	0.66934	1.5034	1.28557	3.51223
k__Bacteria|p__Bacteria_unclassified	0.16728	0.01265	0.1871	0.38352	0.7894	0.01884	0.18238	0.01233	0.01937	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	38.03495	28.3584	64.7439	52.18114	64.41392	56.83908	32.66982	31.05596	12.76868	49.79715
k__Bacteria|p__Bacteroidota|c__Bacteroidia	29.49643	50.67343	13.92098	15.32856	20.28402	22.14087	38.86229	38.72331	55.67813	26.85773
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6.59475	1.02229	0.3974	14.60025	0.29143	1.14331	1.10845	3.72195	0.09038	1.71048
k__Bacteria|p__Firmicutes|c__CFGB1260	4.14461	0.21233	0.0	0.0	0.0	0.37011	0.4245	2.35177	0.0	0.09353
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	3.90583	4.13924	2.60169	2.54262	3.30799	6.31617	4.2994	2.58805	1.46399	6.04852
k__Bacteria|p__Firmicutes|c__Bacilli	2.48117	0.27052	0.47854	0.52471	1.2565	0.18829	0.17155	0.49992	0.11829	0.37092
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	1.38026	1.72372	0.86471	1.23372	1.4719	1.08482	0.66934	1.45455	1.08417	3.21534
k__Bacteria|p__Firmicutes|c__CFGB72709	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
k__Bacteria|p__Firmicutes|c__CFGB9491	0.29576	0.10676	0.0	0.0	0.0	0.01745	0.4102	0.04506	0.0	0.00759
k__Bacteria|p__Firmicutes|c__CFGB9827	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
k__Bacteria|p__Firmicutes|c__CFGB9657	0.22578	0.04038	0.0	0.0	0.0	0.03428	0.0	0.01224	0.0	0.00738
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.16728	0.01265	0.1871	0.38352	0.7894	0.01884	0.18238	0.01233	0.01937	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.11151	0.19171	0.0663	0.0	0.01124	0.19859	0.0	0.04885	0.20139	0.29689
k__Bacteria|p__Firmicutes|c__CFGB3038	0.08576	0.07284	0.08378	0.08257	0.09711	0.10254	0.0565	0.06417	0.07138	0.10818
k__Bacteria|p__Firmicutes|c__CFGB77250	0.054	0.04763	0.22191	0.09945	0.28397	0.21896	0.03701	0.08683	0.04237	0.18911
k__Bacteria|p__Firmicutes|c__CFGB78699	0.05337	0.09269	0.13127	0.11476	0.28113	0.14862	0.26142	0.19231	0.25394	0.1905
k__Bacteria|p__Firmicutes|c__CFGB2997	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
k__Bacteria|p__Firmicutes|c__CFGB78576	0.03829	0.03479	0.0	0.0	0.0	0.05303	0.00257	0.03132	0.0	0.04036
k__Bacteria|p__Firmicutes|c__CFGB28941	0.03162	0.18354	0.74139	0.71574	0.79203	0.07452	0.8504	0.10949	0.16707	0.15108
k__Bacteria|p__Firmicutes|c__CFGB3023	0.03039	0.06586	0.0	0.0	0.0	0.043	0.03535	0.01471	0.0	0.03827
k__Bacteria|p__Firmicutes|c__CFGB12479	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
k__Bacteria|p__Firmicutes|c__CFGB9633	0.01176	0.0	0.13944	0.4303	0.22341	0.06842	0.12369	0.0431	0.0	0.00652
k__Bacteria|p__Firmicutes|c__CFGB79330	0.00705	0.0	0.0	0.00212	0.00023	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	29.49643	50.67343	13.92098	15.32856	20.28402	22.14087	38.86229	38.72331	55.67813	26.85773
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	20.788	7.7982	34.57894	29.88346	35.93173	23.58318	15.9896	17.92246	2.27406	16.29296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	15.85511	20.17796	29.13312	21.13578	26.86827	32.56006	15.6387	12.60625	10.40675	33.09638
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	6.59475	1.02229	0.3974	14.60025	0.29143	1.14331	1.10845	3.72195	0.09038	1.71048
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260	4.14461	0.21233	0.0	0.0	0.0	0.37011	0.4245	2.35177	0.0	0.09353
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified	3.90583	4.13924	2.60169	2.54262	3.30799	6.31617	4.2994	2.58805	1.46399	6.04852
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.48117	0.27052	0.47854	0.52471	1.2565	0.18829	0.17155	0.49992	0.11829	0.37092
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	1.28325	0.31572	0.85939	1.03733	1.33031	0.60016	0.93589	0.50713	0.04456	0.33828
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
