final_bin	group	origin_binner	raw_bin_matched	completeness_pct	contamination_pct	quality_tier_MIMAG	genome_size_bp	n50_bp	gc_pct	num_contigs	gtdb_classification
MEGAHIT-MaxBin2Refined-group-IF.115_sub.fa	IF	MaxBin2	MEGAHIT-MaxBin2-group-IF.115.fa	82.24	4.91	Medium	2511032	33037	64.2	132	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910577915
MEGAHIT-MaxBin2Refined-group-IF.122.fa	IF	MaxBin2	MEGAHIT-MaxBin2-group-IF.122.fa	84.79	0.07	Medium	2703643	41661	56.05	135	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525
MEGAHIT-MaxBin2Refined-group-IF.130.fa	IF	MaxBin2	MEGAHIT-MaxBin2-group-IF.130.fa	89.4	0.6	Medium	2102484	6482	56.68	479	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis_A
MEGAHIT-MaxBin2Refined-group-IF.132_sub.fa	IF	MaxBin2	MEGAHIT-MaxBin2-group-IF.132.fa	77.53	0.92	Medium	1110681	2879	40.85	452	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp009774735
MEGAHIT-MetaBAT2Refined-group-AL.10.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.10.fa	89.47	1.13	Medium	1758728	34509	56.77	81	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp022800755
MEGAHIT-MetaBAT2Refined-group-AL.103.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.103.fa	97.29	3.17	High	3994845	105704	51.58	61	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485
MEGAHIT-MetaBAT2Refined-group-AL.117_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.117.fa	80.03	3.53	Medium	3530006	7399	47.0	677	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Petralouisia;s__
MEGAHIT-MetaBAT2Refined-group-AL.123.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.123.fa	96.88	0.0	High	2327725	49772	52.64	79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910588065
MEGAHIT-MetaBAT2Refined-group-AL.125_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.125.fa	93.28	3.45	High	2447122	19053	63.32	205	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910579965
MEGAHIT-MetaBAT2Refined-group-AL.134.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.134.fa	92.53	3.4	High	2895437	61952	47.08	79	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Claveliimonas;s__Claveliimonas sp910588745
MEGAHIT-MetaBAT2Refined-group-AL.136_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.136.fa	94.11	6.18	Medium	2408505	14415	60.24	295	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp013316495
MEGAHIT-MetaBAT2Refined-group-AL.142.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.142.fa	96.22	5.62	Medium	3674152	28801	47.8	203	
MEGAHIT-MetaBAT2Refined-group-AL.155.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.155.fa	97.17	0.03	High	1952526	220340	58.91	13	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Leptogranulimonas;s__Leptogranulimonas caecicola
MEGAHIT-MetaBAT2Refined-group-AL.167.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.167.fa	9.36	1.58	Low	236166	31473	62.2	10	
MEGAHIT-MetaBAT2Refined-group-AL.169.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.169.fa	77.98	5.34	Medium	2118699	4887	63.57	518	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp910585525
MEGAHIT-MetaBAT2Refined-group-AL.173.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.173.fa	94.69	9.66	Medium	3260787	31848	61.66	161	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910587785
MEGAHIT-MetaBAT2Refined-group-AL.176.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.176.fa	100.0	5.18	Medium	2828783	121970	55.78	47	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
MEGAHIT-MetaBAT2Refined-group-AL.24.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.24.fa	94.09	0.11	High	3261652	44332	52.61	135	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587755
MEGAHIT-MetaBAT2Refined-group-AL.29.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.29.fa	83.19	1.41	Medium	2491385	45968	58.33	82	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910580045
MEGAHIT-MetaBAT2Refined-group-AL.43.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.43.fa	99.99	0.04	High	1864214	68411	34.35	54	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp910589675
MEGAHIT-MetaBAT2Refined-group-AL.44_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.44.fa	72.91	0.29	Medium	2283287	14322	59.25	247	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp022793355
MEGAHIT-MetaBAT2Refined-group-AL.47.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.47.fa	84.79	0.03	Medium	2633640	98110	43.04	45	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp910589105
MEGAHIT-MetaBAT2Refined-group-AL.54_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.54.fa	96.08	0.33	High	2204627	37142	54.87	82	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium
MEGAHIT-MetaBAT2Refined-group-AL.57.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.57.fa	95.13	0.19	High	2521469	43096	55.46	99	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395
MEGAHIT-MetaBAT2Refined-group-AL.58_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.58.fa	82.21	2.44	Medium	2170496	5800	62.41	463	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter;s__Parvibacter sp910588725
MEGAHIT-MetaBAT2Refined-group-AL.75.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.75.fa	98.68	0.7	High	2918027	126420	53.49	38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910589485
MEGAHIT-MetaBAT2Refined-group-AL.8.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.8.fa	84.11	0.26	Medium	2314569	6791	56.26	443	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecivivens;s__Faecivivens sp022793675
MEGAHIT-MetaBAT2Refined-group-AL.81_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.81.fa	90.84	2.18	High	3736536	20929	47.98	333	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp009917455
MEGAHIT-MetaBAT2Refined-group-AL.85_sub.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.85.fa	76.58	0.68	Medium	1463040	8965	48.4	245	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Avispirillum;s__Avispirillum sp011957885
