final_bin	group	origin_binner	raw_bin_matched	completeness_pct	contamination_pct	quality_tier_MIMAG	genome_size_bp	n50_bp	gc_pct	num_contigs	gtdb_classification
MEGAHIT-SemiBin2Refined-group-AL.165.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_165.fa	95.08	0.46	High	1651844	53219	55.24	51	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__QANA01;s__QANA01 sp910588425
MEGAHIT-SemiBin2Refined-group-AL.17.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_17.fa	87.12	1.44	Medium	2642930	24216	44.52	180	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia intestinalis
MEGAHIT-SemiBin2Refined-group-AL.180.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_180.fa	94.09	3.21	High	2559025	14814	55.27	272	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis_A
MEGAHIT-SemiBin2Refined-group-AL.182.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_182.fa	90.4	2.64	High	2420590	44011	58.64	112	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp022799035
MEGAHIT-SemiBin2Refined-group-AL.192.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_192.fa	99.4	0.03	High	3032771	28174	58.13	226	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__Paludihabitans sp022791945
MEGAHIT-SemiBin2Refined-group-AL.194.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_194.fa	99.44	1.84	High	3238703	71170	44.05	110	d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185;s__UBA7185 sp910585405
MEGAHIT-SemiBin2Refined-group-AL.195.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_195.fa	95.23	4.48	High	2492692	76741	58.6	86	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp910584805
MEGAHIT-SemiBin2Refined-group-AL.2.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_2.fa	80.0	3.34	Medium	2410609	6362	55.52	491	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lientehia;s__Lientehia sp949740745
MEGAHIT-SemiBin2Refined-group-AL.202.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_202.fa	81.73	0.3	Medium	2763191	59415	49.65	138	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__Anaerotignum_A sp910576545
MEGAHIT-SemiBin2Refined-group-AL.209_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_209.fa	95.67	13.24	Low	3814509	47435	57.07	205	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910587645
MEGAHIT-SemiBin2Refined-group-AL.22.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_22.fa	94.2	0.41	High	2980925	29153	47.06	176	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella muris_A
MEGAHIT-SemiBin2Refined-group-AL.225.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_225.fa	91.44	0.22	High	2780511	20383	58.62	225	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp022800665
MEGAHIT-SemiBin2Refined-group-AL.229.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_229.fa	89.35	2.77	Medium	2676225	79899	62.34	57	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia sp910585575
