gene_id,gene_name,cDC1_Tumor_1,cDC1_Tumor_2,cDC1_Tumor_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000020265.17,Sumo3,4639.362,4927.576,5380.259,5367.38,5963.85,5613.732,4684.173689752982,-0.49812689857903886,0.03958664455036544,1.7129274355467114e-36,5.1249467801935607e-36,Down
ENSMUSG00000024325.9,Ring1,1374,1540.999,1629,1767,1929,1797,1727.9444356234858,-0.5904592842163499,0.04697983759730358,1.7861105906622502e-36,5.342513131694352e-36,Down
ENSMUSG00000033323.15,Ctdp1,1067,1085,1208,1509,1483,1413,1285.4817246731593,-0.7062751244501017,0.05626835825471651,1.787832651983571e-36,5.346271443418579e-36,Down
ENSMUSG00000037703.15,Lzts3,455,535,606,176,175,158,306.1337651226886,1.3109418164905464,0.10527816742738744,1.8615074185955164e-36,5.56513660185689e-36,Up
ENSMUSG00000063273.12,Naa15,3548,3886,4219,2088,2306.999,1990,3035.986056054835,0.5470805902743722,0.04353584094615933,1.9690383957563068e-36,5.8850775373424446e-36,Up
ENSMUSG00000069520.7,Tmem19,2814,2964.999,2958,1205,1351.999,1205,3287.843493130001,0.8947121469955445,0.07151395896088095,1.9960965277508895e-36,5.96439667659731e-36,Up
ENSMUSG00000053730.16,Tmem39b,245,257,251,441,486,414,363.553381736273,-1.1372033401001622,0.09122945024413003,2.0625065721588646e-36,6.161228659755527e-36,Down
ENSMUSG00000019797.12,Mtres1,497,492,579,157,194,158,321.26234326545404,1.2910493063198913,0.10374781051204805,2.1084122738255566e-36,6.29672253324808e-36,Up
ENSMUSG00000115219.3,Eef1akmt4,292.286,279.9,351,516,549,469,413.93827494343054,-1.0429920349329835,0.0835783821541902,2.1100618695873732e-36,6.30001051702335e-36,Down
ENSMUSG00000024068.9,Spast,1111.001,1290,1346,1501,1651.001,1548.001,1468.398696361361,-0.6435787295639982,0.051294074200268706,2.13981891376912e-36,6.3871953695895e-36,Down
ENSMUSG00000031833.11,Mast3,2278.001,2468,3033.998,3270.001,3652.001,3098.999,2773.491620038067,-0.6839194194552565,0.05454072125393298,2.178434332309418e-36,6.500769604446219e-36,Down
ENSMUSG00000028583.15,Pdpn,572,668,780,1068,1153,1115,822.0547418362295,-1.038841253833959,0.08327782340811037,2.2621718825762555e-36,6.748900942484578e-36,Down
ENSMUSG00000043411.16,Usp48,2591.001,2807.999,2965.999,3125.999,3439,2990,2921.622540601086,-0.5075763664793688,0.040413726723649325,2.278934627377084e-36,6.79714450030417e-36,Down
ENSMUSG00000054967.8,Zfp647,150,173,189,22,14,15,84.82495891333785,2.95857774682498,0.24271377075187384,2.2886708293742226e-36,6.824411096781148e-36,Up
