gene_id,gene_name,cDC1_Tumor_TNFa_1,cDC1_Tumor_TNFa_2,cDC1_Tumor_TNFa_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000000058.7,Cav2,2582,3497,3076,112,114,132,1327.5148993581283,4.1764055455112725,0.10022221136837028,0,0,Up
ENSMUSG00000000184.13,Ccnd2,32573.001,44293,41337.999,236.001,263,242,16792.50523936508,6.818867332139606,0.07662107942025123,0,0,Up
ENSMUSG00000000278.11,Scpep1,27362,30705,28077,4071,4383,4155,15028.875476435516,2.284969389392609,0.044230352176433264,0,0,Up
ENSMUSG00000000290.14,Itgb2,4530.999,4682,4071.999,35308,37623.992,36266,17910.38086135236,-3.5167706160271868,0.08205665291502598,0,0,Down
ENSMUSG00000000530.17,Acvrl1,2794.998,3134,3060,9980.001,10410,9668,5712.040829048122,-2.226894455220195,0.04574078340695915,0,0,Down
ENSMUSG00000001156.10,Mxd1,15344,16911,15077,795,826,761,7674.368894030159,3.822916352661798,0.09704510552493688,0,0,Up
ENSMUSG00000001270.10,Ckb,7775.93,9294.831,9234.884,32600.617,36579.067,34423.572,20932.21156958613,-2.4644729299545727,0.055605516298651736,0,0,Down
ENSMUSG00000001281.11,Itgb7,3155,2893,2657,45482,49341,46006.999,20746.888729474827,-4.486310732655665,0.0966344142705273,0,0,Down
ENSMUSG00000001288.16,Rarg,2298,2826,2917.001,68,54,54,1110.8219085014323,5.012755551923469,0.12843989983509935,0,0,Up
ENSMUSG00000001521.13,Tulp3,5780.001,8028,8105,85,108.001,94,3103.3679429092685,5.7514379025190125,0.11154819129850306,0,0,Up
ENSMUSG00000001588.13,Acap1,555,521.001,434.001,5292,5910,5161,3079.8527642998997,-3.9092083394917614,0.09961907587119787,0,0,Down
ENSMUSG00000001741.13,Il16,352,369,337,4272,4801,4702,2181.5652808918094,-4.183962736014904,0.08693030014452802,0,0,Down
ENSMUSG00000001761.8,Smo,2121,2765,2766,56,52,47,1079.5168187127674,5.12246135833006,0.13196012619215766,0,0,Up
ENSMUSG00000001783.4,Rtcb,7526,9037,8179,16770,17983,16770,12051.690270202242,-1.5458102954335835,0.03523917521879042,0,0,Down
ENSMUSG00000001891.17,Ugp2,12809,17098,15479,2235.001,2365,2192.999,7268.7716982059565,2.2436768452627747,0.05637449796700663,0,0,Up
ENSMUSG00000002227.16,Mov10,3189.006,3496.997,3649.996,272,294,239,1593.5584535211249,3.1939687476294942,0.07347983408908466,0,0,Up
ENSMUSG00000002233.14,Rhoc,4541.999,5620,5311,50.001,51,56,2410.8179261710866,6.12247104324123,0.12359481088618143,0,0,Up
ENSMUSG00000002274.15,Metrn,5957.514,7620.288,7838.167,595.999,639,559,3260.015296990828,3.0821824730329532,0.06928596083959801,0,0,Up
ENSMUSG00000002733.9,Plekha3,3843,5074,4779,645,722,689,2364.138390803667,2.240374923803991,0.055794479431392756,0,0,Up
ENSMUSG00000002944.16,Cd36,596.001,549,506,5158.999,5661,5532.999,3031.005043720663,-3.783579869285904,0.08851032708843755,0,0,Down
