gene_id,gene_name,cDC1_TNFa_1,cDC1_TNFa_2,cDC1_TNFa_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000029581.15,Fscn1,273041,263974.001,289523.999,766,854,838,125531.81340978044,8.357848936170072,0.14325525479212428,0,0,Up
ENSMUSG00000029810.16,Tmem176b,8637,8238.001,8735,473,408,401.999,8300.162493101647,4.297075951569804,0.06573134103599905,0,0,Up
ENSMUSG00000029992.15,Gfpt1,13285.001,12814,12758.999,2836.999,3234.001,2950,10786.867090963815,2.086065128747128,0.05236417858071897,0,0,Up
ENSMUSG00000030103.12,Bhlhe40,48955.999,45409,49672,1131.001,1168.001,1002.001,26647.071070147977,5.424464504038374,0.09590043809541603,0,0,Up
ENSMUSG00000030156.6,Cd69,3880,3268.001,3673.999,65,50,64,1158.439810568126,5.887771316727414,0.1284120347577335,0,0,Up
ENSMUSG00000030232.20,Aebp2,20411.999,20038.005,20189,3640.001,4143.001,3656.001,12511.743516915714,2.385702438606333,0.056595629944897,0,0,Up
ENSMUSG00000030409.17,Dmpk,1074.999,1055,1100.001,17475.002,18691,16832.001,6295.063767973059,-4.051723116664701,0.07277151397715402,0,0,Down
ENSMUSG00000030745.10,Il21r,10741,10394,10894,198,203,228,5901.589175241463,5.641263195017702,0.12175852978836614,0,0,Up
ENSMUSG00000030872.15,Gga2,7475.999,7199.001,7454.999,875,940,946.001,6047.795894004189,2.9790621534743207,0.06785604713620795,0,0,Up
ENSMUSG00000031304.19,Il2rg,6696.001,6168.001,6493,212,226,244,3414.735255219097,4.800138229852636,0.11530816365670492,0,0,Up
ENSMUSG00000031389.18,Arhgap4,1245,1253.999,1237.999,5066,5669.001,5148.001,2499.6059385261174,-2.1017598842849465,0.05184329312974986,0,0,Down
ENSMUSG00000031441.16,Atp11a,2982.001,3067,3070.001,312.999,389,341,5164.224327142862,3.1071193550430074,0.07302921415372318,0,0,Up
ENSMUSG00000031453.17,Rasa3,1147,1081,1099,5588,6267.001,5586,4429.1931414976325,-2.4042141921475415,0.05456859192605468,0,0,Down
ENSMUSG00000031639.13,Tlr3,1190.999,1102,1029,7042.999,7671,6658,4161.326322143015,-2.6990635089539072,0.06052147837722821,0,0,Down
ENSMUSG00000031762.8,Mt2,2945,2764,3040,155,189,131,2508.077661917326,4.1828195129354215,0.08904582181067026,0,0,Up
ENSMUSG00000031779.4,Ccl22,166557,159774,181096,322,407,364,63176.11667388724,8.831325944490576,0.11265687751276426,0,0,Up
ENSMUSG00000032218.8,Ccnb2,347,328,365,2537,2722,2679,1245.2509129297728,-2.9474286454590657,0.06650071480344073,0,0,Down
ENSMUSG00000032254.11,Kif23,803.999,797.001,814.999,6182.999,6796.999,6355.998,2621.317368972367,-3.015934010101907,0.05667389325639439,0,0,Down
ENSMUSG00000032324.12,Tspan3,13990.001,13275,13521.999,1402,1473,1364,10218.781060232523,3.2454874501773583,0.053297414210304185,0,0,Up
ENSMUSG00000032369.14,Plscr1,3934.907,3966.978,4103.943,339.001,301.001,291,2593.3290798726475,3.6653974768206727,0.08280829631289978,0,0,Up
ENSMUSG00000032554.16,Trf,4633.002,4164,4549.999,19584.999,20914,19603,13901.242535619436,-2.1879236194434246,0.04395949092903379,0,0,Down
ENSMUSG00000032724.6,Abtb2,2753,2903,2883,35,31,38,2551.688491623153,6.326210712246712,0.15769945623928652,0,0,Up
ENSMUSG00000032802.9,Srxn1,2694,2641,2847,429,494,425,2543.591196441012,2.5806491850854467,0.05682149684013575,0,0,Up
ENSMUSG00000032812.19,Arap1,1809,1710,1718.998,6162.953,7049.946,6317.938,3980.112803180894,-1.9138474500483098,0.04259098602733307,0,0,Down
ENSMUSG00000034064.15,Poglut1,8784.999,8336.001,8776.999,1001,1115,1044.001,6030.804846930736,3.0120566021299586,0.07008028515093352,0,0,Up
ENSMUSG00000034220.8,Gpc1,3951.999,3989,4286,90,124,92,7858.317269126325,5.298933909508796,0.09513925787962298,0,0,Up
ENSMUSG00000035042.3,Ccl5,67114,65507,75649,786,840,762,54839.375921840496,6.419899345911147,0.1160868912989652,0,0,Up
ENSMUSG00000035692.8,Isg15,2142,2005,2245,116,144,165,5092.8906421256315,3.8878746055744817,0.0877902963324735,0,0,Up
ENSMUSG00000036111.9,Lmo1,276,232,247,1845.999,2105,1858,764.8286313228115,-2.9557789100803253,0.07660672327307326,0,0,Down
ENSMUSG00000036564.18,Ndrg4,2342,2298.001,2458.001,75,79,67,1799.0602771460156,4.979871700653882,0.12584910352810547,0,0,Up
ENSMUSG00000036622.16,Atp13a2,564.001,554,564,4391.001,4781.001,4204,7918.104727436146,-3.004008923124137,0.07238739412054053,0,0,Down
ENSMUSG00000036894.4,Rap2b,12326,12097,12825,1786,1868,1702,8889.641888080845,2.7780705380290693,0.039792361008059864,0,0,Up
ENSMUSG00000037552.18,Plekhg2,9280,10019,10405,501,592.999,522.001,5171.409940792371,4.179844092897256,0.0959046291206301,0,0,Up
ENSMUSG00000037944.9,Ccr7,87400,85678,94226,792,825,783,54029.88651141077,6.767185304718175,0.14099924986747417,0,0,Up
ENSMUSG00000037972.8,Snn,19844,19334,20365,196,207,182,8792.149324910564,6.645580851931261,0.09627785351160438,0,0,Up
ENSMUSG00000037999.14,Arap2,4428,4447.917,4419.751,411.926,396.999,340.999,3107.5327183301083,3.510389447861622,0.06850816928338634,0,0,Up
ENSMUSG00000038168.6,P3h2,473,459,485,4317,4687,4440,1744.3450481430286,-3.259498739677672,0.08324123769935063,0,0,Down
ENSMUSG00000038252.14,Ncapd2,2499,2334.001,2411.999,8095.001,8876.002,8191.002,4607.616116237788,-1.8126330658002054,0.03970441008319668,0,0,Down
ENSMUSG00000038264.9,Sema7a,14790,14327,15074.999,260,306,210,9080.524180277002,5.810539789818576,0.1104383731241193,0,0,Up
ENSMUSG00000038352.16,Arl5c,10609,10073,10863,245,290,225,5226.769848191374,5.351418491847911,0.12756435170357538,0,0,Up
ENSMUSG00000038371.16,Sbf2,2424,2384,2447,256,294,267,1904.8499759389779,3.128744678915638,0.07065964363252791,0,0,Up
ENSMUSG00000038393.15,Txnip,7481,7030,7454,27882.999,32219.001,28554.999,12819.874562549852,-2.0271754593373372,0.04975777944549313,0,0,Down
ENSMUSG00000038615.18,Nfe2l1,15571,15169,15911,4327.001,4592.999,4375.999,16173.351146551506,1.7901925903119589,0.039070769211913506,0,0,Up
ENSMUSG00000038658.16,Ric1,7924.999,7951,8294,781,849,731,5049.928608226699,3.3339117249259465,0.08167259323418971,0,0,Up
ENSMUSG00000038729.25,Pakap,13190.187,13163.167,13753.782,79,74.365,76,14119.30726158458,7.426232168148377,0.10581238308270378,0,0,Up
ENSMUSG00000038764.15,Ptpn3,2514,2589.001,2509.999,116,122,122,1512.245736293063,4.379786952336124,0.1000874223746307,0,0,Up
ENSMUSG00000039043.6,Arpin,3247,3077,3464,67,67,78,1973.6531947789947,5.499680746956487,0.13311935795985178,0,0,Up
ENSMUSG00000039232.13,Stx11,3318,3415.999,3535.001,186,182,161,2230.7736372401005,4.256052360536553,0.10243048340623694,0,0,Up
ENSMUSG00000039395.9,Mreg,15323,14917,16056,163,173,147,9533.199582960007,6.557672720869659,0.10877557631796593,0,0,Up
ENSMUSG00000039911.14,Spsb1,2969,3112,3060.001,65,74,65,1343.668428973028,5.459206349739174,0.13478957494638583,0,0,Up
ENSMUSG00000040511.15,Pvr,6959,7368.001,7418,309,337,253,3660.543527579009,4.577191470578174,0.08725860159609317,0,0,Up
ENSMUSG00000041046.8,Ramp3,25194,25932,26283,111,149,148,12815.273552500628,7.530998285860056,0.16539716938595536,0,0,Up
ENSMUSG00000041782.15,Lad1,14357,13929,15571.001,44,59,54,5337.140391194759,8.091505153470717,0.14736077830265928,0,0,Up
ENSMUSG00000041936.19,Agrn,8192.001,8617.999,8570,256,272,278,5419.364956769141,4.955934071151548,0.07462770716703948,0,0,Up
ENSMUSG00000041959.15,S100a10,4178,3981,4036,10823,11634,10814,5715.268439051599,-1.464978713921609,0.0344052762242353,0,0,Down
ENSMUSG00000042331.14,Specc1,14426,13947.001,14486,1422.001,1569,1430,9268.729069750112,3.2546268017653355,0.07772168015040525,0,0,Up
ENSMUSG00000043004.14,Gng2,2079,1868.999,2096.001,7950.999,8523,7859,3884.9299031165615,-2.025073580938819,0.05198117514186996,0,0,Down
ENSMUSG00000044005.14,Gls2,3618,3603.999,3731,31,51,57,2400.765706737226,6.266882251419888,0.16044548637015357,0,0,Up
ENSMUSG00000044309.9,Apol7c,116905.71,121425.502,127346.698,468.707,561.638,428.756,53957.64499988043,7.93620176331405,0.15627951762616699,0,0,Up
ENSMUSG00000045763.9,Basp1,57485,55346,61978,5074,5583,5330,28100.581110737687,3.426746145502691,0.08724280946435797,0,0,Up
ENSMUSG00000045827.11,Serpinb9,28464.521,27187.521,28807.492,1012,1048,1049,14169.664200867006,4.73797571988014,0.10883990799051903,0,0,Up
ENSMUSG00000046876.17,Atxn1,3631,4110.999,3975.999,30,38,34,2311.562274806725,6.808035296883262,0.17366544815347126,0,0,Up
