# Pathway	HFD_AL_4_02_25_Abundance-RELAB	HFD_AL_4_03_11_Abundance-RELAB	HFD_AL_6_05_12_Abundance-RELAB	HFD_AL_6_05_22_Abundance-RELAB	HFD_AL_7_06_12_Abundance-RELAB	HFD_IF_4_02_25_Abundance-RELAB	HFD_IF_4_03_11_Abundance-RELAB	HFD_IF_6_05_12_Abundance-RELAB	HFD_IF_6_05_22_Abundance-RELAB	HFD_IF_7_06_12_Abundance-RELAB
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_lactis	8.4177e-06	3.98023e-06	4.06972e-05	1.44068e-06	2.86642e-06	5.97583e-06	0	3.99199e-06	1.4579e-05	3.27251e-06
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.000217341	0.00021735	0.000206671	0.00019285	0.000212178	0.000132652	5.91756e-05	0.000176732	0.000183709	0.000159635
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	4.97318e-06	0	7.73341e-06	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	4.9096e-06	0	7.63606e-06	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	0	1.83822e-05	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0	0	0	0	1.79432e-05	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000547802	0.000646942	0.000473867	0.000623894	0.000550195	0.000653612	0.0006295	0.000597921	0.000543185	0.000544202
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	0	1.6041e-06	0	0	4.70212e-06	2.95321e-06	0	2.12269e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_sp_ASF502	0	0	3.68476e-06	2.47666e-06	7.30724e-06	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_sp_5_2	6.77606e-06	3.41055e-06	8.97973e-06	8.50031e-06	8.32404e-06	4.631e-06	0	3.24706e-06	3.84252e-06	3.46682e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dubosiella.s__Dubosiella_newyorkensis	0	1.45258e-06	3.80464e-05	1.65691e-06	3.76196e-06	0.000118071	0	1.27305e-06	3.11171e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibaculum.s__Faecalibaculum_rodentium	0	0	1.43456e-05	6.46377e-06	4.11283e-06	0	0	1.07644e-05	5.3205e-06	8.03597e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	5.80278e-05	4.42642e-05	3.19046e-06	7.66196e-05	2.95301e-05	6.33251e-05	5.69829e-06	2.12784e-05	7.03821e-05	2.72477e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	1.10807e-06	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lactococcus.s__Lactococcus_lactis	8.85783e-06	4.46448e-06	2.2458e-05	1.68745e-06	2.06522e-06	2.89979e-06	0	3.98832e-06	5.43235e-06	3.23524e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.000438558	0.000438912	0.000271001	0.00041426	0.000299906	0.000354128	0.000238433	0.000384744	0.000242719	0.000305127
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000584295	0.000718927	0.000520815	0.000694825	0.000649342	0.000712424	0.0011514	0.000685135	0.000620534	0.000649201
