gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category,Comparison
ENSMUSG00000075602.11,Ly6a,0.22895060536312917,0.20704407848750725,NS,Hematopoietic_SC,G3_vs_G4
ENSMUSG00000005087.18,Cd44,-0.22052934107179145,0.23480881277029528,NS,Mesenchymal_SC,G3_vs_G4
ENSMUSG00000022026.8,Olfm4,0.20765852055086045,0.2374695643065282,NS,Intestinal_SC,G3_vs_G4
ENSMUSG00000000567.6,Sox9,0.20363744910972367,0.277818156365477,NS,Neural_SC,G3_vs_G4
ENSMUSG00000028717.13,Tal1,0.17469176942126863,0.29025282475397196,NS,Hematopoietic_SC,G3_vs_G4
ENSMUSG00000022346.18,Myc,-0.18981496057661976,0.2993840517803319,NS,Pluripotency,G3_vs_G4
ENSMUSG00000032011.6,Thy1,0.16879487455448186,0.3721619814531736,NS,Mesenchymal_SC,G3_vs_G4
ENSMUSG00000026728.10,Vim,-0.1414968203203902,0.41067390611965227,NS,Neural_SC,G3_vs_G4
ENSMUSG00000015134.16,Aldh1a3,0.1321162929416923,0.4898356824537432,NS,General_Stemness,G3_vs_G4
ENSMUSG00000027878.12,Notch2,-0.10296584983581018,0.4998703843453048,NS,General_Stemness,G3_vs_G4
ENSMUSG00000029231.16,Pdgfra,-0.10228595873713438,0.5399806288278265,NS,Mesenchymal_SC,G3_vs_G4
ENSMUSG00000030029.15,Lrig1,-0.1029352716553171,0.5470507905942334,NS,Intestinal_SC,G3_vs_G4
ENSMUSG00000047139.10,Cd24a,0.1145846453598633,0.5531855263971928,NS,General_Stemness,G3_vs_G4
ENSMUSG00000000142.16,Axin2,0.11199343463857088,0.5571866189826276,NS,Intestinal_SC,G3_vs_G4
ENSMUSG00000026814.17,Eng,-0.05461677383761551,0.7557859644633488,NS,Mesenchymal_SC,G3_vs_G4
ENSMUSG00000050966.10,Lin28a,0.04827739093487485,0.8031555328381191,NS,Pluripotency,G3_vs_G4
ENSMUSG00000026923.16,Notch1,-0.03741270174792883,0.8357710055629156,NS,General_Stemness,G3_vs_G4
ENSMUSG00000029086.16,Prom1,-0.03938370842573325,0.85502886295089775,NS,Neural_SC,G3_vs_G4
ENSMUSG00000054256.12,Msi1,-0.0081176461934564,0.9720465629612768,NS,Neural_SC,G3_vs_G4
ENSMUSG00000076431.5,Sox4,0.00262163313886764,0.991420193995412,NS,General_Stemness,G3_vs_G4
