category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,mmu04110,Cell cycle,24/292,151/6098,0.15894039735099338,3.3192415857751976,6.471374027009396,1.5413384615924568e-7,4.485294923234049e-5,4.2508492309181445e-5,Cdkn1a/Bub1b/Bub1/Mcm6/Cdk6/Mcm5/Aurkb/Ccne1/Ccna2/Plk1/Knl1/Atm/Ccnb2/Cdc20/Mcm3/Ndc80/Pttg1/Cdca5/Espl1/Prkdc/Ccnb1/Cdk1/Cdc25c/Skp2,24
Cellular Processes,Cell motility,mmu04814,Motor proteins,23/292,147/6098,0.1564625850340136,3.267496039511695,6.240526574351247,3.7860740142319616e-7,5.508737690707504e-5,5.2207967985724945e-5,Kif14/Kif22/Myo1e/Dync2h1/Kif2c/Kif11/Kif21b/Stard9/Kif15/Kif18b/Kif20a/Myh9/Dynlt1a/Kifc1/Kif4/Kif9/Dynlt1c/Myo9a/Kif23/Kif18a/Myo1g/Hook3/Myo5a,23
Organismal Systems,Endocrine system,mmu04914,Progesterone-mediated oocyte maturation,12/292,75/6098,0.16,3.341369863013699,4.575148886382258,2.0084284323105382e-4,0.017410601249610514,0.016500551735930385,Bub1/Kif22/Igf1r/Ccna2/Plk1/Adcy7/Ccnb2/Akt3/Ccnb1/Cdk1/Cdc25c/Prkacb,12
Environmental Information Processing,Signaling molecules and interaction,mmu04518,Integrin signaling,17/292,136/6098,0.125,2.610445205479452,4.259223486311425,2.3932097937608954e-4,0.017410601249610514,0.016500551735930385,Hgf/Fermt3/Itga5/Col6a1/Igf1r/Arhgef6/Itgam/Spp1/Col6a2/Flna/Itgal/Akt3/Itga4/Tln1/Itgb1/Parvg/Fn1,17
Cellular Processes,Cell growth and death,mmu04114,Oocyte meiosis,13/292,99/6098,0.13131313131313133,2.742285872422859,3.91930073464684,8.038555728650853e-4,0.046784394340747965,0.04433898107171628,Bub1/Igf1r/Ccne1/Plk1/Adcy7/Ccnb2/Cdc20/Pttg1/Espl1/Ccnb1/Cdk1/Cdc25c/Prkacb,13
