gene_id	gene_name	16_1	16_2	16_3	A_1	A_2	A_3
ENSG00000006377.11	DLX6	412.863	346.391	354.328	533.763	506.153	424.351
ENSG00000006432.16	MAP3K9	3	6	2	6	12	3
ENSG00000006451.8	RALA	1043	934.001	948	1656.001	1451	1282
ENSG00000006453.14	BAIAP2L1	132	102	107	211	236	216
ENSG00000006459.11	KDM7A	390	355	362	599	580	522
ENSG00000006468.15	ETV1	11	14	15	30	35.999	35
ENSG00000006530.18	AGK	300	321.999	287	398.999	373.001	336.999
ENSG00000006534.17	ALDH3B1	627.999	657	600	869	714	714.999
ENSG00000006555.11	TTC22	0	0	0	0	0	0
ENSG00000006576.17	PHTF2	375.999	370	337.001	596	531	500
ENSG00000006606.9	CCL26	0	0	0	0	0	0
ENSG00000006607.14	FARP2	778	741	637	762	658	575.999
ENSG00000006611.17	USH1C	0	0	0	0	0	0
ENSG00000006625.18	GGCT	2278.534	2303.533	2099.985	2321.963	2120.98	1838.646
ENSG00000006634.8	DBF4	647.976	553.987	584.888	789.937	780	685.981
ENSG00000006638.13	TBXA2R	102	90.001	99	138	149	118
ENSG00000006652.15	IFRD1	658.449	581.621	562.272	724.606	669.81	636.399
ENSG00000006659.13	LGALS14	0	0	0	0	0	0
ENSG00000006695.12	COX10	640.64	659.435	662.999	580.156	563.183	495.33
ENSG00000006704.11	GTF2IRD1	32	21	40	55.001	43.001	44.999
ENSG00000006712.15	PAF1	2050	2201	2204	2843	2549	2343.001
ENSG00000006715.16	VPS41	1235.123	1219.001	1239.999	1622	1327	1346.998
ENSG00000006740.18	ARHGAP44	624.001	568.999	586	599.999	569.999	500
ENSG00000006744.19	ELAC2	3348.002	3393.002	3225.998	2942.002	2746	2458
ENSG00000006747.15	SCIN	1	1	1	0	0	0
ENSG00000006756.16	ARSD	657.999	599.001	602.016	1025.001	928	796
ENSG00000006757.12	PNPLA4	200	191	182	277	227.999	226
ENSG00000006788.14	MYH13	0	1	1	1	1	0
ENSG00000006831.10	ADIPOR2	4258	3993.999	3913.001	4549	4020	3798
ENSG00000006837.12	CDKL3	27.135	20.392	11.382	24.494	27.568	21.143
ENSG00000007001.13	UPP2	0	0	0	0	0	0
ENSG00000007038.11	PRSS21	0	0	0	0	0	0
ENSG00000007047.16	MARK4	337	292	303	428	415.999	334
ENSG00000007062.12	PROM1	0	0	0	0	0	0
ENSG00000007080.11	CCDC124	3549.999	3732	3662.001	3265.001	2899	2539
ENSG00000007129.18	CEACAM21	51	67	52.001	89	82.001	86
ENSG00000007168.14	PAFAH1B1	3429.999	3313.424	3165.29	4203.001	3864	3571
ENSG00000007171.19	NOS2	0	0	0	1	0	0
ENSG00000007174.18	DNAH9	0	0	0	0	0	0
ENSG00000007202.16	BLTP2	9291.001	8874.001	8476.999	8061	7402.002	6797.999
ENSG00000007216.16	SLC13A2	0	0	0	0	0	0
ENSG00000007237.19	GAS7	2877.001	2704	2595	4471	4123	3554.998
ENSG00000007255.10	TRAPPC6A	379.999	380.999	388	341	295	282.001
ENSG00000007264.15	MATK	2384.999	2467.999	2341	1902	1712	1574.999
ENSG00000007306.15	CEACAM7	0	0	0	0	0	0
ENSG00000007312.14	CD79B	6	3	5	7	7	9
ENSG00000007314.12	SCN4A	0	0	1	0	0	0
ENSG00000007341.19	ST7L	370	361.494	303	421	403	332
ENSG00000007350.18	TKTL1	0	0	0	0	0	0
ENSG00000007372.25	PAX6	128	120.001	122	255.002	223	187.999
ENSG00000007376.8	RPUSD1	866.998	933	860	775.001	734	633
ENSG00000007384.15	RHBDF1	59	44	52.999	60	76.999	71
ENSG00000007392.17	LUC7L	1543	1484.001	1385	1466	1309.001	1260.999
ENSG00000007402.12	CACNA2D2	0	1	0	0	0	0
ENSG00000007516.15	BAIAP3	6	4	8	12	5	8
ENSG00000007520.4	TSR3	845	844	764	777	777	677
ENSG00000007541.17	PIGQ	558.992	565	474.166	754.895	707.337	591.23
ENSG00000007545.16	CRAMP1	1346.104	1314.001	1277.896	1364.736	1261.31	1135.007
ENSG00000007866.22	TEAD3	518	497	475	584	569	480
ENSG00000007908.16	SELE	0	0	0	0	0	0
ENSG00000007923.17	DNAJC11	2479.001	2438.019	2272.999	2100.002	1960.999	1737.001
ENSG00000007933.13	FMO3	0	0	0	0	0	0
ENSG00000007944.15	MYLIP	1830	1736	1659	3282	3044	2785
ENSG00000007952.18	NOX1	0	0	0	1	0	0
ENSG00000007968.7	E2F2	383	360	352	288	243	223
ENSG00000008018.9	PSMB1	5674	5242	5127	6048	5367	5239
ENSG00000008056.14	SYN1	1	1	1	1	0	3
ENSG00000008083.14	JARID2	4319	4056	4028	4581	4288	3659
ENSG00000008086.13	CDKL5	4	1	1	11	10	9
ENSG00000008118.10	CAMK1G	0	0	0	0	0	0
ENSG00000008128.23	CDK11A	1662.431	1670.038	1482.212	1554.649	1575.549	1385.612
ENSG00000008130.15	NADK	3632.002	3691	3326.001	3065	2839	2638
ENSG00000008196.13	TFAP2B	0	0	0	1	0	0
ENSG00000008197.5	TFAP2D	0	1	0	0	0	0
ENSG00000008226.20	DLEC1	8	10	8	6	6	4
ENSG00000008256.17	CYTH3	591	570	554	701	611	643
ENSG00000008277.15	ADAM22	389.001	405	322.001	586.999	518.001	455
ENSG00000008282.10	SYPL1	1768	1642.001	1654	2343.999	2068	1875
ENSG00000008283.16	CYB561	355.999	381	310	348	332.001	308.001
ENSG00000008294.22	SPAG9	1611	1488.001	1377	2024	1840.002	1650.999
ENSG00000008300.17	CELSR3	119	115	97	141	126	127
ENSG00000008311.16	AASS	0	0	0	0	1	1
ENSG00000008323.16	PLEKHG6	0	0	0	0	0	0
ENSG00000008324.12	SS18L2	688	613	573	618	516	569
ENSG00000008382.16	MPND	959	914	915.001	913	819.345	651
ENSG00000008394.13	MGST1	4864.001	4591.999	4550	5172.002	4683	4389.999
ENSG00000008405.12	CRY1	474	437	377.999	577.001	509	490.001
ENSG00000008438.5	PGLYRP1	0	0	0	0	1	0
ENSG00000008441.19	NFIX	1837	1789	1809	1498.001	1351	1207.001
ENSG00000008513.17	ST3GAL1	1728.999	1657	1516	1870	1653	1655.999
ENSG00000008516.18	MMP25	39	47	31	56	52	45
ENSG00000008517.19	IL32	38	35.001	46	80.999	61.999	60
ENSG00000008710.20	PKD1	1842.976	1982.592	1576.444	1751.763	1703.815	1708.499
ENSG00000008735.14	MAPK8IP2	27.012	19	17	24	23	21
ENSG00000008838.21	MED24	1949.999	1885.002	1787	2221.001	2127	1911.002
ENSG00000008853.18	RHOBTB2	774	830.001	747	874	799	656
ENSG00000008869.12	HEATR5B	988	958	890	1098	1013	948
ENSG00000008952.17	SEC62	2415.001	2436.999	2259	2898	2578.999	2415.001
ENSG00000008988.11	RPS20	73574.933	71059.828	69657.027	82411.616	72231.056	68090.982
ENSG00000009307.17	CSDE1	14393.999	13325	13157.001	16521.999	14765	13199
ENSG00000009335.19	UBE3C	2431	2464.001	2278.999	2417	2167	1967.999
ENSG00000009413.17	REV3L	1743.999	1619	1500.999	2278	2036.964	1980
ENSG00000009694.14	TENM1	0	1	1	0	0	0
ENSG00000009709.12	PAX7	0	0	0	0	0	0
ENSG00000009724.18	MASP2	1	1	2	0	0	0
ENSG00000009765.15	IYD	0	0	0	0	0	0
ENSG00000009780.16	FAM76A	137.001	122	118.001	181.999	151	152
ENSG00000009790.15	TRAF3IP3	1480	1431.001	1353	1886.999	1718.999	1638.001
ENSG00000009830.13	POMT2	296	292.999	217	290	316	300.999
ENSG00000009844.16	VTA1	2117	1985	1967	2517.001	2269	2084
ENSG00000009950.16	MLXIPL	4	4	2	11	4	8
ENSG00000009954.11	BAZ1B	4379	4172	4055	4637.001	4285	3696
ENSG00000010017.13	RANBP9	2874	2789	2652	3559	3437	3114
ENSG00000010030.14	ETV7	8	4	14	8	13	13
ENSG00000010072.16	SPRTN	549	614	565.001	701	636	609
ENSG00000010165.20	METTL13	3029.999	3086.001	2845	2768.999	2504.001	2246
ENSG00000010219.14	DYRK4	271	278.001	234.629	289.001	301	254.998
ENSG00000010244.19	ZNF207	6905	6449.999	6068.749	7173.947	6353.999	5927.999
ENSG00000010256.11	UQCRC1	5327	5088	5056	6832	6233.999	5630.999
ENSG00000010270.14	STARD3NL	621.001	566	543.001	762.999	689.001	569
ENSG00000010278.15	CD9	140	131	117	224.998	215.001	196
ENSG00000010282.15	HHATL	0	0	1	0	0	0
ENSG00000010292.13	NCAPD2	4671.001	4626.998	4447.834	8624	7766	6967.002
ENSG00000010295.20	IFFO1	474	496	413.999	589.999	541	510.001
ENSG00000010310.9	GIPR	81	94.409	80.999	146.999	104	148
ENSG00000010318.22	PHF7	165.999	178.999	156	205.999	204	195
ENSG00000010319.7	SEMA3G	345	332	330	197	201	176
ENSG00000010322.16	NISCH	2277	2453.999	1996.001	2672.999	2489	2530.002
ENSG00000010327.10	STAB1	16.999	19	14	47	44	51
ENSG00000010361.14	FUZ	2	3	3	3	1	4
ENSG00000010379.16	SLC6A13	0	1	0	2	1	1
ENSG00000010404.18	IDS	533.513	329.617	431.961	887.443	801.423	684.396
ENSG00000010438.17	PRSS3	0	0	0	0	0	0
ENSG00000010539.12	ZNF200	744	740.001	624.999	870.001	774	681
ENSG00000010610.10	CD4	6358.999	6323	6169	7020	6240.999	5638
ENSG00000010626.15	LRRC23	39.539	47.53	42.209	65.625	70.467	52.788
ENSG00000010671.18	BTK	4188.001	4002.001	3834.999	3624.003	3277	3182
ENSG00000010704.19	HFE	49	41.999	41.999	137.001	107	97.001
ENSG00000010803.17	SCMH1	810.999	840	748	849.001	842	730.998
ENSG00000010810.18	FYN	513.002	454.999	480.001	946.999	869	764.999
ENSG00000010818.11	HIVEP2	465	385.001	397	652	551	506.001
ENSG00000010932.17	FMO1	3	1	1	0	0	1
ENSG00000011007.13	ELOA	1325	1224	1126	1068	975	932.999
ENSG00000011009.11	LYPLA2	1541.997	1524	1434.999	1630	1399.001	1257.999
ENSG00000011021.23	CLCN6	428	492.665	390.82	501	457.999	392.999
ENSG00000011028.14	MRC2	2901	2862	2598	3541	3300	2945
ENSG00000011052.21	NME1-NME2	242.231	298.551	308.503	276.361	164.401	170.45
ENSG00000011083.9	SLC6A7	0	0	0	0	0	0
ENSG00000011105.14	TSPAN9	15	21	19	35	39	25
ENSG00000011114.15	BTBD7	1242	1132	1064	1443.001	1319	1199.333
ENSG00000011132.12	APBA3	610	600.999	544.001	663	651	586.001
ENSG00000011143.19	MKS1	549	518.998	495.001	738	652.001	641.001
ENSG00000011198.10	ABHD5	261	266.001	263	284	273.001	263.001
ENSG00000011201.12	ANOS1	51	42	40	78	49	49
ENSG00000011243.19	AKAP8L	2220.001	2171	1968.001	2279.999	2194.001	2070.002
ENSG00000011258.16	MBTD1	1391	1190.999	1223	1476	1370	1268
ENSG00000011260.14	UTP18	2036	2007	1916	1779	1688	1497
ENSG00000011275.19	RNF216	1304.126	1217.955	1054.986	1278.872	1233.086	1202.072
ENSG00000011295.16	TTC19	1274.001	1184.999	1078	1367	1143.001	1115.001
ENSG00000011304.22	PTBP1	14759.998	14263.999	14242	19437.001	18110.002	15923.999
ENSG00000011332.22	DPF1	2	0	3	2	9	1
ENSG00000011347.10	SYT7	2	4	5	3	1	2
ENSG00000011376.12	LARS2	1225	1112.999	1163.999	1348.999	1304.999	1037
ENSG00000011405.14	PIK3C2A	671	653	568	728	718	707
ENSG00000011422.12	PLAUR	719	680.001	665	815	735	743.999
ENSG00000011426.11	ANLN	1038.001	921	871	2016	1916	1711
ENSG00000011451.21	WIZ	1455.999	1535.999	1419.001	1527	1460.095	1325.001
ENSG00000011454.18	RABGAP1	736	704.001	658.001	844	790	722.999
ENSG00000011465.18	DCN	1	0	0	0	1	0
ENSG00000011478.13	QPCTL	567	494	541	525	402	411
ENSG00000011485.15	PPP5C	2019.99	2085.993	2015	2243.998	2042.987	1867.001
ENSG00000011523.15	CEP68	545	539.001	514.001	629	550	498.001
ENSG00000011566.15	MAP4K3	181.999	164	159	277.999	276	199
ENSG00000011590.14	ZBTB32	0	0	0	0	0	0
ENSG00000011600.12	TYROBP	1035.001	1102.001	1055.002	1553	1316.001	1242
ENSG00000011638.11	LDAF1	248	253.001	210	282	262	228
ENSG00000011677.13	GABRA3	0	0	1	1	1	0
ENSG00000012048.25	BRCA1	1744	1617	1544	2437.001	2213.998	2061.002
ENSG00000012061.17	ERCC1	1796.001	1800	1702	2148	2064.999	1830.001
ENSG00000012124.17	CD22	1	2	0	1	0	1
ENSG00000012171.20	SEMA3B	1	3	2	6	6	4
ENSG00000012174.12	MBTPS2	389.967	360.689	345.353	502.437	453.412	412.239
ENSG00000012211.13	PRICKLE3	340.999	406.999	331	361	337.999	298.001
ENSG00000012223.13	LTF	0	0	0	1	1	0
ENSG00000012232.10	EXTL3	494.999	516.999	462	701	638	511
ENSG00000012504.15	NR1H4	0	0	0	0	0	0
ENSG00000012660.14	ELOVL5	4879.001	4444.001	4497	5423	4839.001	4391.999
ENSG00000012779.12	ALOX5	18	30	34	205	210.001	173.001
ENSG00000012817.16	KDM5D	1581.999	1499.35	1332.353	1908.001	1806.363	1874.389
ENSG00000012822.16	CALCOCO1	779.999	861.002	721.001	1141.001	1136.001	1069
ENSG00000012963.15	UBR7	1659.999	1447	1463.374	2172.397	2057.332	1755.001
ENSG00000012983.12	MAP4K5	785	839.145	703	1055.001	911	862.001
ENSG00000013016.16	EHD3	0	0	0	0	0	0
ENSG00000013275.8	PSMC4	2917	2890	2683	3260	2839.999	2562.999
ENSG00000013288.9	MAN2B2	1151	1119.999	1093	1429	1444.999	1240
ENSG00000013293.6	SLC7A14	0	0	0	0	0	0
ENSG00000013297.12	CLDN11	0	3	0	4	2	2
ENSG00000013306.16	SLC25A39	2737.001	2574	2544.001	2243	2161.999	1889
ENSG00000013364.19	MVP	1710.224	1710.627	1598.235	1644.599	1561.258	1367.355
ENSG00000013374.17	NUB1	1893	1833.001	1792.999	2223	2000.001	1797.999
ENSG00000013375.17	PGM3	963.998	929.001	905.998	1254.003	1102.999	1097.001
ENSG00000013392.8	RWDD2A	180	171.975	129	229	206	175
ENSG00000013441.17	CLK1	1409	1429.001	1212.999	1710.999	1563.002	1584.001
ENSG00000013503.10	POLR3B	1045.001	974	894.999	1188	1094	985
ENSG00000013523.11	ANGEL1	711.336	698.59	615.068	683.487	618.835	590.896
ENSG00000013561.18	RNF14	849	775.001	782.999	964.999	874.001	867.999
ENSG00000013563.14	DNASE1L1	406.999	388.999	411	570.001	510	460
ENSG00000013573.17	DDX11	1323.355	1233.825	1064.996	1374.316	1332.472	1289.725
ENSG00000013583.10	HEBP1	594	554	565	629	600	545
ENSG00000013588.10	GPRC5A	0	0	0	0	2	0
ENSG00000013619.15	MAMLD1	0	1	2	1	0	0
ENSG00000013725.14	CD6	73.001	62.999	52	260	276.999	224
ENSG00000013810.21	TACC3	3242.001	3237	3043.001	4658	4243.001	4011
ENSG00000014123.10	UFL1	1229	1094	1073	1719	1678	1464
ENSG00000014138.10	POLA2	974.001	942.999	945.999	1356	1242.167	1149.999
ENSG00000014164.7	ZC3H3	797	786	737	765	800	691
ENSG00000014216.16	CAPN1	3972	3780.999	3785	5089	4604.999	4158.001
ENSG00000014257.17	ACP3	334	329	352	574.999	481.999	487.001
ENSG00000014641.21	MDH1	4555.001	4414.999	4276.002	5224.999	4378	4297.001
ENSG00000014824.14	SLC30A9	1575.001	1449.001	1357.999	2023	1836	1694
ENSG00000014914.21	MTMR11	830	786	726	1300	1209.001	1216
ENSG00000014919.13	COX15	1953.903	1750.914	1665.952	2701.648	2511.713	2330.833
ENSG00000015133.20	CCDC88C	1225.001	1171.999	1027	1140.999	1004.001	838
ENSG00000015153.15	YAF2	352	309	300	418.001	411.001	320
ENSG00000015171.21	ZMYND11	1179.999	1041	1038.001	1189	1225	1096
ENSG00000015285.12	WAS	2934.001	2972.001	2838	3027	2895.001	2706
ENSG00000015413.10	DPEP1	0	1	0	1	1	2
ENSG00000015475.19	BID	1525.001	1447.002	1425	1359.999	1168	1064
ENSG00000015479.20	MATR3	7835.386	7891.028	7431.836	9789.834	8622.503	7927.388
ENSG00000015520.15	NPC1L1	2	0	2	1	0	0
ENSG00000015532.10	XYLT2	365	375	325.001	417	383.999	360
ENSG00000015568.13	RGPD5	3.383	1.007	2.057	8.389	1.006	5.1
ENSG00000015592.17	STMN4	1	1	2	1	0	0
ENSG00000015676.18	NUDCD3	1676.999	1552	1475.001	1702.001	1548	1374
ENSG00000016082.15	ISL1	0	0	0	1	0	0
ENSG00000016391.11	CHDH	0	2	0	2	0	1
ENSG00000016402.14	IL20RA	1	0	0	0	0	0
ENSG00000016490.16	CLCA1	0	0	0	0	0	0
ENSG00000016602.9	CLCA4	0	0	0	0	0	0
ENSG00000016864.19	GLT8D1	951.001	898	863.002	1338.002	1161.999	1147
ENSG00000017260.20	ATP2C1	1411.002	1239	1136	1981	1784.999	1692
ENSG00000017427.17	IGF1	0	1	0	0	0	0
ENSG00000017483.16	SLC38A5	1547.999	1571.999	1518	1012	859.999	812
ENSG00000017797.13	RALBP1	2290.993	2305.999	2052	2726.999	2512	2231.988
ENSG00000018189.13	RUFY3	133.018	121	115	157.001	127.999	145
ENSG00000018236.15	CNTN1	0	0	2	0	2	1
ENSG00000018280.17	SLC11A1	28	19	22	48.999	45	48
ENSG00000018408.15	WWTR1	1	0	0	0	0	0
ENSG00000018510.18	AGPS	2305.999	1982.999	1888	2548	2286.001	2087.001
ENSG00000018607.9	ZNF285CP	0	0	0	0	0	0
ENSG00000018610.15	STEEP1	829.899	868.858	768.966	974.908	803.85	731.956
ENSG00000018625.15	ATP1A2	4	5	10	9	8	4
ENSG00000018699.13	TTC27	878.999	860	881.001	828	761	693
ENSG00000018869.18	ZNF582	18.999	28.999	22	46.999	31	30
ENSG00000019102.12	VSIG2	1	0	1	1	0	0
ENSG00000019144.20	PHLDB1	246.999	250.999	231	385.001	362	338.998
ENSG00000019169.11	MARCO	9	8	8	16	12	15
ENSG00000019186.10	CYP24A1	0	0	0	0	0	0
ENSG00000019485.14	PRDM11	453	464	408	478	497.999	423
ENSG00000019505.8	SYT13	0	1	2	1	3	1
ENSG00000019549.13	SNAI2	0	0	0	1	1	0
ENSG00000019582.17	CD74	6180.001	6063.002	6113	6736.999	6678	5903.001
ENSG00000019991.18	HGF	0	0	0	0	0	0
ENSG00000019995.6	ZRANB1	957.051	837.232	840.158	1033.856	901.466	909.858
ENSG00000020129.16	NCDN	1146	1061.999	1056.999	982	890	815.001
