gene_id	gene_name	16_1	16_2	16_3	A_1	A_2	A_3
ENSG00000000003.16	TSPAN6	0	0	0	0	0	0
ENSG00000000005.6	TNMD	0	0	0	0	0	0
ENSG00000000419.14	DPM1	1341	1292.001	1225	1452.999	1268.002	1165.999
ENSG00000000457.14	SCYL3	450	412	397.001	585	519	505.999
ENSG00000000460.17	FIRRM	648	635	568.999	944	917.001	833
ENSG00000000938.13	FGR	72	81	85	128	109	112
ENSG00000000971.17	CFH	15	15	15	21	15	13.989
ENSG00000001036.14	FUCA2	1995	1893	1898	2018	1799	1760
ENSG00000001084.13	GCLC	546.999	553.999	542	726.001	563.999	558
ENSG00000001167.15	NFYA	1797	1679	1542	2200.998	2011	1963
ENSG00000001460.18	STPG1	108	101	105.001	186.001	200.999	161
ENSG00000001461.17	NIPAL3	906	915	954	1570.999	1439	1323
ENSG00000001497.18	LAS1L	3014	3031.001	2920.999	2558.998	2326.999	2040.998
ENSG00000001561.7	ENPP4	0	0	0	0	0	0
ENSG00000001617.12	SEMA3F	0	3	3	7	0	7
ENSG00000001626.18	CFTR	1	0	1	2	1	1
ENSG00000001629.10	ANKIB1	706	711	652	871	801	785
ENSG00000001630.18	CYP51A1	1776.938	1761.436	1694.299	1593.372	1442.555	1234.02
ENSG00000001631.17	KRIT1	803.414	745.211	693.943	1085.045	971.885	872.802
ENSG00000002016.18	RAD52	297.518	261.054	233.201	314.998	322.999	269.111
ENSG00000002079.15	MYH16	0	0	0	1	0	1
ENSG00000002330.14	BAD	256.001	206	226.999	312	292.999	226.001
ENSG00000002549.13	LAP3	2407	2310	2204.997	2003.001	1836.999	1743
ENSG00000002586.20	CD99	1318.369	947.274	1279.514	1276.482	1698.969	1337.145
ENSG00000002587.10	HS3ST1	0	1	2	6	1	4
ENSG00000002726.21	AOC1	0	1	0	0	1	3
ENSG00000002745.13	WNT16	0	0	0	0	0	0
ENSG00000002746.15	HECW1	1	0	0	6	0	0
ENSG00000002822.16	MAD1L1	1891.256	1819.38	1757.799	2030.118	1932.381	1765.961
ENSG00000002834.19	LASP1	7642	7549.001	7445	10805	10174.999	9045.999
ENSG00000002919.15	SNX11	849.999	786	761	840	761.999	680
ENSG00000002933.9	TMEM176A	23	32.001	24	69	64	56.999
ENSG00000003056.8	M6PR	5504.001	5428	5395.001	5673.999	5102.001	4759
ENSG00000003096.15	KLHL13	188	193.001	185	263	230.999	196
ENSG00000003137.9	CYP26B1	70	75	75	107	97	100
ENSG00000003147.19	ICA1	117	130.999	131.999	156	154.001	129.999
ENSG00000003249.15	DBNDD1	110	113	97.999	145	105.999	100
ENSG00000003393.16	ALS2	361.999	337.001	307	522.001	452	388
ENSG00000003400.16	CASP10	307.999	280.001	286.001	498	430	399
ENSG00000003402.21	CFLAR	1906.953	1708.952	1583.112	2080.406	1934.787	1727.684
ENSG00000003436.16	TFPI	0	0	0	0	0	0
ENSG00000003509.16	NDUFAF7	570	481	480	585	506.999	491.002
ENSG00000003756.17	RBM5	3430.833	3397.446	2960	4081	3698.572	3613
ENSG00000003987.14	MTMR7	1	1	2	7	2	0
ENSG00000003989.18	SLC7A2	1209	1161	1050	1029	970.999	858
ENSG00000004059.11	ARF5	1140	1107	1085.999	1672.999	1505	1394
ENSG00000004139.14	SARM1	82.691	76	62	21.248	31	30
ENSG00000004142.12	POLDIP2	3135	2973	3135	3337	3028	2767
ENSG00000004399.13	PLXND1	4493.001	4466	4223.002	5182	4972.999	4549.001
ENSG00000004455.18	AK2	20172.102	19623.711	19273.569	13481.21	12208.527	11199.89
ENSG00000004468.13	CD38	988	894	817.999	705.999	647.999	618
ENSG00000004478.8	FKBP4	4224.999	4091	3907.999	3073	2692.999	2669
ENSG00000004487.18	KDM1A	2992	2690.002	2601	3151	2935	2508
ENSG00000004534.15	RBM6	2601.166	2663.554	2311	2856.001	2636.429	2596
ENSG00000004660.15	CAMKK1	147	117	107	133.001	125	126
ENSG00000004700.16	RECQL	1489.999	1380	1319.999	2143.001	1906.001	1865
ENSG00000004766.17	VPS50	460.001	402.999	421.001	548.002	485.001	471.999
ENSG00000004776.13	HSPB6	2	1	4	4	2	3
ENSG00000004777.19	ARHGAP33	259	287	207.001	506	494	500
ENSG00000004779.10	NDUFAB1	2080	1979.001	1957	1976	1797.001	1734
ENSG00000004799.8	PDK4	0	0	0	0	0	0
ENSG00000004809.14	SLC22A16	13	17	15	19	12	13
ENSG00000004838.14	ZMYND10	7	4	5	6	9	5
ENSG00000004846.17	ABCB5	0	0	0	0	0	0
ENSG00000004848.8	ARX	41.068	37.032	32.244	24.028	13.019	17.011
ENSG00000004864.14	SLC25A13	914.999	845	823	1073	1005	891.001
ENSG00000004866.22	ST7	519.001	467.256	433.881	664	592.916	566.902
ENSG00000004897.12	CDC27	1498.961	1295	1262	2092.999	1927.001	1731.001
ENSG00000004939.16	SLC4A1	0	0	0	0	0	0
ENSG00000004948.16	CALCR	0	1	0	0	0	0
ENSG00000004961.15	HCCS	747	648	688	689	617	583
ENSG00000004975.12	DVL2	1364	1300.002	1243.999	1630.001	1564.001	1427.998
ENSG00000005001.10	PRSS22	0	0	0	0	0	0
ENSG00000005007.14	UPF1	4235	4204	3872.001	5070	4697.999	4292
ENSG00000005020.13	SKAP2	1150	981	1001.999	1547	1422	1315
ENSG00000005022.6	SLC25A5	13409	12737.998	12599.001	16442.999	14846	13756.999
ENSG00000005059.16	MCUB	153	157	122	380.999	311	306
ENSG00000005073.6	HOXA11	657	605.323	686.393	950	913	785
ENSG00000005075.16	POLR2J	1088.885	1127.801	1065.373	1364.352	1209.923	1191.631
ENSG00000005100.13	DHX33	1905	1749	1742	1415	1434	1328
ENSG00000005102.14	MEOX1	0	0	0	0	0	0
ENSG00000005108.17	THSD7A	999.039	1004	882	1490	1343.989	1195
ENSG00000005156.12	LIG3	1210.028	1275	1075.001	1462.001	1252.027	1169.999
ENSG00000005175.10	RPAP3	1114	1017	1027	1174.001	1094.001	1004.001
ENSG00000005187.12	ACSM3	76	94	42.999	61.999	35	37
ENSG00000005189.20	REXO5	496	495.002	455.001	797.999	684	639
ENSG00000005194.15	CIAPIN1	1514.001	1426.001	1405	1322	1280	1183
ENSG00000005206.17	SPPL2B	2272.718	2345.552	1906.71	2529.372	2467.787	2320.422
ENSG00000005238.20	ATOSB	203	208	176	310.999	263	289.001
ENSG00000005243.10	COPZ2	2	1	0	1	0	3
ENSG00000005249.14	PRKAR2B	718	601	558.001	1182	1087	983
ENSG00000005302.19	MSL3	528	501.765	422.999	677	629.999	560.001
ENSG00000005339.15	CREBBP	1842	1861.062	1793	2662	2537	2218.999
ENSG00000005379.17	TSPOAP1	4008	4012.999	3213.999	4064	3966	3858
ENSG00000005381.9	MPO	187	180	190	375.999	301	287
ENSG00000005421.9	PON1	0	0	0	0	0	0
ENSG00000005436.14	GCFC2	584.001	534.001	525	544	479	506
ENSG00000005448.17	WDR54	51	44	55.999	98.001	114	108.999
ENSG00000005469.12	CROT	0	1	1	2	1	5
ENSG00000005471.19	ABCB4	0	5	0	7	0	0
ENSG00000005483.23	KMT2E	1494	1366	1330	2212.295	2036.001	1774.999
ENSG00000005486.17	RHBDD2	362	379.001	336	470	474	424
ENSG00000005513.11	SOX8	0	0	0	0	0	0
ENSG00000005700.15	IBTK	2056	1975.001	1834	2582	2230.001	1966
ENSG00000005801.18	ZNF195	966.003	896	847.999	806.001	788	770.001
ENSG00000005810.20	MYCBP2	3255	3147.003	2882	3582	3325.999	2986.002
ENSG00000005812.11	FBXL3	1358.999	1276	1206	1875	1723.001	1538
ENSG00000005844.19	ITGAL	7852.999	7728	7355.002	6666.002	6095.999	5685.001
ENSG00000005882.12	PDK2	334	380	355.999	467.001	412.001	389.999
ENSG00000005884.18	ITGA3	7	6	5.009	8	7	4
ENSG00000005889.16	ZFX	706	597.972	566	876	747.467	688.013
ENSG00000005893.17	LAMP2	4615	4091.001	4057	5573	5001	4693
ENSG00000005961.19	ITGA2B	16.999	9	9	17	19	15.999
ENSG00000005981.13	ASB4	0	0	0	0	1	0
ENSG00000006007.12	GDE1	1019	1056.999	975	1292	1201	1094
ENSG00000006015.18	REX1BD	1594.999	1543.001	1507.001	1543	1391	1272.999
ENSG00000006016.12	CRLF1	9	8	13	7	4	3
ENSG00000006025.13	OSBPL7	561	622.999	464.001	613.001	596	612.998
ENSG00000006042.12	TMEM98	0	1	0	1	0	0
ENSG00000006047.13	YBX2	1	0	0	1	1	1
ENSG00000006059.4	KRT33A	0	0	0	0	0	0
ENSG00000006062.18	MAP3K14	149	156	125	169	163	145
ENSG00000006071.16	ABCC8	0	0	0	0	0	0
ENSG00000006116.4	CACNG3	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	3	1	1	3	0	4
ENSG00000006125.18	AP2B1	3914.998	3715.998	3691	4834.999	4584.999	4006
ENSG00000006128.12	TAC1	0	0	0	0	0	0
ENSG00000006194.11	ZNF263	1100.999	1086.001	930.999	954	876.257	821
ENSG00000006210.7	CX3CL1	0	0	1	0	0	1
ENSG00000006282.22	SPATA20	459.998	494.001	421.999	531.999	524.999	499.001
ENSG00000006283.18	CACNA1G	0	1	1	0	1	1
ENSG00000006327.14	TNFRSF12A	211	181.001	172	164	172.001	171.999
