sample	vdj_call	aneuploidy_frac_cn!=2	cnv_segments_cn!=2	roh_frac_autosome	origin_assessment
Sample_A	not_assessed(TRUST4_ref_absent)	0.104	192	0.050	predominantly-diploid; low-LOH; consistent with primary/germline material (NOT high-aneuploidy cell-line)
Sample_B	not_assessed(TRUST4_ref_absent)	0.049	162	0.045	predominantly-diploid; low-LOH; consistent with primary/germline material (NOT high-aneuploidy cell-line)
