gene_id	gene_name	Control_1	Control_2	Control_3	4h_1	4h_2	4h_3	8h_1	8h_2	8h_3	16h_1	16h_2	16h_3
ENSG00000000003	TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	864	844	574	826	397	561	1453	1268	1166	1341	1292	1225
ENSG00000000457	SCYL3	1440	1801	1619	1177	925	1089	585	519	506	450	412	397
ENSG00000000460	FIRRM	2393	2732	2220	1940	1216	1442	944	917	833	648	635	569
ENSG00000000938	FGR	145	203	156	233	86	84	128	109	112	72	81	85
ENSG00000000971	CFH	0	0	0	0	0	0	21	15	14	15	15	15
ENSG00000001036	FUCA2	88	180	138	50	71	63	2018	1799	1760	1995	1893	1898
ENSG00000001084	GCLC	1310	961	1129	953	520	636	726	564	558	547	554	542
ENSG00000001167	NFYA	0	0	0	0	0	0	2201	2011	1963	1797	1679	1542
ENSG00000001460	STPG1	122	117	275	177	115	114	186	201	161	108	101	105
ENSG00000001461	NIPAL3	1017	1370	1327	1334	623	583	1571	1439	1323	906	915	954
ENSG00000001497	LAS1L	1489	1848	1178	937	736	1167	2559	2327	2041	3014	3031	2921
ENSG00000001561	ENPP4	1	1	0	0	1	9	0	0	0	0	0	0
ENSG00000001617	SEMA3F	1	20	0	0	8	11	7	0	7	0	3	3
ENSG00000001626	CFTR	2	4	20	17	11	8	2	1	1	1	0	1
ENSG00000001629	ANKIB1	5149	6737	5678	4215	3380	3891	871	801	785	706	711	652
ENSG00000001630	CYP51A1	42	20	56	58	23	30	1593	1443	1234	1777	1761	1694
ENSG00000001631	KRIT1	0	0	0	0	0	0	1085	972	873	803	745	694
ENSG00000002016	RAD52	1548	1935	1609	1416	1087	1313	315	323	269	298	261	233
ENSG00000002330	BAD	0	0	0	0	0	0	312	293	226	256	206	227
ENSG00000002549	LAP3	500	351	241	272	266	308	2003	1837	1743	2407	2310	2205
ENSG00000002586	CD99	0	0	1	0	0	0	1276	1699	1337	1318	947	1280
ENSG00000002587	HS3ST1	0	53	12	3	0	0	6	1	4	0	1	2
ENSG00000002726	AOC1	0	0	0	0	25	0	0	1	3	0	1	0
ENSG00000002745	WNT16	21	24	14	19	0	21	0	0	0	0	0	0
ENSG00000002746	HECW1	272	357	463	462	205	153	6	0	0	1	0	0
ENSG00000002822	MAD1L1	0	0	0	0	0	0	2030	1932	1766	1891	1819	1758
ENSG00000002834	LASP1	879	1125	944	920	700	455	10805	10175	9046	7642	7549	7445
ENSG00000002919	SNX11	358	460	224	196	193	172	840	762	680	850	786	761
ENSG00000002933	TMEM176A	0	0	0	0	0	0	69	64	57	23	32	24
ENSG00000003056	M6PR	1402	1593	1035	1306	828	1081	5674	5102	4759	5504	5428	5395
ENSG00000003096	KLHL13	783	1029	955	854	598	738	263	231	196	188	193	185
ENSG00000003137	CYP26B1	45	6	38	20	24	30	107	97	100	70	75	75
ENSG00000003147	ICA1	886	1171	1203	1059	709	625	156	154	130	117	131	132
ENSG00000003249	DBNDD1	52	12	12	29	38	19	145	106	100	110	113	98
ENSG00000003393	ALS2	954	979	1040	904	571	665	522	452	388	362	337	307
ENSG00000003400	CASP10	671	951	1197	747	591	501	498	430	399	308	280	286
ENSG00000003402	CFLAR	2529	3262	3512	3119	1797	1588	2080	1935	1728	1907	1709	1583
ENSG00000003436	TFPI	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003509	NDUFAF7	563	658	520	625	245	347	585	507	491	570	481	480
ENSG00000003756	RBM5	2388	2848	2569	2044	1433	1782	4081	3699	3613	3431	3397	2960
ENSG00000003987	MTMR7	635	798	438	428	291	250	7	2	0	1	1	2
ENSG00000003989	SLC7A2	2176	2572	1357	728	527	1269	1029	971	858	1209	1161	1050
ENSG00000004059	ARF5	0	0	0	0	0	0	1673	1505	1394	1140	1107	1086
ENSG00000004139	SARM1	45	54	22	101	14	37	21	31	30	83	76	62
ENSG00000004142	POLDIP2	553	847	548	518	444	396	3337	3028	2767	3135	2973	3135
ENSG00000004399	PLXND1	1842	2812	1455	1164	845	1287	5182	4973	4549	4493	4466	4223
ENSG00000004455	AK2	355	470	207	146	140	244	13481	12209	11200	20172	19624	19274
ENSG00000004468	CD38	1006	1623	1370	1000	799	892	706	648	618	988	894	818
ENSG00000004478	FKBP4	0	0	0	0	0	0	3073	2693	2669	4225	4091	3908
ENSG00000004487	KDM1A	12	12	10	0	0	0	3151	2935	2508	2992	2690	2601
ENSG00000004534	RBM6	6798	7817	7257	6083	3864	4830	2856	2636	2596	2601	2664	2311
ENSG00000004660	CAMKK1	48	91	57	127	54	59	133	125	126	147	117	107
ENSG00000004700	RECQL	993	1309	1050	715	538	510	2143	1906	1865	1490	1380	1320
ENSG00000004766	VPS50	1865	2074	2242	2058	1274	1416	548	485	472	460	403	421
ENSG00000004776	HSPB6	0	0	0	21	13	0	4	2	3	2	1	4
ENSG00000004777	ARHGAP33	28	44	26	26	0	34	506	494	500	259	287	207
ENSG00000004779	NDUFAB1	577	1034	683	717	462	486	1976	1797	1734	2080	1979	1957
ENSG00000004799	PDK4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004809	SLC22A16	21	48	11	15	6	24	19	12	13	13	17	15
ENSG00000004838	ZMYND10	0	0	0	0	0	0	6	9	5	7	4	5
ENSG00000004846	ABCB5	20	1	1	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	10	39	7	28	6	6	24	13	17	41	37	32
ENSG00000004864	SLC25A13	8388	10870	7689	6171	4235	5597	1073	1005	891	915	845	823
ENSG00000004866	ST7	1470	1851	1276	1283	698	960	664	593	567	519	467	434
ENSG00000004897	CDC27	4392	5234	3798	3242	2001	3082	2093	1927	1731	1499	1295	1262
ENSG00000004939	SLC4A1	32	0	0	0	10	0	0	0	0	0	0	0
ENSG00000004948	CALCR	1	4	22	0	12	2	0	0	0	0	1	0
ENSG00000004961	HCCS	106	79	55	54	26	49	689	617	583	747	648	688
ENSG00000004975	DVL2	199	264	110	178	118	108	1630	1564	1428	1364	1300	1244
ENSG00000005001	PRSS22	0	1	0	0	2	0	0	0	0	0	0	0
ENSG00000005007	UPF1	1216	1603	1276	1416	823	778	5070	4698	4292	4235	4204	3872
ENSG00000005020	SKAP2	4883	5563	6327	4918	3093	3179	1547	1422	1315	1150	981	1002
ENSG00000005022	SLC25A5	2144	2226	1922	1761	1475	1901	16443	14846	13757	13409	12738	12599
ENSG00000005059	MCUB	572	748	652	489	341	676	381	311	306	153	157	122
ENSG00000005073	HOXA11	191	195	120	93	59	152	950	913	785	657	605	686
ENSG00000005075	POLR2J	396	385	358	295	192	153	1364	1210	1192	1089	1128	1065
ENSG00000005100	DHX33	1034	1206	601	552	451	667	1415	1434	1328	1905	1749	1742
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	15574	16898	13667	10900	7660	10918	1490	1344	1195	999	1004	882
ENSG00000005156	LIG3	1698	1610	1391	1086	662	963	1462	1252	1170	1210	1275	1075
ENSG00000005175	RPAP3	1413	1590	1576	1196	755	961	1174	1094	1004	1114	1017	1027
ENSG00000005187	ACSM3	62	78	67	31	37	53	62	35	37	76	94	43
ENSG00000005189	REXO5	0	0	0	0	0	0	798	684	639	496	495	455
ENSG00000005194	CIAPIN1	839	1025	697	523	455	504	1322	1280	1183	1514	1426	1405
ENSG00000005206	SPPL2B	856	1512	818	525	871	756	2529	2468	2320	2273	2346	1907
ENSG00000005238	ATOSB	46	44	25	96	124	40	311	263	289	203	208	176
ENSG00000005243	COPZ2	0	0	0	0	0	19	1	0	3	2	1	0
ENSG00000005249	PRKAR2B	951	979	807	623	388	550	1182	1087	983	718	601	558
ENSG00000005302	MSL3	482	589	414	410	287	375	677	630	560	528	502	423
ENSG00000005339	CREBBP	4998	6262	6140	5305	3456	3450	2662	2537	2219	1842	1861	1793
ENSG00000005379	TSPOAP1	597	1248	502	410	409	430	4064	3966	3858	4008	4013	3214
ENSG00000005381	MPO	119	39	102	67	64	59	376	301	287	187	180	190
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	860	896	704	782	447	519	544	479	506	584	534	525
ENSG00000005448	WDR54	0	12	44	4	0	0	98	114	109	51	44	56
ENSG00000005469	CROT	3	0	1	28	0	0	2	1	5	0	1	1
ENSG00000005471	ABCB4	22	13	16	17	29	13	7	0	0	0	5	0
ENSG00000005483	KMT2E	5434	7424	6084	5488	3343	3809	2212	2036	1775	1494	1366	1330
ENSG00000005486	RHBDD2	226	410	290	253	196	104	470	474	424	362	379	336
ENSG00000005513	SOX8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700	IBTK	5037	5629	5080	4217	2905	3584	2582	2230	1966	2056	1975	1834
ENSG00000005801	ZNF195	2863	3492	3725	3196	2019	1756	806	788	770	966	896	848
ENSG00000005810	MYCBP2	14047	16672	12371	9592	6349	9516	3582	3326	2986	3255	3147	2882
ENSG00000005812	FBXL3	0	0	0	0	0	0	1875	1723	1538	1359	1276	1206
ENSG00000005844	ITGAL	2536	3418	3356	2609	2629	1878	6666	6096	5685	7853	7728	7355
ENSG00000005882	PDK2	97	207	97	166	97	90	467	412	390	334	380	356
ENSG00000005884	ITGA3	7	1	8	0	17	0	8	7	4	7	6	5
ENSG00000005889	ZFX	2732	2879	2389	2165	1193	1950	876	747	688	706	598	566
ENSG00000005893	LAMP2	4407	4512	4022	3477	2078	2549	5573	5001	4693	4615	4091	4057
ENSG00000005961	ITGA2B	2	0	26	0	8	0	17	19	16	17	9	9
ENSG00000005981	ASB4	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006007	GDE1	424	411	279	352	189	233	1292	1201	1094	1019	1057	975
ENSG00000006015	REX1BD	0	0	0	0	0	0	1543	1391	1273	1595	1543	1507
ENSG00000006016	CRLF1	120	117	161	54	45	70	7	4	3	9	8	13
ENSG00000006025	OSBPL7	185	242	141	196	114	143	613	596	613	561	623	464
ENSG00000006042	TMEM98	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000006047	YBX2	0	12	1	0	0	0	1	1	1	1	0	0
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	419	474	353	297	195	103	169	163	145	149	156	125
ENSG00000006071	ABCC8	6	0	1	0	0	0	0	0	0	0	0	0
ENSG00000006116	CACNG3	0	0	1	0	0	14	0	0	0	0	0	0
ENSG00000006118	TMEM132A	0	5	17	8	6	27	3	0	4	3	1	1
ENSG00000006125	AP2B1	6062	7530	6073	5258	3424	3750	4835	4585	4006	3915	3716	3691
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	148	214	103	127	123	109	954	876	821	1101	1086	931
ENSG00000006210	CX3CL1	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000006282	SPATA20	92	119	84	94	104	99	532	525	499	460	494	422
ENSG00000006283	CACNA1G	11	1	17	6	17	0	0	1	1	0	1	1
ENSG00000006327	TNFRSF12A	0	36	0	0	0	18	164	172	172	211	181	172
ENSG00000006377	DLX6	0	0	0	0	0	0	534	506	424	413	346	354
ENSG00000006432	MAP3K9	13	12	8	15	0	1	6	12	3	3	6	2
ENSG00000006451	RALA	1848	2170	2089	2063	1394	1494	1656	1451	1282	1043	934	948
ENSG00000006453	BAIAP2L1	151	236	796	300	281	96	211	236	216	132	102	107
ENSG00000006459	KDM7A	1375	1427	1392	1104	734	1023	599	580	522	390	355	362
ENSG00000006468	ETV1	42	38	51	53	18	45	30	36	35	11	14	15
ENSG00000006530	AGK	766	1069	822	902	665	527	399	373	337	300	322	287
ENSG00000006534	ALDH3B1	66	188	94	125	66	49	869	714	715	628	657	600
ENSG00000006555	TTC22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	PHTF2	2917	3390	2950	2326	1404	2174	596	531	500	376	370	337
ENSG00000006606	CCL26	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	FARP2	1010	1616	924	840	431	939	762	658	576	778	741	637
ENSG00000006611	USH1C	8	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	172	88	128	231	122	127	2322	2121	1839	2279	2304	2100
ENSG00000006634	DBF4	1574	1664	1115	974	724	1124	790	780	686	648	554	585
ENSG00000006638	TBXA2R	42	85	84	59	20	14	138	149	118	102	90	99
ENSG00000006652	IFRD1	58	150	116	156	94	89	725	670	636	658	582	562
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	4067	4548	3583	2698	2292	2591	580	563	495	641	659	663
ENSG00000006704	GTF2IRD1	100	52	88	14	40	15	55	43	45	32	21	40
ENSG00000006712	PAF1	681	1012	847	753	501	484	2843	2549	2343	2050	2201	2204
ENSG00000006715	VPS41	4195	4600	4289	3925	2834	3222	1622	1327	1347	1235	1219	1240
ENSG00000006740	ARHGAP44	3658	4778	3366	2680	1967	2938	600	570	500	624	569	586
ENSG00000006744	ELAC2	1396	2048	1244	1046	729	1066	2942	2746	2458	3348	3393	3226
ENSG00000006747	SCIN	0	0	0	0	10	4	0	0	0	1	1	1
ENSG00000006756	ARSD	311	360	398	448	350	237	1025	928	796	658	599	602
ENSG00000006757	PNPLA4	222	153	220	56	74	61	277	228	226	200	191	182
ENSG00000006788	MYH13	0	0	0	0	0	0	1	1	0	0	1	1
ENSG00000006831	ADIPOR2	5770	6725	4846	4295	3088	3489	4549	4020	3798	4258	3994	3913
ENSG00000006837	CDKL3	0	0	0	0	0	0	24	28	21	27	20	11
ENSG00000007001	UPP2	100	94	107	88	74	19	0	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	MARK4	169	388	236	221	139	199	428	416	334	337	292	303
ENSG00000007062	PROM1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000007080	CCDC124	338	477	346	231	199	206	3265	2899	2539	3550	3732	3662
ENSG00000007129	CEACAM21	40	107	174	189	72	46	89	82	86	51	67	52
ENSG00000007168	PAFAH1B1	4085	4973	5049	3883	2906	2779	4203	3864	3571	3430	3313	3165
ENSG00000007171	NOS2	0	0	0	17	0	9	1	0	0	0	0	0
ENSG00000007174	DNAH9	2	19	13	10	19	3	0	0	0	0	0	0
ENSG00000007202	BLTP2	2920	3583	2578	2289	1892	2113	8061	7402	6798	9291	8874	8477
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	6607	9230	11765	10146	8094	5056	4471	4123	3555	2877	2704	2595
ENSG00000007255	TRAPPC6A	0	0	0	0	0	0	341	295	282	380	381	388
ENSG00000007264	MATK	487	382	220	181	268	254	1902	1712	1575	2385	2468	2341
ENSG00000007306	CEACAM7	1	1	4	0	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	0	0	0	0	0	0	7	7	9	6	3	5
ENSG00000007314	SCN4A	0	0	12	11	0	0	0	0	0	0	0	1
ENSG00000007341	ST7L	1725	2050	2077	1853	1191	1423	421	403	332	370	361	303
ENSG00000007350	TKTL1	0	0	12	8	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	64	86	13	40	37	26	255	223	188	128	120	122
ENSG00000007376	RPUSD1	72	37	0	29	8	41	775	734	633	867	933	860
ENSG00000007384	RHBDF1	14	12	52	54	1	33	60	77	71	59	44	53
ENSG00000007392	LUC7L	1947	2158	1864	1558	1197	1449	1466	1309	1261	1543	1484	1385
ENSG00000007402	CACNA2D2	0	0	6	12	6	0	0	0	0	0	1	0
ENSG00000007516	BAIAP3	0	0	0	1	12	0	12	5	8	6	4	8
ENSG00000007520	TSR3	0	28	12	36	6	27	777	777	677	845	844	764
ENSG00000007541	PIGQ	49	63	40	29	39	21	755	707	591	559	565	474
ENSG00000007545	CRAMP1	378	259	228	202	230	197	1365	1261	1135	1346	1314	1278
ENSG00000007866	TEAD3	264	296	341	205	153	115	584	569	480	518	497	475
ENSG00000007908	SELE	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	DNAJC11	2027	2197	1818	1929	1132	1643	2100	1961	1737	2479	2438	2273
ENSG00000007933	FMO3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	MYLIP	6737	7492	7630	6791	4113	3568	3282	3044	2785	1830	1736	1659
ENSG00000007952	NOX1	0	17	3	3	0	22	1	0	0	0	0	0
ENSG00000007968	E2F2	92	190	102	73	74	68	288	243	223	383	360	352
ENSG00000008018	PSMB1	2616	2694	2228	1749	1177	1612	6048	5367	5239	5674	5242	5127
ENSG00000008056	SYN1	0	8	11	18	0	0	1	0	3	1	1	1
ENSG00000008083	JARID2	32002	42399	33699	27743	18441	24931	4581	4288	3659	4319	4056	4028
ENSG00000008086	CDKL5	41	43	119	126	88	1	11	10	9	4	1	1
ENSG00000008118	CAMK1G	14	0	0	0	0	16	0	0	0	0	0	0
ENSG00000008128	CDK11A	0	2	0	0	0	0	1555	1576	1386	1662	1670	1482
ENSG00000008130	NADK	787	1028	850	541	483	493	3065	2839	2638	3632	3691	3326
ENSG00000008196	TFAP2B	0	0	0	0	3	1	1	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	20	0	0	2	0	0	0	0	1	0
ENSG00000008226	DLEC1	14	27	12	4	0	10	6	6	4	8	10	8
ENSG00000008256	CYTH3	1109	1251	1070	1010	910	683	701	611	643	591	570	554
ENSG00000008277	ADAM22	3435	3820	3742	3416	2106	2498	587	518	455	389	405	322
ENSG00000008282	SYPL1	1331	1348	1051	878	478	811	2344	2068	1875	1768	1642	1654
ENSG00000008283	CYB561	155	149	147	117	109	94	348	332	308	356	381	310
ENSG00000008294	SPAG9	3038	3671	3657	2837	2030	2381	2024	1840	1651	1611	1488	1377
ENSG00000008300	CELSR3	97	52	44	71	55	46	141	126	127	119	115	97
ENSG00000008311	AASS	17	0	0	0	0	0	0	1	1	0	0	0
ENSG00000008323	PLEKHG6	160	205	227	161	71	100	0	0	0	0	0	0
ENSG00000008324	SS18L2	0	0	0	0	0	0	618	516	569	688	613	573
ENSG00000008382	MPND	62	52	46	34	15	61	913	819	651	959	914	915
ENSG00000008394	MGST1	6274	7925	6309	4975	3547	4557	5172	4683	4390	4864	4592	4550
ENSG00000008405	CRY1	1219	1452	1099	1005	627	963	577	509	490	474	437	378
ENSG00000008438	PGLYRP1	12	37	7	1	20	4	0	1	0	0	0	0
ENSG00000008441	NFIX	1826	2752	1301	1161	1000	1282	1498	1351	1207	1837	1789	1809
ENSG00000008513	ST3GAL1	4013	5853	3790	3107	2712	3226	1870	1653	1656	1729	1657	1516
ENSG00000008516	MMP25	0	7	2	1	23	0	56	52	45	39	47	31
ENSG00000008517	IL32	4	13	44	1	0	0	81	62	60	38	35	46
ENSG00000008710	PKD1	149	289	131	118	155	228	1752	1704	1708	1843	1983	1576
ENSG00000008735	MAPK8IP2	0	9	29	0	0	8	24	23	21	27	19	17
ENSG00000008838	MED24	942	1331	1000	1205	514	593	2221	2127	1911	1950	1885	1787
ENSG00000008853	RHOBTB2	0	0	0	0	0	0	874	799	656	774	830	747
ENSG00000008869	HEATR5B	2183	2842	2333	1989	1161	1496	1098	1013	948	988	958	890
ENSG00000008952	SEC62	2073	2151	1933	1611	918	1228	2898	2579	2415	2415	2437	2259
ENSG00000008988	RPS20	17912	14037	17117	15240	8837	10966	82412	72231	68091	73575	71060	69657
ENSG00000009307	CSDE1	11196	10961	10652	9873	5555	7901	16522	14765	13199	14394	13325	13157
ENSG00000009335	UBE3C	7291	8308	5739	4629	3586	4678	2417	2167	1968	2431	2464	2279
ENSG00000009413	REV3L	2098	2714	3214	2636	1762	1524	2278	2037	1980	1744	1619	1501
ENSG00000009694	TENM1	13	10	28	18	34	31	0	0	0	0	1	1
ENSG00000009709	PAX7	0	1	0	0	6	6	0	0	0	0	0	0
ENSG00000009724	MASP2	24	1	0	0	20	13	0	0	0	1	1	2
ENSG00000009765	IYD	0	0	15	0	1	0	0	0	0	0	0	0
ENSG00000009780	FAM76A	140	299	256	203	162	141	182	151	152	137	122	118
ENSG00000009790	TRAF3IP3	1470	1590	1548	1321	905	1145	1887	1719	1638	1480	1431	1353
ENSG00000009830	POMT2	456	389	265	207	114	224	290	316	301	296	293	217
ENSG00000009844	VTA1	3599	3969	3848	2927	2052	2408	2517	2269	2084	2117	1985	1967
ENSG00000009950	MLXIPL	22	0	0	4	18	5	11	4	8	4	4	2
ENSG00000009954	BAZ1B	4643	4705	4020	3211	2127	3112	4637	4285	3696	4379	4172	4055
ENSG00000010017	RANBP9	4954	5357	5136	4453	2888	3405	3559	3437	3114	2874	2789	2652
ENSG00000010030	ETV7	4	0	24	16	19	29	8	13	13	8	4	14
ENSG00000010072	SPRTN	769	807	715	667	500	561	701	636	609	549	614	565
ENSG00000010165	METTL13	1135	1210	803	554	387	799	2769	2504	2246	3030	3086	2845
ENSG00000010219	DYRK4	91	124	120	37	18	142	289	301	255	271	278	235
ENSG00000010244	ZNF207	7004	9161	7420	5778	4113	4746	7174	6354	5928	6905	6450	6069
ENSG00000010256	UQCRC1	537	520	524	580	342	331	6832	6234	5631	5327	5088	5056
ENSG00000010270	STARD3NL	1423	1609	1348	1448	885	955	763	689	569	621	566	543
ENSG00000010278	CD9	62	27	50	130	47	15	225	215	196	140	131	117
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000010292	NCAPD2	2496	2626	1599	1595	1215	1628	8624	7766	6967	4671	4627	4448
ENSG00000010295	IFFO1	258	253	205	190	143	140	590	541	510	474	496	414
ENSG00000010310	GIPR	14	94	51	30	69	29	147	104	148	81	94	81
ENSG00000010318	PHF7	458	604	362	397	306	332	206	204	195	166	179	156
ENSG00000010319	SEMA3G	54	104	37	35	42	64	197	201	176	345	332	330
ENSG00000010322	NISCH	1030	1397	1022	961	796	605	2673	2489	2530	2277	2454	1996
ENSG00000010327	STAB1	3	8	25	0	17	2	47	44	51	17	19	14
ENSG00000010361	FUZ	0	12	29	0	0	0	3	1	4	2	3	3
ENSG00000010379	SLC6A13	0	0	46	50	16	9	2	1	1	0	1	0
ENSG00000010404	IDS	0	0	20	0	0	0	887	801	684	534	330	432
ENSG00000010438	PRSS3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010539	ZNF200	347	443	385	274	169	263	870	774	681	744	740	625
ENSG00000010610	CD4	2774	3786	3105	2185	2124	1980	7020	6241	5638	6359	6323	6169
ENSG00000010626	LRRC23	105	100	76	77	51	111	66	70	53	40	48	42
ENSG00000010671	BTK	2293	3282	1651	1623	1162	1728	3624	3277	3182	4188	4002	3835
ENSG00000010704	HFE	0	0	0	0	0	0	137	107	97	49	42	42
ENSG00000010803	SCMH1	10313	13011	8251	5983	4831	6856	849	842	731	811	840	748
ENSG00000010810	FYN	940	1354	1142	1211	699	621	947	869	765	513	455	480
ENSG00000010818	HIVEP2	4129	4819	4135	3600	2143	3611	652	551	506	465	385	397
ENSG00000010932	FMO1	2	0	0	19	0	0	0	0	1	3	1	1
ENSG00000011007	ELOA	0	0	0	0	0	0	1068	975	933	1325	1224	1126
ENSG00000011009	LYPLA2	36	76	50	67	21	28	1630	1399	1258	1542	1524	1435
ENSG00000011021	CLCN6	1111	1375	1208	1055	791	731	501	458	393	428	493	391
ENSG00000011028	MRC2	1080	2048	1133	824	671	923	3541	3300	2945	2901	2862	2598
ENSG00000011052	NME1-NME2	42	21	18	25	43	13	276	164	170	242	299	309
ENSG00000011083	SLC6A7	2	0	14	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	47	71	111	44	111	11	35	39	25	15	21	19
ENSG00000011114	BTBD7	5355	7174	5963	5074	3521	3813	1443	1319	1199	1242	1132	1064
ENSG00000011132	APBA3	84	175	117	56	99	46	663	651	586	610	601	544
ENSG00000011143	MKS1	257	446	331	330	196	112	738	652	641	549	519	495
ENSG00000011198	ABHD5	641	741	614	593	256	419	284	273	263	261	266	263
ENSG00000011201	ANOS1	670	819	516	551	271	642	78	49	49	51	42	40
ENSG00000011243	AKAP8L	1413	1866	1562	1260	1052	1202	2280	2194	2070	2220	2171	1968
ENSG00000011258	MBTD1	3638	4405	3287	2928	1651	2509	1476	1370	1268	1391	1191	1223
ENSG00000011260	UTP18	1269	1435	883	664	502	1019	1779	1688	1497	2036	2007	1916
ENSG00000011275	RNF216	4452	5120	4288	3786	2490	3068	1279	1233	1202	1304	1218	1055
ENSG00000011295	TTC19	3618	4533	3307	2737	2177	2752	1367	1143	1115	1274	1185	1078
ENSG00000011304	PTBP1	3430	5136	3473	2383	2227	3051	19437	18110	15924	14760	14264	14242
ENSG00000011332	DPF1	9	38	21	22	14	22	2	9	1	2	0	3
ENSG00000011347	SYT7	22	2	30	2	9	0	3	1	2	2	4	5
ENSG00000011376	LARS2	2759	3273	2526	2132	1409	1715	1349	1305	1037	1225	1113	1164
ENSG00000011405	PIK3C2A	3759	4362	4040	3619	2091	2524	728	718	707	671	653	568
ENSG00000011422	PLAUR	851	1072	873	850	735	657	815	735	744	719	680	665
ENSG00000011426	ANLN	2436	2472	1244	1193	692	1742	2016	1916	1711	1038	921	871
ENSG00000011451	WIZ	530	725	434	362	326	457	1527	1460	1325	1456	1536	1419
ENSG00000011454	RABGAP1	3279	3636	3954	3315	2131	2294	844	790	723	736	704	658
ENSG00000011465	DCN	0	1	11	0	0	0	0	1	0	1	0	0
ENSG00000011478	QPCTL	261	434	381	174	125	241	525	402	411	567	494	541
ENSG00000011485	PPP5C	1560	1930	1403	875	786	1177	2244	2043	1867	2020	2086	2015
ENSG00000011523	CEP68	128	187	166	127	125	132	629	550	498	545	539	514
ENSG00000011566	MAP4K3	3512	3875	4368	3049	2005	2445	278	276	199	182	164	159
ENSG00000011590	ZBTB32	50	71	15	31	40	26	0	0	0	0	0	0
ENSG00000011600	TYROBP	371	460	499	296	295	252	1553	1316	1242	1035	1102	1055
ENSG00000011638	LDAF1	20	98	31	65	49	37	282	262	228	248	253	210
ENSG00000011677	GABRA3	4	8	5	2	13	9	1	1	0	0	0	1
ENSG00000012048	BRCA1	2466	2489	1959	1752	1103	1746	2437	2214	2061	1744	1617	1544
ENSG00000012061	ERCC1	502	606	538	402	456	366	2148	2065	1830	1796	1800	1702
ENSG00000012124	CD22	0	0	0	0	1	0	1	0	1	1	2	0
ENSG00000012171	SEMA3B	0	0	0	0	24	0	6	6	4	1	3	2
ENSG00000012174	MBTPS2	704	714	559	579	398	427	502	453	412	390	361	345
ENSG00000012211	PRICKLE3	169	205	112	136	180	117	361	338	298	341	407	331
ENSG00000012223	LTF	0	0	0	0	0	14	1	1	0	0	0	0
ENSG00000012232	EXTL3	350	451	576	229	325	233	701	638	511	495	517	462
ENSG00000012504	NR1H4	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000012660	ELOVL5	7993	9613	6933	6257	4522	5577	5423	4839	4392	4879	4444	4497
ENSG00000012779	ALOX5	59	63	505	387	261	149	205	210	173	18	30	34
ENSG00000012817	KDM5D	2915	4051	3393	2444	1662	2159	1908	1806	1874	1582	1499	1332
ENSG00000012822	CALCOCO1	373	513	400	362	320	237	1141	1136	1069	780	861	721
ENSG00000012963	UBR7	628	774	559	529	329	422	2172	2057	1755	1660	1447	1463
ENSG00000012983	MAP4K5	4436	5628	5353	3892	2911	3371	1055	911	862	785	839	703
ENSG00000013016	EHD3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013275	PSMC4	860	1092	774	573	661	578	3260	2840	2563	2917	2890	2683
ENSG00000013288	MAN2B2	781	1321	999	908	810	509	1429	1445	1240	1151	1120	1093
ENSG00000013293	SLC7A14	0	0	0	0	0	0	0	0	0	0	0	0
