taxon	meanAL	meanIF	meanRA	prev	log2FC	p	padj
Curtobacterium flaccumfaciens	0.00461260372561211	0.0016810551049085	0.00314682941526031	10	-1.45566912279553	0.0555555555555556	0.599078341013825
Hungatella hathewayi	0.00171080608079801	0.000785841692866247	0.00124832388683213	10	-1.12137396787865	0.0555555555555556	0.599078341013825
Blautia pseudococcoides	0.00319614871390743	0.00166632544757015	0.00243123708073879	10	-0.939250118517888	0.0952380952380952	0.599078341013825
Clostridium sp. 10cd*	0.0189371122226133	0.00883456779052461	0.013885840006569	10	-1.09989777490601	0.0952380952380952	0.599078341013825
Escherichia coli	0.00550230924502241	0.00286062285264963	0.00418146604883602	10	-0.943465854951432	0.0952380952380952	0.599078341013825
Sellimonas intestinalis	0.00133534424359623	0.000785460099143857	0.00106040217137004	10	-0.764846217515391	0.0952380952380952	0.599078341013825
Blautia wexlerae	0.00160558132247074	0.000894214305433195	0.00124989781395197	10	-0.843689013747166	0.150793650793651	0.599078341013825
Roseburia intestinalis	0.00147172037933859	0.000809403122876871	0.00114056175110773	10	-0.861771897860073	0.150793650793651	0.599078341013825
Simiaoa sunii	0.00169392894546521	0.000754911331878801	0.00122442013867201	10	-1.16493587231741	0.150793650793651	0.599078341013825
[Clostridium] innocuum	0.0160176023931286	0.00788100109630659	0.0119493017447176	10	-1.02311442430039	0.150793650793651	0.599078341013825
Blautia producta	0.00662847619015002	0.00366040148460627	0.00514443883737815	10	-0.856498905725563	0.222222222222222	0.599078341013825
Clostridioides difficile	0.00218084455178968	0.00135936696116005	0.00177010575647487	10	-0.681552445466986	0.222222222222222	0.599078341013825
Emergencia sp. JLR.KK010	0.0187335438450312	0.00841413640262251	0.0135738401238269	10	-1.15464228908229	0.222222222222222	0.599078341013825
Enterocloster clostridioformis	0.00164125758474509	0.00093844785138817	0.00128985271806663	10	-0.805795443440254	0.222222222222222	0.599078341013825
Sporofaciens musculi	0.00188305078238304	0.00103594809667956	0.0014594994395313	10	-0.86149416821903	0.222222222222222	0.599078341013825
[Clostridium] symbiosum	0.00244134216080463	0.00116778695146619	0.00180456455613541	10	-1.06325335251142	0.222222222222222	0.599078341013825
Clostridium sp. MD294	0.00352820969227315	0.00191823782445702	0.00272322375836508	10	-0.878811656392761	0.30952380952381	0.599078341013825
Dysosmobacter sp. Phy	0.00647001957030486	0.00452232880536707	0.00549617418783597	10	-0.516608169619256	0.30952380952381	0.599078341013825
Dysosmobacter welbionis	0.0152960446143908	0.0102132602672355	0.0127546524408131	10	-0.582668225864804	0.30952380952381	0.599078341013825
Eisenbergiella porci	0.00349144832576149	0.00211102375921596	0.00280123604248873	10	-0.725612705299231	0.30952380952381	0.599078341013825
