taxon	HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
Parasutterella	0	0	0	0	0	0	0.17083	0	0	0
Petralouisia	0	0	0	0	0.00169	0	0	0	0	0
Pumilibacter	0	0	0.03271	0.03734	0.03329	0	0	0.00191	0.00925	0.00071
Romboutsia	0.00411	0.00141	0.00579	0	0.01485	0	0	0	0	0
Sangeribacter	0.75688	0.37323	0.75338	0.82674	2.55939	0.23417	1.92852	2.03984	0.64619	0.0927
Schaedlerella	0.1565	0.05376	0.02297	0.02718	0.03601	0.14184	0.3732	0.05983	0	0.12022
Senimuribacter	0.25586	0.02023	0.15882	0.36811	0.49358	0.07377	0.65331	0.3445	0.02155	0.00402
Sporofaciens	0.20938	0	0	0.03393	0	0.05116	0.04912	0.0023	0	0
Streptococcus	0	0	0	0	0	0	0.02045	0	0	0
Thomasclavelia	0.02029	0.00237	0.00093	0	0.00593	0.00714	0.02223	0	3e-04	0.00584
