gene_id,gene_name,CHD3_1,CHD3_2,CHD3_3,CHD3_4,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000149428.21,HYOU1,2981.998,2387.999,2733,2626.997,6296.998,5970.001,6045.001,5518.001,4904.894983472168,-0.973102067538866,0.03225999772761449,1.8475190528905434e-201,8.96938646401585e-199,Down
ENSG00000084710.14,EFR3B,1443,1261,1397,1358,3570,3346,3281,3091,2628.6043075824855,-1.1025534818708698,0.03696900956895584,2.8165561501992926e-197,1.321809801288528e-194,Down
ENSG00000138760.11,SCARB2,8688.996,8045,8618.003,8473.001,5309,5271,4954.999,4484.011,7114.565323153656,0.9311800603345798,0.031495000821786245,1.3042646695700922e-193,5.923465252541074e-191,Up
ENSG00000188895.12,MSL1,2132.999,1682,2003,1921.999,4557.001,4502,4534.999,4044.001,3546.2517567661102,-1.0098796510855421,0.03435743316412907,1.504110491178424e-191,6.617616126656572e-189,Down
ENSG00000132613.16,MTSS2,2956.001,2366,2750,2762,6948,6327,6782.001,6006.001,5684.462260638498,-1.0873072652097966,0.03723781768104469,3.138867731213349e-189,1.339155114780386e-186,Down
ENSG00000122203.15,KIAA1191,1032,932,991,959.001,2810.999,2689.001,2719,2641.997,2023.6931737275274,-1.2900744820715497,0.0446036322759568,3.4295002106933292e-186,1.4201156901868052e-183,Down
ENSG00000108774.15,RAB5C,802,641,745,791.139,2242,2157.999,2236.759,2044.113,1619.4728596224807,-1.3608295373962855,0.047242628171882545,6.891486119556144e-185,2.772149516492313e-182,Down
ENSG00000244038.11,DDOST,1136.533,1030.264,1148.935,1204.546,3066.179,2974.183,2944.653,2639.473,2224.081168619206,-1.1795386717675864,0.04092674284119874,1.1843082838551326e-184,4.631632313443448e-182,Down
ENSG00000142784.16,WDTC1,413.999,340,403.001,455,1634,1448,1512,1359,1051.7117381504825,-1.6964091358738749,0.05967863938794884,5.141358454558011e-181,1.9563563697762766e-178,Down
ENSG00000184602.6,SNN,2409,1885,2185,2394,5917,5605,5608,5354,4373.607525525825,-1.1626270340638334,0.04149852581295398,1.1285948677499587e-174,4.181443985013597e-172,Down
ENSG00000152102.18,FAM168B,2915,2426,2692,2691,5827,5461,5484,4906,4603.996063634635,-0.8363452565126466,0.03027070767863864,2.2921430159895715e-169,8.274636287722352e-167,Down
ENSG00000082153.18,BZW1,2127.878,1738.725,2047.028,2094.572,4668.483,4825.12,4580.366,3982.398,3565.946764298991,-0.9921885806805667,0.03613413405949204,1.3390708683509495e-167,4.713194688878255e-165,Down
ENSG00000103034.15,NDRG4,4982.001,4534.998,4760.999,4810,10900.001,10396.998,10369.002,10066.998,8444.859281485498,-0.9486327813416676,0.03468630731403205,3.2811709851489016e-166,1.1267221048758874e-163,Down
ENSG00000131016.17,AKAP12,2172.857,1861,2083,1984.999,4882,4575,4581,4444.001,3763.4627233928672,-1.0103794279023783,0.037208319801310036,4.998329115802881e-164,1.67551132431878e-161,Down
ENSG00000104490.18,NCALD,2023.001,1771.001,2088.999,2051.002,4558,4305.999,4443,4051,3379.0144354712393,-0.9499889845743571,0.03515103289514249,2.1485829065327442e-162,7.034860172342909e-160,Down
ENSG00000143153.14,ATP1B1,3633.999,3515.001,3718.001,3537,8357,8509.021,8384,7335,6225.742760060142,-0.9935512568593855,0.037214466704797354,1.200482061056792e-158,3.8412697585496763e-156,Down
ENSG00000134871.19,COL4A2,9326.999,8419.426,9693,8536,4584.999,4016.998,4447.999,3452,7432.573672031815,1.2948229869842536,0.04870767698016362,5.715322144220772e-158,1.788133788188539e-155,Up
ENSG00000125971.18,DYNLRB1,2279.929,2064.028,2294.539,2174.607,1222,1236.848,1201.322,1063.085,2003.6594916983167,1.0704257015411665,0.040213442898676,7.017188818550263e-158,2.1477174212254165e-155,Up
