category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Xenobiotics biodegradation and metabolism,mmu00980,Metabolism of xenobiotics by cytochrome P450,13/675,36/5932,0.3611111111111111,3.173497942386831,4.686823580249253,9.107713492008869e-5,0.0016292687469038087,0.0014966476557043815,Hpgds/Gstk1/Gstt1/Gstt2/Akr7a5/Adh1/Cyp2e1/Mgst3/Gsta4/Cyp1b1/Dhdh/Gstp1/Gstp2,13
Human Diseases,Cancer: overview,mmu05204,Chemical carcinogenesis - DNA adducts,11/675,29/5932,0.3793103448275862,3.3334355044699873,4.5134150098858115,1.914778685154499e-4,0.003245045982209203,0.0029809019973873366,Hpgds/Gstk1/Gstt1/Gstt2/Cyp2e1/Mgst3/Gsta4/Sult1a1/Cyp1b1/Gstp1/Gstp2,11
Metabolism,Metabolism of other amino acids,mmu00480,Glutathione metabolism,14/675,50/5932,0.28,2.460681481481482,3.716420742304103,9.965915096677026e-4,0.015281069814904773,0.014037203720131551,Hpgds/Gstk1/Oplah/Gpx4/Gstt1/Gstt2/Gpx3/Prdx6/Mgst3/Gclc/Gsta4/Chac2/Gstp1/Gstp2,14
Metabolism,Global and overview maps,mmu01212,Fatty acid metabolism,14/675,50/5932,0.28,2.460681481481482,3.716420742304103,9.965915096677026e-4,0.015281069814904773,0.014037203720131551,Hsd17b8/Cpt2/Acadl/Hadh/Acaa2/Acadm/Hadhb/Cpt1b/Acadvl/Mcat/Acads/Echs1/Acaa1b/Mecr,14
Cellular Processes,Transport and catabolism,mmu04146,Peroxisome,18/675,74/5932,0.24324324324324326,2.1376576576576576,3.528577256551786,0.0012535129331605224,0.018346871112622194,0.01685345139799554,Pxmp2/Pex6/Sod1/Phyh/Gstk1/Prdx5/Pex11a/Pex16/Mlycd/Sod2/Ephx2/Ech1/Nudt13/Cat/Nudt7/Acaa1b/Eci2/Crat,18
Organismal Systems,Endocrine system,mmu03320,PPAR signaling pathway,15/675,58/5932,0.25862068965517243,2.2727969348659003,3.4902216359344758,0.00162236789992064,0.02237440304658123,0.020553145655734965,Nr1h3/Cpt2/Dbi/Acadl/Fabp3/Acadm/Me1/Cpt1b/Aqp7/Plin4/Ubc/Fabp4/Plin5/Acaa1b/Adipoq,15
Metabolism,Metabolism of cofactors and vitamins,mmu00785,Lipoic acid metabolism,7/675,17/5932,0.4117647058823529,3.618649237472767,3.874104004325007,0.0016676573699315202,0.02237440304658123,0.020553145655734965,Lias/Bckdha/Bckdhb/Pdhb/Dlat/Ogdh/Gcsh,7
Metabolism,Carbohydrate metabolism,mmu00620,Pyruvate metabolism,11/675,37/5932,0.2972972972972973,2.612692692692693,3.5257980671759843,0.0020181158895216534,0.025969405290841664,0.023855517772888225,Ldhd/Ldhb/Hagh/Acacb/Adh1/Me1/Fahd2a/Pdhb/Dlat/Mdh2/Acss2,11
Metabolism,Metabolism of cofactors and vitamins,mmu00760,Nicotinate and nicotinamide metabolism,10/675,32/5932,0.3125,2.7462962962962965,3.549063551836416,0.0021203113780925826,0.025969405290841664,0.023855517772888225,Aox1/Nadk2/Nnt/Nudt13/Enpp1/Naprt/Nt5c2/Sirt5/Nmrk2/Nampt,10
Metabolism,Global and overview maps,mmu01200,Carbon metabolism,21/675,96/5932,0.21875,1.9224074074074073,3.2647326063105075,0.0021775588287351708,0.025969405290841664,0.023855517772888225,Mcee/Pccb/Hk1/Psph/Hk2/Sdhd/Aldh6a1/Me1/Pdhb/Dlat/Acads/Sdhc/Mdh2/Ogdh/Got1/Sucla2/Sdhb/Cat/Echs1/Acss2/Gcsh,21
