gene_id	gene_name	A	B	C	J_896	J_897	J_899	J_902	J_904	J_905	J_909	J_910	J_912
ENSMUSG00000000001.5	Gnai3	6980	6238	6689	3053	5193	6016	4920	5363	4793	7154	4883	3699
ENSMUSG00000000003.16	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.16	Cdc45	212	212	120	65	81.999	156	124	101	155	242	128	88
ENSMUSG00000000031.19	H19	71838	46292.999	42275.001	26433.998	21521.001	41207	29572	18561.999	41571	23688.999	16097.999	35429.999
ENSMUSG00000000037.18	Scml2	78	55	50	45	50	54	38	38	52	51	60	34
ENSMUSG00000000049.12	Apoh	22	17	19	16	45	24	8	21	7	6	21	13
ENSMUSG00000000056.8	Narf	2996	2052	2042	1646	2346	2448	1519	1996	1811	1400	1192	2818
ENSMUSG00000000058.7	Cav2	6289	4787	5867.001	3100	4591.999	6385	6233	5091	4099	4015	3541	2999
ENSMUSG00000000078.8	Klf6	9323	9942.999	11057	6250	7190	9597	7792.999	9002	9059	10876	8708	7191.999
ENSMUSG00000000085.17	Scmh1	810	672	597.001	510	712	680.001	410.999	651	695.002	527.001	679.999	627
ENSMUSG00000000088.8	Cox5a	7429	10605	8556	14813	22068	20442.001	12723	13649.094	10388.999	8582.001	10461	14402.999
ENSMUSG00000000093.7	Tbx2	128	152	173	165	118	154	62	126	89	102	230	93
ENSMUSG00000000094.13	Tbx4	100	66	78	50	85	84	35	59	45	51	87	69
ENSMUSG00000000103.13	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.7	Ngfr	61	34	24	15	30	27	18	18	13	39	25	17
ENSMUSG00000000125.6	Wnt3	2	1	1	1	0	4	0	0	0	0	0	0
ENSMUSG00000000126.12	Wnt9a	384	369	467	283	430	455	212	389	301	241	333	325
ENSMUSG00000000127.16	Fer	729	510	611.001	334.001	537	656.001	459	568	493	480.001	441.999	352
ENSMUSG00000000131.16	Xpo6	1670	1532	1432	1263.999	1310.999	1427.999	891	1279.001	1253	1537	1436.001	957
ENSMUSG00000000134.18	Tfe3	2109	1982.001	1691.001	975	1377	1547.001	1341	1644	1656.001	2287.001	1951.999	1187.999
ENSMUSG00000000142.16	Axin2	179	117	129	190	135.001	216	120	146	141	70	135	111
ENSMUSG00000000148.18	Brat1	321	319.001	278	211	289	261	234	247.001	246	353.001	361	238
ENSMUSG00000000149.11	Gna12	4964	3662	3476	2447	3166	3113	2893	3341	4010	4627	5085	3144
ENSMUSG00000000154.17	Slc22a18	35	30	32	30	54	35	32	53	47	29	50	23
ENSMUSG00000000157.17	Itgb2l	0	0	3	0	1	0	0	0	2	0	0	0
ENSMUSG00000000159.17	Igsf5	2	0	0	2	2	0	1	1	0	0	1	0
ENSMUSG00000000167.15	Pih1d2	49	31	46	28	30	42	22	33	30	30	37	24
ENSMUSG00000000168.11	Dlat	4605	4438	4258	3446	5468	6658	7472	4744	4331	3231	3027	5362
ENSMUSG00000000171.6	Sdhd	7822	8415	6529	6453	11195	11236	8770	8500	8346	7572	8440	10331
ENSMUSG00000000182.10	Fgf23	2	4	3	0	0	2	0	2	8	2	3	1
ENSMUSG00000000183.7	Fgf6	170	88	49	93	63	100	71	73	48	31	30	87
ENSMUSG00000000184.13	Ccnd2	1530	1539	2342	1411	1953	2625	1015	2415.999	1456	1591	1864	985
ENSMUSG00000000194.14	Gpr107	2581	2163	2028	902	1353	1672	1396.999	1662	1798	2188.001	1397	1268
ENSMUSG00000000197.9	Nalcn	16	22	10	39	64	46	13	36	19	23	47	38
ENSMUSG00000000202.10	Btbd17	10	2	0	0	2	0	2	4	8	14	6	3
ENSMUSG00000000204.17	Slfn4	590.939	912.352	216.041	99	86.008	288.055	146	102.029	225.043	1121.279	190.04	107.028
ENSMUSG00000000214.12	Th	4	0	1	1	2	4	1	4	1	1	0	2
ENSMUSG00000000215.12	Ins2	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000216.9	Scnn1g	0	0	1	0	0	0	0	0	1	1	0	0
ENSMUSG00000000223.14	Drp2	364.001	258	164	164	208	330.001	215	212.999	145	244	146	123
ENSMUSG00000000244.18	Tspan32	491	389	230	179	202.999	220	339	209	266	510	422	257
ENSMUSG00000000247.12	Lhx2	21	24	9	16	19	19	5	14	11	11	10	12
ENSMUSG00000000248.17	Clec2g	7	1	0	0	0	0	2	1	0	1	0	0
ENSMUSG00000000253.14	Gmpr	2123	1649	1468	1406	2384	1874	995	1728	1728	1227	1562	2871
ENSMUSG00000000263.16	Glra1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000266.12	Mid2	715	587	706	473	626	758	494	618	486	505	440	432
ENSMUSG00000000275.17	Trim25	3322	3040	2595	1256	1456	2119	1992	1861	2368	3964	1932	1604
ENSMUSG00000000276.12	Dgke	568	431	394	294	284	406	368	350	273	427	350	241
ENSMUSG00000000278.11	Scpep1	7739	6711	6195	2658	4167	5455	5161	5676	6414	7980	5081	4077
ENSMUSG00000000282.13	Mnt	869	809	656	451	583	656	633	731	776	1049	918	586
ENSMUSG00000000290.14	Itgb2	21769	17051.001	12083.001	4199.001	5957.999	9931.001	12912.001	11317.999	17344.999	20195.999	10172	8265
ENSMUSG00000000295.14	Hddc2	398.001	370	337	349.999	472.001	475.999	332	351.001	418	371	467	359
ENSMUSG00000000296.9	Tpd52l1	482	418	352.999	519.999	642.001	623	281.001	420.001	447	276	344.999	615
ENSMUSG00000000301.17	Pemt	43	54.001	37	65	73	43	47	51	48.001	57	44	52
ENSMUSG00000000303.14	Cdh1	72	112	15	26	15	39	51	23	32	97	21	37
ENSMUSG00000000305.13	Cdh4	158	79	98	54	112	68	9	72	122	44	43	143
ENSMUSG00000000308.15	Ckmt1	14	10	87	13	25	44	8	35	33	6	47	7
ENSMUSG00000000317.12	Bcl6b	489	323	282	219	382	606	261	413	247	241	213	126
ENSMUSG00000000318.17	Clec10a	1386.952	1328.911	1300.972	1797.658	2294.874	1292.87	731.769	1670.207	1282.928	2107.97	2508.856	1188.259
