gene_id	gene_name	A	B	C	J_896	J_897	J_899	J_902	J_904	J_905	J_909	J_910	J_912
ENSMUSG00000000320.11	Alox12	11	10	1	7	22	19	19	11	18	4	12	15
ENSMUSG00000000326.14	Comt	2262	2133	1843	1476	2114.001	2355	2473	2178.001	2239	2333	1811	1695
ENSMUSG00000000339.15	Rtca	1016	926	820	667	948	1016.001	646	878.001	826	890	898	812
ENSMUSG00000000340.11	Dbt	1283	1087	1090	702	841	1120	2273	953	919	927	655	874
ENSMUSG00000000346.10	Dazap2	12861	11168.001	11225	6747	9464	10684	9216.998	10271	8871.998	13043	12420	8660
ENSMUSG00000000355.14	Mcts1	1605.999	1581	1578	1230	1856.001	2011.001	1602	1526.999	1222	1581	1414	1288
ENSMUSG00000000359.4	Rem1	252	250	210	156	236	247	148	209	274	323	278	146
ENSMUSG00000000365.10	Rnf17	31	19	20	8	9	10	9	15	15	13	18	7.999
ENSMUSG00000000374.9	Trappc10	1775.001	1502	1464.999	940	1531	1533	1130.999	1364	1522.999	1540	1145	1135
ENSMUSG00000000378.16	Ccm2	1242.999	983	866	698	1018.999	902	628	948	978	1041.001	1154	852.999
ENSMUSG00000000381.11	Wap	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.16	Tbrg4	908	865	633	605	860.999	873	708	769.999	754	756	692.999	905
ENSMUSG00000000385.9	Tmprss2	0	1	0	0	0	0	0	1	0	0	0	3
ENSMUSG00000000386.19	Mx1	397	842.097	105.001	73	57	230.527	198.001	70	175.001	975.999	213.999	87
ENSMUSG00000000392.18	Fap	3590.999	2998	4270.001	1996	2891	3407	2144	3403.001	2374.999	2489	2625.999	1765.999
ENSMUSG00000000394.16	Gcg	0	2	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000399.11	Ndufa9	6789	5737	5514	4560	6593.001	7945	6841	5861	5728	4315	3966	7061
ENSMUSG00000000402.3	Egfl6	137	86	66	153	157	131	24	70	81	65	94	68
ENSMUSG00000000409.15	Lck	104	85	136.999	96.002	138	119	62	166	99	108	194	56
ENSMUSG00000000411.8	Tssk3	0	0	0	0	0	2	1	0	0	0	0	0
ENSMUSG00000000416.17	Cttnbp2	89	55	95	66	49.001	64	49	62	37	41	38	35
ENSMUSG00000000420.16	Galnt1	7258	5951	6409	3367.999	4783	5489	4565	5142	5190.999	5921	4348.001	4310
ENSMUSG00000000435.2	Myf5	167	123	58	183	238	227	184	88	211	124	105	152
ENSMUSG00000000439.10	Mkrn2	1612	1311	1324	1026	1461	1485	1059	1374	1386	1199	1149	1621
ENSMUSG00000000440.13	Pparg	1097	796.001	1097	486	527	813	2012.001	828	866	975	669	498.999
ENSMUSG00000000441.18	Raf1	3934	3306	3070	2680	3474	3339	2383	2991.001	3137.999	3039.001	2798.001	3347
ENSMUSG00000000486.14	Septin1	121	153	162	89	138.001	136	57	145	105	93	160.001	87
ENSMUSG00000000489.8	Pdgfb	1803	1575.001	1266	875	1059	1392	966	1342	1172	1610	1889	809
ENSMUSG00000000530.17	Acvrl1	1086	1093	913	830.001	1224	1202.999	786	1010.999	947	1131	999.999	728
ENSMUSG00000000531.6	Tamalin	226	260	231	303	290	289	145	268	215	283	433	227
ENSMUSG00000000532.12	Acvr1b	1516	1250	1243	702	927	1035	648	968	1284	1191	866	1204
ENSMUSG00000000538.19	Tom1l2	2182	1610.001	1355.999	1328	1597.001	1568.999	1070.001	1448.001	1494.999	1431	1480.999	1945.001
ENSMUSG00000000544.15	Gpa33	0	3	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000552.11	Zfp385a	712	671	460	376	533	461	388	456	602	770	734	421.999
ENSMUSG00000000555.9	Itga5	3536	3804.999	3012.999	1362	1588	2257.001	1696	2077	2721	4008	2226	1566
ENSMUSG00000000560.10	Gabra2	1	0	0	9	3	1	3	0	1	0	2	1
ENSMUSG00000000561.15	Wdr77	1678.145	1804.89	1502.677	1313.325	1898.21	1934.054	1194.52	1653.31	1488.646	1819.035	1434.88	1310.345
ENSMUSG00000000562.6	Adora3	64	77	34.564	35	39	43	38	30	46	72	54	25
ENSMUSG00000000563.18	Atp5pb	19161.91	18831.652	17007.867	17888.835	29266.835	30837.821	20639.84	21446.87	18212.843	15234.913	15297.885	23651.916
ENSMUSG00000000567.6	Sox9	231	263	265	227	377	323	165	248	326	393	313	127
ENSMUSG00000000568.16	Hnrnpd	3138.999	3278	2778.002	2146	2905.999	3199	2165.999	2642.001	2151.999	3098.001	3002.001	1766
ENSMUSG00000000579.15	Dynlt1c	1104.866	758.138	659.516	441.639	448.249	568.728	378.952	464.701	785.526	815.379	731.704	648.753
ENSMUSG00000000581.9	C1d	4110.001	4184.999	3722.998	3042.999	5106.001	4807.999	3228	3992.001	3389	4151	4298.001	3531.001
ENSMUSG00000000594.8	Gm2a	12379	10591	11151	5354	6223	9644	12055	10092	11357	12914	11742	8176
ENSMUSG00000000600.16	Krit1	1650	1553	1809	1093.001	1436	1881.999	1306	1359.999	1322.999	1482	1134	1240.001
ENSMUSG00000000605.10	Clcn4	4044	3588	3829	2614.001	3348	4190	2995	3602	3218.001	3740	2755	2754
ENSMUSG00000000606.20	Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.15	Grm6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627.16	Sema4f	21	7	4	5	17	12	8	8	3	17	14	8
ENSMUSG00000000628.11	Hk2	4120	3640	2399	3221	3484	4127	4906	3449	3402	2731	1880	4801
ENSMUSG00000000631.21	Myo18a	3561.999	2420.999	2213.999	2024	2160.001	2266	1736.999	2163.001	2049.999	2229.998	1725	2364.999
ENSMUSG00000000632.14	Sez6	3	6	4	5	13	5	8	5	4	1	9	1
ENSMUSG00000000673.10	Haao	83	122	56	18	24	39	45	28	49	98	63	32
ENSMUSG00000000682.8	Cd52	3636	4634	2637	1699	1749	2729	4671	2264	2674	6054	4479	2156
ENSMUSG00000000686.12	Abhd15	63	54	66	27	14	42	163	38	70	63	33	28
ENSMUSG00000000690.6	Hoxb6	23	23	21	38	19	39	35	25	25	27	25	19
ENSMUSG00000000693.11	Loxl3	1081	1996	2325	853.001	922	1380	616	1309	1494.001	2210.999	1318	658
ENSMUSG00000000701.9	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.17	Btn1a1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708.15	Kat2b	3688	3047	3516	2730	3494	3866	2886	3217	3105	2745	3020	3198
ENSMUSG00000000711.4	Rab5b	6353.964	4731.951	5130.991	2652	4258	4650	3662.994	4504	4572	4134	3984.999	4498
ENSMUSG00000000724.11	Cryba1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730.14	Dnmt3l	15	18	8	7	9	9	6	3	17	21	16	7
ENSMUSG00000000731.16	Aire	0	0	0	4	0	4	0	0	0	0	0	0
ENSMUSG00000000732.10	Icosl	284.999	281	263	194	223	255	138	246	233	381	300	186
ENSMUSG00000000738.19	Spg7	1393.999	1464	1170.001	1196	1612.001	1353.001	1245.001	1359.999	1602	1425.001	1261	1481.001
ENSMUSG00000000739.15	Sult5a1	159	232.001	222.001	362.999	450.001	332	148	315.999	292	234	440.999	205
ENSMUSG00000000740.13	Rpl13	25240.752	23076.105	17736.123	21969.325	29290.8	23327.677	16902.989	22102.86	24628.392	31283.065	38694.298	25271.467
ENSMUSG00000000743.10	Chmp1a	2819	2513	2046	1565	2249	2127.001	1500	2172.999	2672	2965.999	3100.999	2188
ENSMUSG00000000751.14	Rpa1	2367	2222.001	2266.999	1445	2106	2176.999	1373	1718	2026	2319.001	1956	1980.001
ENSMUSG00000000753.16	Serpinf1	6939	6746	9265	7422	15508	10070	3101	9860	7757.001	6923.999	10826	6498
ENSMUSG00000000759.15	Tubgcp3	945	976	945	683.999	792.999	1010	689.999	868	840	1042	866	660
ENSMUSG00000000766.19	Oprm1	0	1	0	4	0	0	2	0	0	0	0	1
ENSMUSG00000000776.14	Polr3d	726	751.999	669	401	627	788.999	455.001	668.001	594	643	530.999	507
ENSMUSG00000000782.17	Tcf7	86	53	88	37	42	64	40	62.999	51	66	94	22
ENSMUSG00000000787.13	Ddx3x	20084.441	16277.076	17863.939	7262	11205.766	14442.975	12297.677	11777.634	11427.984	13435.397	10141.936	9268.19
ENSMUSG00000000791.10	Il12rb1	11	16	11	16	8	12	11	15	8	9	20	7
ENSMUSG00000000792.3	Slc5a5	4	0	0	4	1	0	1	0	4	2	4	5
ENSMUSG00000000794.10	Kcnn3	390	299	253	241	239	386	157	168	233	224	126	253
ENSMUSG00000000804.15	Usp32	1874.999	1374	1642	677	1017	1340	1314	1132	1099	1391	1057	999
ENSMUSG00000000805.19	Car4	138	159	169	281	215	278	369	173	271	148	130	277
ENSMUSG00000000811.15	Txnrd3	216	181	204	157	225	192	221	202	197	185	191	146
ENSMUSG00000000817.11	Fasl	17	24	28	21	3	6	1	20	10	6	18	1
ENSMUSG00000000823.17	Zfp512b	767	810	770	431.999	491	651.001	384	589	571	611	608	478
ENSMUSG00000000826.17	Dnajc5	4885.001	3892	3957.999	1858	2587.001	3269	2843	3254	3429.999	3960.001	2797	2368.999
ENSMUSG00000000827.19	Tpd52l2	3482	3342.999	3695	2533.001	3690	3980	2789	3573	3039.001	3523	3209	2765
ENSMUSG00000000838.18	Fmr1	2160.462	2116.788	2255.888	1346.227	1967.675	2403.599	1810.036	1887.335	1854.168	2227.576	1783.347	1429.034
ENSMUSG00000000861.16	Bcl11a	88	65	55.001	39	24.001	51	56	14	36	68	45	25
ENSMUSG00000000869.13	Il4	1	0	0	3	7	1	0	8	2	2	2	2
ENSMUSG00000000876.12	Pxmp4	776	674	632	447	653	765	685	674	634	561	561	611
ENSMUSG00000000881.13	Dlg3	1692.999	1565.999	1712	692	1258	1299.999	1342	1747	1529	1842	1517	1081
ENSMUSG00000000884.18	Gnb1l	90	84	93.001	102	100	107.001	65	102	82	83.999	131	70
ENSMUSG00000000889.9	Dbh	23	7	0	2	5	5	0	1	4	5	0	1
ENSMUSG00000000901.18	Mmp11	319.999	276	228	270	312.001	263	217	315	229.999	281	425	239.001
ENSMUSG00000000902.14	Smarcb1	1181	1193.999	1139	889.001	1262.001	1312	965	1171	1157	1453	1300	944
ENSMUSG00000000903.4	Vpreb3	0	1	0	1	1	2	1	0	1	0	0	0
ENSMUSG00000000915.16	Hip1r	249	242	199	243	291	317.945	159	200	201	243	248	166
ENSMUSG00000000916.16	Nsun5	214.001	211	177	190	212.999	229	153	216	180	234	181	161
ENSMUSG00000000934.10	Top1mt	221	179	138	143	232	205	175	201	174	194	192	208
ENSMUSG00000000938.12	Hoxa10	632	524	464	442	753.001	773	362	508.999	577	405	635	511
ENSMUSG00000000942.11	Hoxa4	53	70	50	53	58	72	55	53	39	27	31	45
ENSMUSG00000000948.17	Gm38393	126.172	67.031	89.053	18	33.203	51.182	44	68.306	53.061	41	5	66.024
ENSMUSG00000000957.12	Mmp14	8641	7076.999	8409.999	1907.001	3706.999	5204.001	4088	5122	5082.999	6207	4653	2042
ENSMUSG00000000958.11	Slc7a7	763	675	528	342	525	564.001	515	579.001	635.001	967	589	412
ENSMUSG00000000959.8	Oxa1l	2258.001	1671.001	1433	1055	1487	1632	1607	1635	1709	1884	1771.001	1694
ENSMUSG00000000976.14	Heatr6	586	444	462	254	455	498.001	347	398	501	480	385	280
ENSMUSG00000000982.6	Ccl3	515	533	246	164	197	209	277	320	278	720	477	188
ENSMUSG00000000983.14	Wfdc18	0	0	2	0	0	5	0	3	1	0	4	0
ENSMUSG00000001014.7	Icam4	38	34	17	13	45	33	13	22	26	34	34	24
ENSMUSG00000001016.13	Ilf2	1640.999	1617.999	1563.001	1094	1739	1672.999	1190.999	1452	1431.999	1887	1517	1245
ENSMUSG00000001017.17	Chtop	6390.999	5651.998	5973.999	4463.999	6574.999	6868.998	4550.001	5796	5678.998	5976.001	5481	5246.995
ENSMUSG00000001018.16	Snapin	3350	2697	2763.999	2282.001	3139.999	3278.001	2147.999	2944	2539	2325.999	2632	2591
ENSMUSG00000001020.9	S100a4	15092.69	19292.331	19896.335	9515.619	12677.553	16602	18346.595	14683.563	13667.861	22498.563	20842.828	10986
ENSMUSG00000001021.14	S100a3	4.325	11	16	8	7	11	5	10	6	19	16	1
ENSMUSG00000001023.11	S100a5	2	3	4	4	8	2	0	3	0	1	3	6
ENSMUSG00000001025.9	S100a6	10430	13860	11865.999	12739.999	19600.001	15184.999	11212	15568	10556	17807.999	20447	11850
ENSMUSG00000001027.8	Scn4a	3707	1938	1568	1164	1792	1652	698	1613	1495	1324	708	2385
ENSMUSG00000001029.16	Icam2	306	205	211.999	159	232	346	163	214	126	215	91.999	134
ENSMUSG00000001034.18	Mapk7	550	517.999	479.999	296	470	423.002	299	457	469.999	703.999	558.001	328.999
ENSMUSG00000001036.18	Epn2	909.001	755	919	704	963	970	547	866	749.001	625	684	780
ENSMUSG00000001039.13	B9d1	106	98	97	108	158	163	90	137	130	160	160	101
ENSMUSG00000001052.16	Sec24b	2055	1955.999	1748	1373.001	1964	2068	1740	1799.001	1689	2049.001	1658	1421
ENSMUSG00000001053.16	N4bp3	178	167	110	116.999	230	210	118	130	110	146	150	111
ENSMUSG00000001054.10	Rmnd5b	688	584	466	387	460	478	362	452.001	522	578	570.001	407
ENSMUSG00000001056.4	Nhp2	1343	1302	1030	724	1064	1078	937	937	1038	1518	1440	929
ENSMUSG00000001062.19	Vps9d1	650	550.999	500	340.001	567.999	507	333	520.999	552.999	594.001	689	551.999
ENSMUSG00000001065.16	Zfp276	493.001	547	488.999	368	420.999	519	351	417.001	468	650	369	358.999
ENSMUSG00000001076.8	C1ql4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082.13	Mfsd10	296.001	318.001	249	179.999	264	217	146	235	364	442.998	404	230
ENSMUSG00000001089.15	Luzp1	2477	1911	1990	651	949.001	1454.001	1228	1273.001	1462	1930	1021	949
ENSMUSG00000001095.6	Slc13a2	1	4	2	1	2	0	5	1	2	4	1	4
ENSMUSG00000001098.16	Kctd10	2949	2648	2581	1462	2276	2452.999	1791.999	2323	2495.001	2916	2298	1837
ENSMUSG00000001100.11	Poldip2	2126	1835.999	1557.999	1326	2200.001	2223.999	1872	1950	1792	1547	1453	1769
ENSMUSG00000001103.8	Sebox	4	0	1	2	2	1	3	0	1	0	0	0
ENSMUSG00000001105.16	Ift20	1263	1284	1198	1170.999	1683	1646.001	1087	1312	1087	1463	1445.001	919
ENSMUSG00000001119.8	Col6a1	17044	15527	19432	6496	11200	12742	6353	11268	11579	13468	11344	6335
ENSMUSG00000001120.16	Pcbp3	99	66	110.001	74	100	137	75.001	125	112	111.999	99.999	67
ENSMUSG00000001123.16	Lgals9	1988.999	2046	1185	555	818	1356.999	901	947	1014	2050	853	564
ENSMUSG00000001127.13	Araf	3144	2567.999	2510.999	2412	3356	3290	2087.999	2728	2635	2390.001	2364	2993
ENSMUSG00000001128.8	Cfp	1614	1717	748	838	1139	1114	1016	1068	1175	2186	1395	982
ENSMUSG00000001131.12	Timp1	2161	3540	2332	1366	1686	1843	1120	1468	2191	6961	2941	912
ENSMUSG00000001134.10	Uxt	485.001	483.999	401.999	444.994	606.855	531.018	373	484	471	404.999	413.983	482.022
ENSMUSG00000001138.14	Cnnm3	722	563	633	435.999	505	549.999	435	568.001	643	623.999	572	409
ENSMUSG00000001143.14	Lman2l	997	892	673.001	581	627	719.001	788.001	708.001	784	943	688.999	765.999
ENSMUSG00000001150.8	Mcm3ap	939	804	774.001	633	673	794	622	770	662	821	615	562
ENSMUSG00000001151.11	Pcnt	1348.001	961	901.999	725.001	751	906	660	795.999	1069	904	572.001	1113.001
ENSMUSG00000001155.14	Ftcd	3	5	0	0	6	3	0	2	0	0	0	0
ENSMUSG00000001156.10	Mxd1	401	463	494	332	338	453	380	411	471	620	450	302
ENSMUSG00000001157.14	Gmcl1	979	931	940	663	898	1035	836	899	710	991	910	618
ENSMUSG00000001158.14	Snrnp27	3200.001	2731	2746	2566.999	3665	3779	2488.001	3082	2737	2496	2743	2681
ENSMUSG00000001166.18	Oas1c	107	120	64	48	36	48	52	60	40	107	102	29
ENSMUSG00000001168.17	Oas1h	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173.16	Ocrl	1565	1415.999	1518	874	1062	1265.001	904	1202	1123.001	1394.999	1063	840
ENSMUSG00000001175.17	Calm1	36891	34686	30290	21380	31025	33831	24590	30206.001	25857	35556.999	25804.001	23984
ENSMUSG00000001211.16	Agpat3	2934	2242	1728	1613.001	1906	2109.999	2781	1946	2351.002	2152	1752	2233.001
ENSMUSG00000001225.13	Slc26a3	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000001227.13	Sema6b	264	304	198	205	237	242	148	205	218	330	232	154
ENSMUSG00000001228.15	Uhrf1	416	635	214	111	106	179.999	245.999	130	322	842	376	125
ENSMUSG00000001229.10	Dpp9	1053.999	851	681	495	719	655.001	471	692	944.999	1031	633	862
ENSMUSG00000001240.14	Ramp2	620.084	439.155	584.491	843.401	1017.729	971.498	449.583	856.349	647.076	431	821.579	828.514
ENSMUSG00000001247.17	Lsr	106	73	82	46	71	80	63	56	46	86	88.999	58
ENSMUSG00000001248.16	Gramd1a	1960.001	2172	2049.999	1861.999	1798.999	2018.999	1257.001	1601.001	1984.999	2016.001	1903	1710
ENSMUSG00000001249.15	Hpn	78	73	82	146	165	131.999	50	122.999	74	65.999	98.001	149.001
ENSMUSG00000001260.11	Gabrg1	1	0	0	0	3	0	4	0	0	0	0	3
ENSMUSG00000001270.10	Ckb	6037.983	9515.865	10582.244	7105.457	13852.147	11540.052	6572.78	12359.696	12531.936	12497.981	21603.103	9403.56
ENSMUSG00000001280.14	Sp1	4344	2930	3740	1409	2102	2751	2633	2617	2655	3220	2274	1850
ENSMUSG00000001281.11	Itgb7	541	439	393	195	233	335	250	338	367	675	346	279
ENSMUSG00000001285.13	Myg1	583.123	510.039	512.034	360	477.022	470.049	370.025	469.024	523.001	672.046	568.999	481.094
ENSMUSG00000001288.16	Rarg	996	806	757	642	693	748	535	749	955	949	1062	702
ENSMUSG00000001289.13	Pfdn5	8920.862	7346.935	8081.955	8416.994	12000.922	10638.941	7397.96	9471.976	7168.996	7934.943	10510.001	8444.877
ENSMUSG00000001300.17	Efnb2	588	461	434.999	390	398	696	426	385	259	315	212	310
ENSMUSG00000001305.6	Rrp15	511	488	524	270	487	466	322	433	397	561	424	297
ENSMUSG00000001313.13	Rnd2	335	258	231	241	411	295	225	314	316	321.001	406	335
ENSMUSG00000001323.18	Srr	985	690.001	693.001	443.001	540.999	656	623.001	666	638	584	525	506
ENSMUSG00000001333.10	Sync	1034	511	425	252	408	498	292	394	435	341	201	549
ENSMUSG00000001334.11	Fndc5	1022	799	349	808	1028	1324	1020	899	1192	579	388	1544
ENSMUSG00000001348.16	Acp5	7260	6271.001	23092.001	7018	11670	20180	7325.001	26053.001	13766	5783	21039	5908.001
ENSMUSG00000001349.6	Cnn1	21	5	23.001	11	20	71.999	12	9	50	12	22	16
ENSMUSG00000001366.15	Fbxo9	1363	1131.001	1131.001	860	1406.999	1528	1138	1186	1211	874.001	859	1114.999
ENSMUSG00000001376.18	Vps50	2112	2071	2004	1286.999	1888.999	2033.002	1753	1786	1533	2105.999	1695	1615
ENSMUSG00000001380.8	Hars1	2007	2007	1868	934	1467	1730	1381	1489	1711	2285	1659	1379
ENSMUSG00000001383.10	Zmat2	4573	4530	4259	3550	4669	5177	3869	4355	3413	4413	4214	3415
ENSMUSG00000001403.14	Ube2c	614	992	377	550	647	622	380	426	515	1069	639	455
ENSMUSG00000001415.11	Smg5	1733	1449.999	1183	894.999	1187.999	1380	914.999	1274.001	1347.001	1481	1124	1235
ENSMUSG00000001416.14	Cct3	4714.001	4251	4090	2492	3732.999	4151	3030.001	3541.001	3811	4564	3026.001	2897
ENSMUSG00000001418.14	Glmp	3332	3014	2760.999	1552	1987	2504	2590	2734.001	2820.002	3746.999	2828.999	1962.999
ENSMUSG00000001419.18	Mef2d	4703.999	3919.999	3566	3252.999	3787	3897	2537	3537	3283.999	3290.999	3092	3818
ENSMUSG00000001420.14	Tmem79	7	40	7	10	16	14	186.001	14	20	9	18	10
ENSMUSG00000001424.15	Snd1	2680	2283.001	1839	1190	1532	1843	1517	1875.999	2265	2676.999	1940.001	1532.999
ENSMUSG00000001435.16	Col18a1	2328	1594	1980	644	1050	1343.999	1040	1549.999	1326	1508.001	1435	777
ENSMUSG00000001436.16	Slc19a1	158	179	124	74.999	122	97	186	121	192.001	185	158	109
ENSMUSG00000001440.6	Kpnb1	8518	7975	7236	3698	5386.999	6940	5516	5946	5970	8758.999	5194	4495
ENSMUSG00000001441.14	Npepps	3857	3213.001	3126.999	1934	2939.001	3455.001	2643	2835	2800.999	2898	2156.998	2728
ENSMUSG00000001444.3	Tbx21	19	28	30	25	28	26	16	50	20	36	27	17
ENSMUSG00000001445.11	Mrpl10	1209	1192	1125	992	1426	1497	1196	1308	1228	1328	1538	1309
ENSMUSG00000001467.6	Cyp51	887.999	1431	1037	641	1119	908	785	989	885	1943	1074	666
ENSMUSG00000001472.18	Tcf25	6553.999	6167	5944	3837	4930	5294	4260	5519.999	5501.001	6389.999	5675	4965.001
ENSMUSG00000001473.8	Tubb6	4288	3731	2921	2617	3136	3562	2218.993	2500.994	3448	4913	2932	2000
ENSMUSG00000001482.16	Def8	1209	1147.001	858	626	934	953	663.001	874.001	1079	1043	998.001	979
ENSMUSG00000001493.10	Meox1	601	678	827	568	831	979	334	810	514	790	747	327
ENSMUSG00000001494.7	Sost	0	1	0	0	0	0	0	0	0	0	0	1
