name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Nitratireductor thuwali	2267699	S	20	0.00001	74	0.00002	40	0.00002	16	0.00000	94	0.00003	0	0.00000	0	0.00000	0	0.00000	67	0.00004	27	0.00001
Nitratireductor rhodophyticola	2854036	S	18	0.00000	16	0.00000	0	0.00000	30	0.00001	34	0.00001	0	0.00000	29	0.00001	21	0.00000	26	0.00001	29	0.00001
Phyllobacterium sp. K27	3680951	S	12	0.00000	0	0.00000	0	0.00000	34	0.00001	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	15	0.00001
Devosia sp. YIM 151766	3017325	S	121	0.00003	80	0.00002	20	0.00001	325	0.00009	27	0.00001	209	0.00004	152	0.00004	146	0.00003	59	0.00003	77	0.00003
Devosia sp. XK-2	3126689	S	78	0.00002	87	0.00002	0	0.00000	129	0.00004	0	0.00000	0	0.00000	39	0.00001	44	0.00001	0	0.00000	77	0.00003
Devosia sp. SD17-2	2976459	S	24	0.00001	43	0.00001	0	0.00000	60	0.00002	0	0.00000	0	0.00000	22	0.00001	25	0.00001	0	0.00000	39	0.00001
Devosia oryziradicis	2801335	S	19	0.00000	21	0.00001	0	0.00000	36	0.00001	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	23	0.00001
Devosia rhizosphaerae	3049774	S	17	0.00000	14	0.00000	21	0.00001	0	0.00000	33	0.00001	0	0.00000	17	0.00000	13	0.00000	36	0.00002	16	0.00001
Devosia algicola	3026418	S	13	0.00000	11	0.00000	0	0.00000	31	0.00001	15	0.00000	0	0.00000	39	0.00001	41	0.00001	14	0.00001	0	0.00000
Devosia beringensis	2657486	S	14	0.00000	21	0.00001	26	0.00001	0	0.00000	45	0.00001	0	0.00000	0	0.00000	0	0.00000	57	0.00003	17	0.00001
Pelagibacterium nitratireducens	1046114	S	45	0.00001	20	0.00001	12	0.00000	90	0.00002	12	0.00000	91	0.00002	64	0.00002	56	0.00001	21	0.00001	31	0.00001
Pelagibacterium sp.	1967288	S	25	0.00001	61	0.00002	45	0.00002	30	0.00001	93	0.00003	0	0.00000	15	0.00000	0	0.00000	67	0.00004	55	0.00002
Pelagibacterium halotolerans	531813	S	14	0.00000	15	0.00000	14	0.00001	13	0.00000	33	0.00001	0	0.00000	22	0.00001	18	0.00000	36	0.00002	24	0.00001
Paradevosia tibetensis	1447062	S	16	0.00000	25	0.00001	18	0.00001	18	0.00000	0	0.00000	0	0.00000	19	0.00001	0	0.00000	17	0.00001	23	0.00001
Methylobacterium nodulans	114616	S	42	0.00001	30	0.00001	12	0.00000	90	0.00002	16	0.00001	102	0.00002	63	0.00002	37	0.00001	27	0.00002	32	0.00001
Methylobacterium symbioticum	2584084	S	53	0.00001	14	0.00000	0	0.00000	146	0.00004	18	0.00001	86	0.00002	84	0.00002	79	0.00002	52	0.00003	35	0.00001
Methylobacterium bullatum	570505	S	42	0.00001	194	0.00006	50	0.00002	78	0.00002	62	0.00002	22	0.00000	42	0.00001	64	0.00001	89	0.00005	71	0.00003
Methylobacterium organophilum	410	S	43	0.00001	163	0.00005	81	0.00003	120	0.00003	185	0.00006	60	0.00001	82	0.00002	72	0.00002	149	0.00009	153	0.00006
Methylobacterium oryzae	334852	S	68	0.00002	106	0.00003	45	0.00002	77	0.00002	95	0.00003	46	0.00001	27	0.00001	0	0.00000	27	0.00002	98	0.00004
Methylobacterium sp. CM6257	3568943	S	15	0.00000	26	0.00001	34	0.00001	21	0.00001	51	0.00002	0	0.00000	40	0.00001	0	0.00000	58	0.00003	35	0.00001
Methylobacterium flocculans	2984843	S	15	0.00000	40	0.00001	17	0.00001	13	0.00000	0	0.00000	0	0.00000	32	0.00001	27	0.00001	0	0.00000	25	0.00001
Microvirga terrae	2740529	S	51	0.00001	32	0.00001	25	0.00001	93	0.00003	23	0.00001	77	0.00002	62	0.00002	59	0.00001	40	0.00002	38	0.00001
Methylorubrum aminovorans	269069	S	30	0.00001	14	0.00000	0	0.00000	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001	33	0.00001
Methylorubrum populi	223967	S	26	0.00001	40	0.00001	20	0.00001	42	0.00001	36	0.00001	0	0.00000	29	0.00001	28	0.00001	38	0.00002	51	0.00002
Ancylobacter pratisalsi	1745854	S	60	0.00002	40	0.00001	0	0.00000	144	0.00004	19	0.00001	97	0.00002	75	0.00002	49	0.00001	31	0.00002	41	0.00001
Ancylobacter novellus	921	S	32	0.00001	74	0.00002	118	0.00005	68	0.00002	128	0.00004	28	0.00001	46	0.00001	30	0.00001	114	0.00007	76	0.00003
Xanthobacter autotrophicus	280	S	33	0.00001	49	0.00001	0	0.00000	46	0.00001	46	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	84	0.00003
Xanthobacter dioxanivorans	2528964	S	19	0.00000	25	0.00001	32	0.00001	29	0.00001	15	0.00000	33	0.00001	33	0.00001	27	0.00001	52	0.00003	22	0.00001
Labrys miyagiensis	346912	S	35	0.00001	33	0.00001	0	0.00000	27	0.00001	0	0.00000	0	0.00000	22	0.00001	24	0.00001	0	0.00000	48	0.00002
Azorhizobium caulinodans	7	S	22	0.00001	55	0.00002	23	0.00001	53	0.00001	30	0.00001	0	0.00000	0	0.00000	27	0.00001	31	0.00002	36	0.00001
Roseibium sp.	1936156	S	106	0.00003	124	0.00004	59	0.00002	97	0.00003	83	0.00003	19	0.00000	91	0.00003	46	0.00001	93	0.00005	147	0.00005
Breoghania sp. L-A4	2304600	S	14	0.00000	31	0.00001	0	0.00000	31	0.00001	0	0.00000	0	0.00000	0	0.00000	23	0.00000	0	0.00000	31	0.00001
Brucella pseudogrignonensis	419475	S	68	0.00002	43	0.00001	104	0.00004	83	0.00002	80	0.00003	142	0.00003	78	0.00002	82	0.00002	150	0.00009	0	0.00000
Brucella pseudintermedia	370111	S	35	0.00001	0	0.00000	0	0.00000	33	0.00001	0	0.00000	0	0.00000	36	0.00001	0	0.00000	0	0.00000	95	0.00003
Bosea sp. ANAM02	2020412	S	41	0.00001	23	0.00001	13	0.00001	71	0.00002	0	0.00000	33	0.00001	96	0.00003	51	0.00001	27	0.00002	29	0.00001
Bosea sp. PAMC 26642	1792307	S	33	0.00001	77	0.00002	23	0.00001	54	0.00001	29	0.00001	14	0.00000	29	0.00001	0	0.00000	55	0.00003	63	0.00002
Bosea sp. UC22_33	3350165	S	19	0.00000	207	0.00006	114	0.00005	102	0.00003	178	0.00006	61	0.00001	59	0.00002	63	0.00001	177	0.00010	166	0.00006
Bosea sp. Tri-49	1867715	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000
Acuticoccus sp. I52.16.1	2928472	S	67	0.00002	87	0.00002	0	0.00000	147	0.00004	23	0.00001	44	0.00001	90	0.00003	86	0.00002	27	0.00002	57	0.00002
Acuticoccus sp. MNP-M23	3072793	S	45	0.00001	76	0.00002	25	0.00001	81	0.00002	41	0.00001	23	0.00000	48	0.00001	27	0.00001	52	0.00003	69	0.00003
Hyphomicrobium sp. MC1	717785	S	56	0.00001	40	0.00001	13	0.00001	133	0.00004	29	0.00001	163	0.00003	70	0.00002	85	0.00002	42	0.00002	46	0.00002
Methyloligella sp. GL2	2742204	S	14	0.00000	45	0.00001	22	0.00001	30	0.00001	64	0.00002	17	0.00000	12	0.00000	25	0.00001	55	0.00003	63	0.00002
Pyruvatibacter mobilis	1712261	S	42	0.00001	49	0.00001	19	0.00001	151	0.00004	35	0.00001	141	0.00003	84	0.00002	74	0.00002	31	0.00002	48	0.00002
Tepidicaulis sp.	1920809	S	40	0.00001	54	0.00002	0	0.00000	46	0.00001	0	0.00000	0	0.00000	0	0.00000	64	0.00001	0	0.00000	41	0.00001
Kaustia mangrovi	2593653	S	19	0.00000	0	0.00000	0	0.00000	28	0.00001	16	0.00001	0	0.00000	20	0.00001	0	0.00000	16	0.00001	27	0.00001
uncultured Pleomorphomonas sp.	442121	S	79	0.00002	52	0.00001	54	0.00002	158	0.00004	56	0.00002	120	0.00002	126	0.00004	139	0.00003	81	0.00005	92	0.00003
Hartmannibacter diazotrophicus	1482074	S	31	0.00001	149	0.00004	99	0.00004	81	0.00002	171	0.00006	34	0.00001	57	0.00002	61	0.00001	151	0.00009	159	0.00006
Reyranella sp.	1929291	S	94	0.00002	154	0.00004	41	0.00002	216	0.00006	50	0.00002	125	0.00003	129	0.00004	117	0.00002	83	0.00005	141	0.00005
Oceaniradius stylonematis	2184161	S	74	0.00002	17	0.00000	27	0.00001	88	0.00002	27	0.00001	80	0.00002	101	0.00003	59	0.00001	54	0.00003	45	0.00002
Oricola sp.	1979950	S	17	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Oricola indica	2872591	S	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aureimonas altamirensis	370622	S	16	0.00000	16	0.00000	0	0.00000	17	0.00000	22	0.00001	0	0.00000	14	0.00000	0	0.00000	17	0.00001	12	0.00000
Aurantimonas sp. HBX-1	2906072	S	26	0.00001	99	0.00003	44	0.00002	68	0.00002	51	0.00002	22	0.00000	48	0.00001	39	0.00001	51	0.00003	91	0.00003
Martelella mediterranea	293089	S	22	0.00001	28	0.00001	20	0.00001	33	0.00001	34	0.00001	0	0.00000	0	0.00000	27	0.00001	28	0.00002	44	0.00002
Methylosinus sporium	428	S	36	0.00001	80	0.00002	17	0.00001	81	0.00002	37	0.00001	0	0.00000	37	0.00001	34	0.00001	63	0.00004	76	0.00003
Methylocapsa polymorpha	3080828	S	28	0.00001	25	0.00001	16	0.00001	86	0.00002	20	0.00001	75	0.00002	50	0.00001	38	0.00001	20	0.00001	29	0.00001
Methylovirgula sp. 4M-Z18	2293567	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001	0	0.00000
Cohaesibacter sp. ES.047	1798205	S	21	0.00001	31	0.00001	42	0.00002	28	0.00001	26	0.00001	20	0.00000	21	0.00001	17	0.00000	48	0.00003	50	0.00002
Phreatobacter cathodiphilus	1868589	S	19	0.00000	20	0.00001	13	0.00001	22	0.00001	26	0.00001	19	0.00000	0	0.00000	14	0.00000	21	0.00001	17	0.00001
Terrirubrum flagellatum	2895980	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alsobacter sp. KACC 23698	3149229	S	13	0.00000	0	0.00000	0	0.00000	17	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	13	0.00001	18	0.00001
Sulfitobacter sp. DSM 110093	2883127	S	107	0.00003	258	0.00007	123	0.00005	208	0.00006	137	0.00004	48	0.00001	95	0.00003	167	0.00004	177	0.00010	291	0.00011
Sulfitobacter sp. SK012	1389005	S	25	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000
Sulfitobacter rhodophyticola	3238304	S	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sagittula sp. P11	2009329	S	239	0.00006	378	0.00011	76	0.00003	249	0.00007	151	0.00005	34	0.00001	154	0.00004	137	0.00003	232	0.00013	358	0.00013
Roseivivax marinus	1379903	S	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	37	0.00001
Roseobacter algicola (ex Choi et al. 2025) (nom. illeg.)	3092138	S	65	0.00002	75	0.00002	0	0.00000	84	0.00002	0	0.00000	0	0.00000	71	0.00002	49	0.00001	0	0.00000	50	0.00002
Roseovarius indicus	540747	S	16	0.00000	35	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00001
Roseovarius confluentis	1852027	S	33	0.00001	41	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	46	0.00002
Algirhabdus cladophorae	3377108	S	27	0.00001	28	0.00001	11	0.00000	24	0.00001	27	0.00001	0	0.00000	12	0.00000	0	0.00000	20	0.00001	25	0.00001
Phaeobacter bryozoorum	1086632	S	21	0.00001	0	0.00000	0	0.00000	51	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	26	0.00001
Leisingera aquaemixtae	1396826	S	16	0.00000	41	0.00001	81	0.00003	21	0.00001	43	0.00001	0	0.00000	45	0.00001	28	0.00001	79	0.00005	34	0.00001
Salipiger sp. CCB-MM3	1792508	S	15	0.00000	37	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00001	0	0.00000	0	0.00000	35	0.00001
Thalassovita sp.	1979401	S	21	0.00001	0	0.00000	17	0.00001	0	0.00000	0	0.00000	0	0.00000	23	0.00001	0	0.00000	0	0.00000	0	0.00000
Aliisedimentitalea scapharcae	1524259	S	26	0.00001	12	0.00000	73	0.00003	30	0.00001	20	0.00001	0	0.00000	27	0.00001	125	0.00003	51	0.00003	102	0.00004
Mameliella sp.	1924940	S	15	0.00000	35	0.00001	0	0.00000	24	0.00001	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	39	0.00001
Palleronia sp. LCG004	3079304	S	18	0.00000	77	0.00002	28	0.00001	53	0.00001	12	0.00000	20	0.00000	32	0.00001	27	0.00001	43	0.00002	63	0.00002
Ponticoccus alexandrii	1943633	S	24	0.00001	29	0.00001	24	0.00001	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	37	0.00001
Pseudosulfitobacter pseudonitzschiae	1402135	S	24	0.00001	0	0.00000	21	0.00001	70	0.00002	80	0.00003	28	0.00001	0	0.00000	0	0.00000	56	0.00003	35	0.00001
Marinovum algicola	42444	S	16	0.00000	0	0.00000	0	0.00000	18	0.00000	42	0.00001	0	0.00000	0	0.00000	0	0.00000	48	0.00003	21	0.00001
Lentibacter algarum	576131	S	11	0.00000	55	0.00002	203	0.00008	34	0.00001	42	0.00001	12	0.00000	70	0.00002	77	0.00002	18	0.00001	44	0.00002
Paracoccus sp. SCSIO 75233	3017782	S	45	0.00001	96	0.00003	26	0.00001	58	0.00002	40	0.00001	0	0.00000	30	0.00001	37	0.00001	0	0.00000	134	0.00005
Paracoccus sp. S3-43	3030011	S	43	0.00001	24	0.00001	0	0.00000	53	0.00001	25	0.00001	0	0.00000	0	0.00000	0	0.00000	31	0.00002	0	0.00000
Paracoccus yeei	147645	S	120	0.00003	89	0.00003	33	0.00001	105	0.00003	61	0.00002	0	0.00000	75	0.00002	0	0.00000	45	0.00003	103	0.00004
Paracoccus seriniphilus	184748	S	36	0.00001	90	0.00003	0	0.00000	48	0.00001	0	0.00000	0	0.00000	17	0.00000	34	0.00001	0	0.00000	63	0.00002
Cereibacter sphaeroides	1063	S	91	0.00002	61	0.00002	63	0.00003	124	0.00003	68	0.00002	128	0.00003	120	0.00003	82	0.00002	93	0.00005	121	0.00004
Cereibacter azotoformans	43057	S	41	0.00001	82	0.00002	0	0.00000	101	0.00003	0	0.00000	0	0.00000	45	0.00001	72	0.00002	0	0.00000	72	0.00003
Thioclava electrotropha	1549850	S	44	0.00001	103	0.00003	59	0.00002	181	0.00005	53	0.00002	158	0.00003	92	0.00003	75	0.00002	60	0.00003	68	0.00002
Thioclava sp. FR2	3445780	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00001	15	0.00000	0	0.00000	24	0.00001
Cognatishimia activa	1715691	S	33	0.00001	30	0.00001	0	0.00000	34	0.00001	0	0.00000	0	0.00000	33	0.00001	18	0.00000	12	0.00001	65	0.00002
Tabrizicola sp. M-4	3055847	S	35	0.00001	76	0.00002	26	0.00001	58	0.00002	45	0.00001	0	0.00000	35	0.00001	32	0.00001	53	0.00003	71	0.00003
Tritonibacter scottomollicae	483013	S	24	0.00001	183	0.00005	121	0.00005	100	0.00003	204	0.00007	58	0.00001	47	0.00001	73	0.00002	166	0.00010	193	0.00007
Pacificitalea manganoxidans	1411902	S	39	0.00001	28	0.00001	96	0.00004	28	0.00001	25	0.00001	0	0.00000	14	0.00000	115	0.00002	66	0.00004	93	0.00003
Pontivivens nitratireducens	2758038	S	20	0.00001	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00001	15	0.00001
Pontivivens ytuae	2789856	S	13	0.00000	22	0.00001	0	0.00000	33	0.00001	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	18	0.00001
Yoonia phaeophyticola	3137369	S	13	0.00000	20	0.00001	0	0.00000	0	0.00000	31	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fuscovulum ytuae	3042299	S	28	0.00001	32	0.00001	63	0.00003	30	0.00001	41	0.00001	0	0.00000	0	0.00000	63	0.00001	66	0.00004	62	0.00002
Marinibacterium sp. SX1	3388424	S	24	0.00001	29	0.00001	0	0.00000	72	0.00002	43	0.00001	0	0.00000	55	0.00002	0	0.00000	42	0.00002	36	0.00001
Arenibacterium sp. LLYu02	3404132	S	23	0.00001	34	0.00001	0	0.00000	24	0.00001	0	0.00000	17	0.00000	25	0.00001	23	0.00000	24	0.00001	37	0.00001
Nioella sp.	1912091	S	20	0.00001	21	0.00001	0	0.00000	25	0.00001	0	0.00000	0	0.00000	23	0.00001	0	0.00000	0	0.00000	35	0.00001
Haematobacter massiliensis	195105	S	29	0.00001	18	0.00001	0	0.00000	31	0.00001	0	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000	44	0.00002
Polymorphum gilvum	991904	S	31	0.00001	30	0.00001	22	0.00001	34	0.00001	45	0.00001	0	0.00000	74	0.00002	0	0.00000	46	0.00003	33	0.00001
Paragemmobacter aquarius	2169400	S	17	0.00000	22	0.00001	0	0.00000	0	0.00000	23	0.00001	22	0.00000	21	0.00001	0	0.00000	14	0.00001	20	0.00001
Silicimonas algicola	1826607	S	14	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Algicella marina	2683284	S	12	0.00000	19	0.00001	0	0.00000	12	0.00000	0	0.00000	0	0.00000	12	0.00000	14	0.00000	13	0.00001	38	0.00001
Amaricoccus sp. B4	3368557	S	14	0.00000	77	0.00002	0	0.00000	76	0.00002	0	0.00000	25	0.00001	17	0.00000	59	0.00001	0	0.00000	26	0.00001
Rhodobacter sp. CZR27	2033869	S	38	0.00001	35	0.00001	0	0.00000	59	0.00002	23	0.00001	0	0.00000	38	0.00001	0	0.00000	0	0.00000	55	0.00002
Rhodobacter capsulatus	1061	S	56	0.00001	13	0.00000	17	0.00001	53	0.00001	18	0.00001	28	0.00001	0	0.00000	24	0.00001	23	0.00001	59	0.00002
Sphingomonas sp. KRR8	2942996	S	169	0.00004	155	0.00004	66	0.00003	323	0.00009	55	0.00002	338	0.00007	137	0.00004	230	0.00005	88	0.00005	133	0.00005
Sphingomonas sp. GlSt437	3389970	S	74	0.00002	37	0.00001	37	0.00002	207	0.00006	29	0.00001	154	0.00003	115	0.00003	113	0.00002	65	0.00004	69	0.00003
Sphingomonas sp. C3-2	3062169	S	24	0.00001	22	0.00001	29	0.00001	31	0.00001	20	0.00001	0	0.00000	17	0.00000	14	0.00000	18	0.00001	22	0.00001
Sphingomonas sp. So64.6b	2997354	S	18	0.00000	43	0.00001	26	0.00001	39	0.00001	24	0.00001	0	0.00000	41	0.00001	25	0.00001	26	0.00001	38	0.00001
Sphingomonas sp. AP4-R1	2735134	S	17	0.00000	12	0.00000	0	0.00000	13	0.00000	17	0.00001	0	0.00000	23	0.00001	13	0.00000	12	0.00001	12	0.00000
Sphingomonas sp. LY29	3095341	S	15	0.00000	31	0.00001	0	0.00000	14	0.00000	0	0.00000	0	0.00000	24	0.00001	0	0.00000	0	0.00000	35	0.00001
Sphingomonas koreensis	93064	S	71	0.00002	29	0.00001	0	0.00000	122	0.00003	21	0.00001	122	0.00003	88	0.00003	68	0.00001	33	0.00002	50	0.00002
Sphingomonas insulae	424800	S	40	0.00001	0	0.00000	18	0.00001	12	0.00000	0	0.00000	0	0.00000	0	0.00000	37	0.00001	81	0.00005	0	0.00000
Sphingomonas aerolata	185951	S	25	0.00001	58	0.00002	18	0.00001	51	0.00001	13	0.00000	0	0.00000	17	0.00000	48	0.00001	14	0.00001	52	0.00002
Sphingomonas flavalba	2559804	S	26	0.00001	62	0.00002	0	0.00000	39	0.00001	19	0.00001	0	0.00000	27	0.00001	23	0.00000	21	0.00001	67	0.00002
Sphingomonas taxi	1549858	S	17	0.00000	54	0.00002	35	0.00001	34	0.00001	66	0.00002	0	0.00000	24	0.00001	26	0.00001	55	0.00003	55	0.00002
Novosphingobium sp. P6W	1609758	S	173	0.00005	128	0.00004	47	0.00002	299	0.00008	87	0.00003	231	0.00005	139	0.00004	227	0.00005	123	0.00007	138	0.00005
Novosphingobium sp.	1874826	S	41	0.00001	38	0.00001	67	0.00003	85	0.00002	46	0.00002	18	0.00000	57	0.00002	61	0.00001	79	0.00005	46	0.00002
Novosphingobium sp. ES2-1	2780074	S	20	0.00001	26	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00001	0	0.00000	0	0.00000	37	0.00001
Novosphingobium sp. BL-52-GroH	3349877	S	15	0.00000	60	0.00002	29	0.00001	36	0.00001	30	0.00001	0	0.00000	19	0.00001	30	0.00001	35	0.00002	63	0.00002
Novosphingobium rhizosphaerae	1551649	S	29	0.00001	21	0.00001	0	0.00000	26	0.00001	25	0.00001	0	0.00000	20	0.00001	13	0.00000	22	0.00001	40	0.00001
Erythrobacter sp.	1042	S	36	0.00001	30	0.00001	0	0.00000	112	0.00003	0	0.00000	106	0.00002	61	0.00002	58	0.00001	25	0.00001	41	0.00001
Erythrobacter sp. JK5	2829500	S	30	0.00001	47	0.00001	0	0.00000	69	0.00002	20	0.00001	37	0.00001	35	0.00001	27	0.00001	16	0.00001	49	0.00002
Erythrobacter sp. SCSIO 43205	2779361	S	10	0.00000	13	0.00000	0	0.00000	17	0.00000	12	0.00000	17	0.00000	0	0.00000	13	0.00000	19	0.00001	13	0.00000
Qipengyuania flava	192812	S	42	0.00001	40	0.00001	0	0.00000	52	0.00001	0	0.00000	0	0.00000	23	0.00001	35	0.00001	0	0.00000	41	0.00001
Qipengyuania sp. DGS5-3	3349632	S	23	0.00001	0	0.00000	0	0.00000	49	0.00001	0	0.00000	0	0.00000	25	0.00001	0	0.00000	0	0.00000	50	0.00002
Aurantiacibacter sp. MUD61	3009083	S	17	0.00000	24	0.00001	11	0.00000	34	0.00001	11	0.00000	0	0.00000	13	0.00000	0	0.00000	12	0.00001	35	0.00001
Aurantiacibacter atlanticus	1648404	S	12	0.00000	33	0.00001	0	0.00000	46	0.00001	12	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	34	0.00001
Altererythrobacter sp. GH1-8	3349333	S	22	0.00001	51	0.00001	25	0.00001	31	0.00001	16	0.00001	0	0.00000	18	0.00001	46	0.00001	23	0.00001	31	0.00001
Croceibacterium sp. TMG7-5b_MA50	3121290	S	25	0.00001	72	0.00002	0	0.00000	65	0.00002	0	0.00000	0	0.00000	17	0.00000	54	0.00001	14	0.00001	50	0.00002
Pelagerythrobacter marensis	543877	S	13	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00001
Sphingobium sp. AP49	1144307	S	21	0.00001	0	0.00000	21	0.00001	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00001	24	0.00001
Sphingobium sp. KCTC 72723	2733867	S	19	0.00000	173	0.00005	104	0.00004	83	0.00002	189	0.00006	61	0.00001	39	0.00001	67	0.00001	156	0.00009	158	0.00006
Sphingobium sp. Cam5-1	2789327	S	24	0.00001	0	0.00000	0	0.00000	0	0.00000	22	0.00001	0	0.00000	21	0.00001	26	0.00001	0	0.00000	32	0.00001
Sphingobium sp. RAC03	1843368	S	17	0.00000	45	0.00001	0	0.00000	21	0.00001	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	28	0.00001
Sphingobium wenxiniae	595605	S	81	0.00002	29	0.00001	62	0.00003	66	0.00002	78	0.00003	246	0.00005	30	0.00001	128	0.00003	189	0.00011	22	0.00001
Sphingobium cupriresistens	1132417	S	106	0.00003	80	0.00002	55	0.00002	185	0.00005	0	0.00000	158	0.00003	171	0.00005	126	0.00003	93	0.00005	77	0.00003
Sphingobium yanoikuyae	13690	S	67	0.00002	165	0.00005	114	0.00005	270	0.00007	125	0.00004	223	0.00005	163	0.00005	175	0.00004	109	0.00006	191	0.00007
Sphingopyxis lindanitolerans	2054227	S	72	0.00002	120	0.00003	0	0.00000	137	0.00004	0	0.00000	0	0.00000	38	0.00001	50	0.00001	0	0.00000	102	0.00004
Sphingopyxis panaciterrae	363841	S	19	0.00000	258	0.00007	205	0.00008	125	0.00003	262	0.00009	88	0.00002	52	0.00002	72	0.00002	230	0.00013	250	0.00009
uncultured Sphingopyxis sp.	310581	S	19	0.00000	0	0.00000	0	0.00000	48	0.00001	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000
Parasphingorhabdus sp.	2709688	S	59	0.00002	44	0.00001	56	0.00002	113	0.00003	42	0.00001	43	0.00001	93	0.00003	46	0.00001	45	0.00003	50	0.00002
Rhizorhabdus wittichii	160791	S	52	0.00001	31	0.00001	15	0.00001	138	0.00004	22	0.00001	126	0.00003	64	0.00002	67	0.00001	27	0.00002	43	0.00002
