name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Oleiharenicola sp. Vm1	3398393	S	41	0.00001	44	0.00001	26	0.00001	149	0.00004	32	0.00001	68	0.00001	79	0.00002	57	0.00001	42	0.00002	57	0.00002
Lotipaludicoccus stagni	3034021	S	26	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ruficoccus sp. ZRK36	2866311	S	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001	0	0.00000
Rubripirellula lacrimiformis	1930273	S	126	0.00003	34	0.00001	0	0.00000	155	0.00004	18	0.00001	29	0.00001	139	0.00004	122	0.00003	16	0.00001	66	0.00002
Stieleria neptunia	2527979	S	42	0.00001	39	0.00001	17	0.00001	175	0.00005	20	0.00001	66	0.00001	91	0.00003	58	0.00001	12	0.00001	31	0.00001
Roseiconus lacunae	2605694	S	46	0.00001	73	0.00002	0	0.00000	55	0.00002	0	0.00000	0	0.00000	0	0.00000	33	0.00001	0	0.00000	32	0.00001
Roseimaritima multifibrata	1930274	S	21	0.00001	28	0.00001	0	0.00000	44	0.00001	0	0.00000	0	0.00000	17	0.00000	30	0.00001	0	0.00000	19	0.00001
Aureliella helgolandensis	2527968	S	18	0.00000	52	0.00001	0	0.00000	24	0.00001	0	0.00000	0	0.00000	22	0.00001	21	0.00000	0	0.00000	55	0.00002
Fuerstiella marisgermanici	1891926	S	30	0.00001	50	0.00001	29	0.00001	47	0.00001	34	0.00001	0	0.00000	33	0.00001	13	0.00000	31	0.00002	67	0.00002
Caulifigura coniformis	2527983	S	36	0.00001	29	0.00001	19	0.00001	111	0.00003	0	0.00000	130	0.00003	45	0.00001	55	0.00001	16	0.00001	51	0.00002
Planctomyces sp. SH-PL62	1636152	S	19	0.00000	54	0.00002	22	0.00001	40	0.00001	33	0.00001	0	0.00000	28	0.00001	20	0.00000	30	0.00002	47	0.00002
Stratiformator vulcanicus	2527980	S	29	0.00001	0	0.00000	25	0.00001	0	0.00000	21	0.00001	0	0.00000	18	0.00001	26	0.00001	23	0.00001	12	0.00000
Calycomorphotria hydatis	2528027	S	19	0.00000	11	0.00000	0	0.00000	0	0.00000	12	0.00000	45	0.00001	0	0.00000	0	0.00000	12	0.00001	11	0.00000
Symmachiella dynata	2527995	S	11	0.00000	17	0.00000	0	0.00000	48	0.00001	0	0.00000	0	0.00000	17	0.00000	15	0.00000	0	0.00000	27	0.00001
Aquisphaera giovannonii	406548	S	40	0.00001	74	0.00002	39	0.00002	93	0.00003	60	0.00002	13	0.00000	52	0.00002	33	0.00001	85	0.00005	70	0.00003
Tautonia plasticadhaerens	2527974	S	36	0.00001	57	0.00002	19	0.00001	41	0.00001	28	0.00001	17	0.00000	37	0.00001	28	0.00001	30	0.00002	87	0.00003
Tundrisphaera macrotermitis	3435775	S	20	0.00001	36	0.00001	0	0.00000	32	0.00001	20	0.00001	23	0.00000	12	0.00000	0	0.00000	21	0.00001	35	0.00001
Tuwongella immobilis	692036	S	29	0.00001	53	0.00002	33	0.00001	97	0.00003	38	0.00001	103	0.00002	73	0.00002	59	0.00001	39	0.00002	85	0.00003
Frigoriglobus tundricola	2774151	S	24	0.00001	33	0.00001	15	0.00001	29	0.00001	24	0.00001	0	0.00000	20	0.00001	17	0.00000	27	0.00002	27	0.00001
Limnoglobus roseus	2598579	S	16	0.00000	32	0.00001	16	0.00001	36	0.00001	16	0.00001	18	0.00000	25	0.00001	24	0.00001	32	0.00002	18	0.00001
Telmatocola sphagniphila	1123043	S	10	0.00000	10	0.00000	0	0.00000	23	0.00001	18	0.00001	0	0.00000	20	0.00001	14	0.00000	18	0.00001	40	0.00001
Kolteria novifilia	2527975	S	37	0.00001	14	0.00000	21	0.00001	84	0.00002	20	0.00001	84	0.00002	41	0.00001	43	0.00001	41	0.00002	25	0.00001
Saltatorellus ferox	2528018	S	11	0.00000	23	0.00001	17	0.00001	27	0.00001	24	0.00001	35	0.00001	0	0.00000	16	0.00000	32	0.00002	10	0.00000
Mucisphaera calidilacus	2527982	S	39	0.00001	32	0.00001	18	0.00001	131	0.00004	16	0.00001	128	0.00003	53	0.00002	46	0.00001	38	0.00002	47	0.00002
Phycisphaera mikurensis	547188	S	10	0.00000	16	0.00000	0	0.00000	13	0.00000	48	0.00002	0	0.00000	17	0.00000	0	0.00000	27	0.00002	20	0.00001
