sample,fastq_1,fastq_2,strandedness
cDC1_un_1,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_1_S58_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_1_S58_L005_R2_001.fastq.gz,reverse
cDC1_un_2,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_2_S59_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_2_S59_L005_R2_001.fastq.gz,reverse
cDC1_un_3,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_3_S60_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_un_3_S60_L005_R2_001.fastq.gz,reverse
cDC1_TNFa_1,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_1_S49_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_1_S49_L005_R2_001.fastq.gz,reverse
cDC1_TNFa_2,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_2_S50_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_2_S50_L005_R2_001.fastq.gz,reverse
cDC1_TNFa_3,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_3_S51_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_TNFa_3_S51_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_1,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_1_S52_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_1_S52_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_2,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_2_S53_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_2_S53_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_3,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_3_S54_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_3_S54_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_TNFa_1,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_1_S55_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_1_S55_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_TNFa_2,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_2_S56_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_2_S56_L005_R2_001.fastq.gz,reverse
cDC1_Tumor_TNFa_3,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_3_S57_L005_R1_001.fastq.gz,/Work_bio/dropbox/Dropbox_Data/Quote_06032601_Lijian_Wu/23KCYFLT4_5_0469165287_cDC1_Tumor_TNFa_3_S57_L005_R2_001.fastq.gz,reverse
