gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000042745.10,Id1,1.0552344714460868,2.7178497444234925e-4,Up,General_Stemness
ENSMUSG00000003032.9,Klf4,0.6598637144137376,0.0033213065645799223,Up,Pluripotency
ENSMUSG00000053279.9,Aldh1a1,0.6083041483266979,0.01908370262264087,Up,Mesenchymal_SC
ENSMUSG00000053279.9,Aldh1a1,0.6083041483266979,0.01908370262264087,Up,General_Stemness
ENSMUSG00000027611.13,Procr,0.32982918882490064,0.0394057106001131,Up,Hematopoietic_SC
ENSMUSG00000047139.10,Cd24a,0.46496501632180487,0.04505767951708577,Up,General_Stemness
ENSMUSG00000029231.16,Pdgfra,-0.27039149130119755,0.08468877294114394,NS,Mesenchymal_SC
ENSMUSG00000054256.12,Msi1,-0.35279575409550046,0.10652016003750214,NS,Neural_SC
ENSMUSG00000007872.4,Id3,0.31961593146858175,0.13260241032352538,NS,General_Stemness
ENSMUSG00000015053.15,Gata2,0.3037976753000117,0.13493271224628542,NS,Hematopoietic_SC
ENSMUSG00000025809.16,Itgb1,-0.25770085433651546,0.14470818568945748,NS,Mesenchymal_SC
ENSMUSG00000026814.17,Eng,-0.20940692486697696,0.17317726136646305,NS,Mesenchymal_SC
ENSMUSG00000076431.5,Sox4,-0.230165398527606,0.19860033898991925,NS,General_Stemness
ENSMUSG00000032420.9,Nt5e,-0.2589689746548371,0.1988331412059044,NS,Mesenchymal_SC
ENSMUSG00000005672.13,Kit,0.20162854463296306,0.24660467908569933,NS,Hematopoietic_SC
ENSMUSG00000004891.17,Nes,-0.21263087079194096,0.281812794217161,NS,Neural_SC
ENSMUSG00000000142.16,Axin2,0.20413000123766717,0.30163974361549434,NS,Intestinal_SC
ENSMUSG00000016494.10,Cd34,0.19366306655234436,0.3260800298689289,NS,Hematopoietic_SC
ENSMUSG00000005087.18,Cd44,-0.16333630400307894,0.3882398676903138,NS,Mesenchymal_SC
ENSMUSG00000015355.14,Cd48,-0.15731559167852177,0.4052518808424268,NS,Hematopoietic_SC
ENSMUSG00000027878.12,Notch2,-0.11142919750780705,0.4457742366156994,NS,General_Stemness
ENSMUSG00000050966.10,Lin28a,-0.10185401041211732,0.5901858724634721,NS,Pluripotency
ENSMUSG00000022026.8,Olfm4,-0.0950044571575477,0.591171124612736,NS,Intestinal_SC
ENSMUSG00000022346.18,Myc,-0.0910869397073358,0.6389093743572969,NS,Pluripotency
ENSMUSG00000032011.6,Thy1,-0.07717457275064422,0.7018203505898633,NS,Mesenchymal_SC
ENSMUSG00000015134.16,Aldh1a3,0.07486951611793614,0.7128887290171593,NS,General_Stemness
ENSMUSG00000030029.15,Lrig1,0.04309460254252137,0.8107797360896218,NS,Intestinal_SC
ENSMUSG00000026728.10,Vim,-0.03714809748230901,0.8439974433157563,NS,Neural_SC
ENSMUSG00000029086.16,Prom1,-0.04163748280442182,0.8444010960454236,NS,Neural_SC
ENSMUSG00000075602.11,Ly6a,0.023529002899984858,0.9130470004018083,NS,Hematopoietic_SC
ENSMUSG00000026923.16,Notch1,-0.016981775018275046,0.9262618356274734,NS,General_Stemness
ENSMUSG00000028717.13,Tal1,-0.01631571930215607,0.9370764488857726,NS,Hematopoietic_SC
ENSMUSG00000000567.6,Sox9,-0.01374741379242381,0.9523914083003552,NS,Neural_SC
