ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04928,"Parathyroid hormone synthesis, secretion and action",62,0.6580883858507687,1.6939516454501595,0.0011572691142929625,0.018881759233200967,0.014618136180542684,1570,"tags=26%, list=14%, signal=22%",FGFR1/PRKCB/PRKCA/GATA3/PLCB2/MEF2D/MAPK3/ARHGEF1/BRAF/MAP2K1/PDE4D/SP1/ARRB2/ATF6B/MEF2A/RXRA
hsa05010,Alzheimer disease,286,-0.5546196500049045,-1.4768288767550342,0.0011271124318501967,0.018881759233200967,0.014618136180542684,2154,"tags=41%, list=20%, signal=34%",PSMB7/MT-ND4/PSMB4/PSMD4/NDUFA2/PSMA6/ADRM1/PSMC2/COX6A1/PSMC6/UQCR11/PSMD8/PSMA2/NDUFA11/SDHA/SLC25A4/PSMD9/PIK3CD/CALM1/PSMD7/UQCRC1/SLC39A3/NDUFB10/ATP5F1E/MT-ND4L/PIK3CB/ATP5PD/PIK3R3/NDUFA5/MT-ND6/COX5B/SDHC/NDUFS1/TUBB/SLC11A2/TUBB4B/ATP5F1B/NDUFV3/UQCRFS1/COX6B1/PSMD13/NDUFB8/IDE/NDUFA9/ITPR2/DVL1/SDHD/COX7A2/NDUFV2/SEM1/ATP2A3/SLC39A7/HRAS/NDUFA1/PSMB3/COX6C/PSMC4/NDUFA6/NDUFA3/NDUFA8/NDUFC1/PSMA4/MTOR/PSMD6/PSMA7/MT-CO3/VDAC3/PSMA5/CTNNB1/UQCRQ/PIK3R4/NDUFB6/ATP5PB/FRAT2/ATP5PF/COX7C/ATP5F1A/NDUFB3/BID/MT-ATP6/COXFA4/MT-CYB/EIF2AK2/MT-ATP8/PSMD3/HSD17B10/NDUFS6/NAE1/PSMD11/NDUFAB1/PSMD12/NDUFS3/PSMB2/PSMB1/NDUFS5/ATP5MC3/UQCR10/PSMB5/COX7B/EIF2S1/PSMD2/ATP2A2/PSMA3/CALM2/SLC39A14/TUBA1B/MT-ND3/NDUFB2/MT-ND1/PSMB6/VDAC1/MT-ND2/TUBB6/CYCS/TUBA1C/PPIF/ATP5MC1/PSMD1
hsa01230,Biosynthesis of amino acids,54,0.6741675568079318,1.7137749115503988,0.0016743180817254076,0.025604714021292163,0.019823004403581024,425,"tags=22%, list=4%, signal=21%",TKTL1/ASS1/ALDOC/ENO2/GPT2/SHMT2/ENO1/PHGDH/GOT1/ARG2/PSAT1/PKM
hsa04660,T cell receptor signaling pathway,97,0.5681438068032074,1.5856189318807252,0.00173451288531334,0.025604714021292163,0.019823004403581024,1810,"tags=29%, list=16%, signal=24%",ITK/PTPRC/FYN/CBLB/PPP2R5B/CD28/CARD11/JUN/LAT/LCP2/MAPK3/MAP2K1/PAK1/NCK1/MAPK11/PTPN6/MAPK14/MAP2K7/KRAS/CD8A/MAP2K2/VAV3/PPP3CA/NFKBIA/PAK4/RASGRP1/PPP2R5A/GRAP2
hsa03020,RNA polymerase,34,-0.7823282206218432,-1.6401917480547004,0.0020397963887751167,0.027492907848708094,0.02128483188287078,974,"tags=47%, list=9%, signal=43%",POLR2I/POLR2D/POLR1F/POLR2H/POLR3E/POLR2F/POLR2E/POLR3K/POLR3G/POLR1C/POLR2L/POLR3H/POLR2B/POLR1G/POLR1A/POLR1B
hsa04714,Thermogenesis,190,-0.5688270957897406,-1.4673512267383406,0.001994742592376869,0.027492907848708094,0.02128483188287078,1974,"tags=38%, list=18%, signal=32%",NDUFA11/SDHA/ADCY3/ADCY7/UQCRC1/COX16/NDUFB10/ATP5F1E/MT-ND4L/ACTL6A/RPTOR/COA6/ATP5PD/NDUFA5/MT-ND6/COX5B/SDHC/NDUFAF6/NDUFS1/ATP5F1B/NDUFV3/UQCRFS1/COX6B1/NDUFB8/NDUFA9/SDHD/COX7A2/NDUFAF2/NDUFV2/HRAS/ATP5MF/NDUFA1/COX6C/NDUFA6/NDUFA3/NDUFA8/NDUFC1/AKT1S1/MTOR/COA3/MT-CO3/UQCRQ/NDUFB6/ATP5PB/ATP5PF/COX7C/ATP5F1A/NDUFB3/SMARCC1/MT-ATP6/COXFA4/MT-CYB/MT-ATP8/ATP5ME/NDUFAF3/NDUFS6/NDUFAB1/NDUFS3/NDUFAF4/NDUFS5/ATP5MC3/UQCR10/COX7B/NDUFAF8/KDM1A/COA4/MT-ND3/NDUFB2/COA7/MT-ND1/MT-ND2/ATP5MC1
hsa04664,Fc epsilon RI signaling pathway,49,0.6832120145690508,1.7005075052488576,0.0025152522785358493,0.031274457883509445,0.024212483522716988,1439,"tags=33%, list=13%, signal=29%",GAB2/PRKCA/FYN/ALOX5AP/LAT/LCP2/MAPK3/MAP2K1/MAPK11/MAPK14/MAP2K7/KRAS/PLCG2/MAP2K6/INPP5D/MAP2K2
hsa04072,Phospholipase D signaling pathway,84,0.590841067084939,1.6000349767639888,0.0025221337002830197,0.031274457883509445,0.024212483522716988,1465,"tags=30%, list=13%, signal=26%",GAB2/PTK2B/PRKCA/FYN/PLCB2/AGPAT3/DNM2/CYTH1/MAPK3/RALB/MAP2K1/DNM1/DGKQ/CYTH3/CYTH4/LPAR5/PIK3R5/KRAS/AGPAT4/CYTH2/RRAS/PLCG2/LPAR2/MAP2K2/AGPAT2
hsa04014,Ras signaling pathway,130,0.5241677726993113,1.5246185280611626,0.002741208216204842,0.03268363642398081,0.02530346045727546,1321,"tags=18%, list=12%, signal=16%",GAB2/FGFR1/PRKCB/CSF1/ETS1/PRKCA/LAT/PLAAT3/GNB5/MAPK3/RASAL3/RALB/GNG2/MAP2K1/PAK1/RAB5B/RGL2/GNGT2/AFDN/EFNA3/PLA2G6/KRAS/RRAS/PLCG2
hsa04010,MAPK signaling pathway,177,0.4835575885676381,1.449874421222646,0.003297287482740566,0.0378577451722065,0.02930922206880503,1348,"tags=19%, list=12%, signal=17%",FGFR1/NFKB2/RELB/DDIT3/PRKCB/CSF1/PRKCA/DUSP16/TNFRSF1A/JUN/DUSP8/CACNB3/MAP4K2/MAP2K5/MAPK3/MAP3K1/BRAF/MAP2K1/PAK1/MKNK2/MAPK11/MAPK14/MAP2K7/MAPKAPK2/DUSP6/EFNA3/ARRB2/PPM1A/KRAS/RRAS/PPM1B/MAP2K6/NLK/GADD45A
