gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000216663.3	ENSG00000216663	0	0	0	0	0	0	0	0	0
ENSG00000216671.6	CCNYL3	0	0	0	0	0	0	0	0	0
ENSG00000216676.2	RPL8P1	0	1	0	0	2	0	0	3	0
ENSG00000216687.2	ENSG00000216687	0	0	0	0	0	0	0	0	0
ENSG00000216708.1	CIR1P3	0	0	0	0	0	0	0	0	0
ENSG00000216710.1	COX6A1P3	0	0	0	0	0	0	0	0	0
ENSG00000216713.1	MTND4P13	0	0	0	0	0	0	0	0	0
ENSG00000216718.7	RPL21P68	0	0	0	0	0	0	0	0	0
ENSG00000216721.3	ENSG00000216721	0	0	0	0	0	0	0	0	0
ENSG00000216723.1	NUDT19P3	0	0	0	0	0	0	0	0	0
ENSG00000216740.2	ANXA2P3	0	0	0	0	0	0	0	0	0
ENSG00000216753.3	HMGA1P7	0	0	0	0	0	0	0	0	0
ENSG00000216754.2	RPL6P17	0	0	0	0	0	0	0	0	0
ENSG00000216762.1	VN1R13P	0	0	0	0	0	0	0	0	0
ENSG00000216775.5	ENSG00000216775	0	0	0	0	0	0	0	0	0
ENSG00000216777.1	PRRC2CP1	0	0	0	0	0	0	0	0	0
ENSG00000216781.2	RPL7L1P20	0	0	0	0	0	0	0	0	0
ENSG00000216802.1	MTCH1P1	0	0	0	0	0	0	0	0	0
ENSG00000216809.1	ENSG00000216809	4.001	3	7	2	1	1	6	1	1
ENSG00000216811.2	ENSG00000216811	0	0	0	0	0	0	0	0	0
ENSG00000216813.1	ENSG00000216813	0	0	0	1	0	0	0	0	0
ENSG00000216817.1	R3HDM2P2	0	0	0	1	0	0	0	0	0
ENSG00000216819.1	TUBB2BP1	0	0	0	0	0	0	0	0	0
ENSG00000216824.2	ZNF736P10Y	0	0	0	0	0	0	0	0	0
ENSG00000216829.6	FGF7P4	0	0	0	18.867	0	0	0	0	0
ENSG00000216835.3	RBMXP1	0	0	0	0	0	0	0	0	0
ENSG00000216844.1	ENSG00000216844	0	0	0	0	0	0	0	0	0
ENSG00000216853.1	MTCYBP36	0	0	0	0	0	0	0	0	0
ENSG00000216854.2	RPL17P26	0	1.975	0	1.001	0	0	0	0	0
ENSG00000216859.1	DHFRP5	0	0	0	0	0	0	0	0	0
ENSG00000216863.11	LY86-AS1	0	2	0	0	0	0	0	0	0
ENSG00000216866.5	RPS2P55	7.869	16.748	5.182	21.887	19.989	11.429	11.445	15.175	12.369
ENSG00000216867.2	RPL22P12	0	0	0	0	0	0	0	0	0
ENSG00000216895.9	RBM33-DT	172.903	216.865	157.968	136.938	114.856	111.913	143.91	175.956	178.857
ENSG00000216901.1	ZNF603P	1	5	0	1	1	0	1	0	4
ENSG00000216902.3	RPL31P32	0	0	0	0	0	0	0	0	0
ENSG00000216904.2	SOCS5P5	0	0	0	0	0	0	0	0	0
ENSG00000216906.2	ENSG00000216906	0	1	1	1	1	2	0	0	2
ENSG00000216913.2	ENSG00000216913	0	0	0	0	0	0	0	0	0
ENSG00000216915.2	GPR89P	0	0	0	0	1	0	0	0	0
ENSG00000216917.2	RPL15P9	0	0	0	0	1	0	0	0	0
