gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000023067.15,Cdkn1a,-0.5506228686226636,4.98115314337459e-7,Down,Target_Genes
ENSMUSG00000070348.6,Ccnd1,-0.7568650605125531,0.0035624602937455855,Down,Target_Genes
ENSMUSG00000022528.9,Hes1,0.7734026622263444,0.0040823951907470925,Up,Target_Genes
ENSMUSG00000040289.9,Hey1,0.6050320135020184,0.015769955498409285,Up,Target_Genes
ENSMUSG00000018169.13,Mfng,0.47473084133499505,0.033789812605736005,Up,Neg_Regulators
ENSMUSG00000050567.17,Maml1,-0.2621965305753563,0.06468384535297007,NS,Core_Complex
ENSMUSG00000061143.16,Maml3,-0.3053434920650575,0.08045587901749189,NS,Core_Complex
ENSMUSG00000028800.16,Hdac1,-0.25660263382347737,0.09409242893852551,NS,Core_Complex
ENSMUSG00000002799.7,Jag2,0.2869719721938668,0.14694777246448917,NS,Ligands
ENSMUSG00000025158.8,Rfng,0.24813900533210448,0.15846108441837725,NS,Neg_Regulators
ENSMUSG00000019777.17,Hdac2,0.19534407793886283,0.18373602020700427,NS,Core_Complex
ENSMUSG00000039191.13,Rbpj,-0.21813172335422182,0.19563292998128148,NS,Core_Complex
ENSMUSG00000015468.15,Notch4,0.22780759155691072,0.24966092697528558,NS,Receptors
ENSMUSG00000038146.9,Notch3,0.21618882227041847,0.25189676910530207,NS,Receptors
ENSMUSG00000027314.7,Dll4,0.22871800046335758,0.25231782920207313,NS,Ligands
ENSMUSG00000021224.16,Numb,-0.15099392507523438,0.26958371374730383,NS,Neg_Regulators
ENSMUSG00000027598.17,Itch,-0.15611438625689422,0.36967693892625675,NS,Neg_Regulators
ENSMUSG00000055024.13,Ep300,-0.1220398817943257,0.40908354420428655,NS,Core_Complex
ENSMUSG00000027878.12,Notch2,-0.11142919750780705,0.4457742366156994,NS,Receptors
ENSMUSG00000014773.14,Dll1,0.13688335869525423,0.478120171060631,NS,Ligands
ENSMUSG00000028086.16,Fbxw7,0.11334650589292745,0.4932488955436968,NS,Neg_Regulators
ENSMUSG00000067071.9,Hes6,0.09747551705548084,0.6176295539639036,NS,Target_Genes
ENSMUSG00000022346.18,Myc,-0.0910869397073358,0.6389093743572969,NS,Target_Genes
ENSMUSG00000031925.18,Maml2,0.08188417498332601,0.6493826912893508,NS,Core_Complex
ENSMUSG00000027276.8,Jag1,0.08178043363031998,0.6653584949814513,NS,Ligands
ENSMUSG00000078202.4,Nrarp,0.07863108056736619,0.6983109078746079,NS,Target_Genes
ENSMUSG00000063160.13,Numbl,0.06976808590339782,0.7323693088551271,NS,Neg_Regulators
ENSMUSG00000029570.6,Lfng,0.019734766659935978,0.9198624352629589,NS,Neg_Regulators
ENSMUSG00000026923.16,Notch1,-0.016981775018275046,0.9262618356274734,NS,Receptors
ENSMUSG00000032744.5,Heyl,0.011727711661216255,0.9582542861302288,NS,Target_Genes
ENSMUSG00000019789.10,Hey2,0.28876003467837097,NA,NS,Target_Genes
