# Pathway	HFD_AL_4_02_25_Coverage	HFD_AL_4_03_11_Coverage	HFD_AL_6_05_12_Coverage	HFD_AL_6_05_22_Coverage	HFD_AL_7_06_12_Coverage	HFD_IF_4_02_25_Coverage	HFD_IF_4_03_11_Coverage	HFD_IF_6_05_12_Coverage	HFD_IF_6_05_22_Coverage	HFD_IF_7_06_12_Coverage
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Acetatifactor.s__Acetatifactor_muris	0	0	0	0	0	0	0	0	0.5680580075	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_lactis	0.0002365552	0.4024661617	0.0188635012	0.0125652033	0.6731805345	0.9572328287	0	0.1842225501	0.9942423094	0.2139923162
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0.0000000000	0	0.0000000000	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	0.0000000000	0	0.0000000000	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	0	0.0000000000	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0	0	0	0	0.0000000000	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.8363891391	1.0000000000	0.0000000000	1.0000000000	0.9999996351	1.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	0	0.0538455032	0	0	0.4854902750	0.1310051854	0	0.0333699236
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0.1315040703	0.0021281783	0.0006993619	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_sp_5_2	0.0011042578	0.0000009878	0.0000884991	0.0000002423	0.0225930403	0.0113123364	0	0.0000000000	0.0920109701	0.0000048382
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dubosiella.s__Dubosiella_newyorkensis	0	0.0000000000	0.0030985016	0.0000000000	0.0000000000	0.0000000000	0	0.0001127683	0.0000529776	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibaculum.s__Faecalibaculum_rodentium	0	0	0.0476825025	0.0718845474	0.0420725401	0	0	0.0000000000	0.0529160196	0.0000000003
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.0000250310	0.0338400279	0.2767533140	0.0174563538	0.0624097807	0.0880059685	0.1610260706	0.0000536236	0.4153368788	0.0001348695
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.0554627206	0	0	0	0	0	0	0	0	0
