gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000023951.19,Vegfa,0.8577908709373998,1.7027953464503526e-4,Up,Growth_Factors
ENSMUSG00000003032.9,Klf4,0.6598637144137376,0.0033213065645799223,Up,Differentiation_TF
ENSMUSG00000070348.6,Ccnd1,-0.7568650605125531,0.0035624602937455855,Down,Proliferation
ENSMUSG00000022952.18,Runx1,-0.5629625304202148,0.006194261678760833,Down,Differentiation_TF
ENSMUSG00000005533.11,Igf1r,-0.41832429922971903,0.007306314498608547,Down,Growth_Factors
ENSMUSG00000044674.7,Fzd1,-0.434229729462319,0.05606731254511002,NS,Wnt_Signaling
ENSMUSG00000040274.12,Cdk6,-0.4250553438362795,0.0661119685357883,NS,Proliferation
ENSMUSG00000039153.18,Runx2,-0.3427671573863201,0.066937143167057,NS,Differentiation_TF
ENSMUSG00000029231.16,Pdgfra,-0.27039149130119755,0.08468877294114394,NS,Growth_Factors
ENSMUSG00000002068.17,Ccne1,-0.35552530598443344,0.1045993368524264,NS,Proliferation
ENSMUSG00000026043.19,Col3a1,-0.3095937719895457,0.10645648144916713,NS,EMT_Markers
ENSMUSG00000005148.9,Klf5,0.3146945877010889,0.12174141010249773,NS,Differentiation_TF
ENSMUSG00000002870.9,Mcm2,-0.3226440504957948,0.13060823204002128,NS,Proliferation
ENSMUSG00000015053.15,Gata2,0.3037976753000117,0.13493271224628542,NS,Differentiation_TF
ENSMUSG00000020122.17,Egfr,-0.2206897096871817,0.152158482998486,NS,Growth_Factors
ENSMUSG00000001506.11,Col1a1,-0.27713968537367994,0.17468771143261552,NS,EMT_Markers
ENSMUSG00000031004.9,Mki67,-0.22906522959129644,0.19082087274769288,NS,Proliferation
ENSMUSG00000026193.16,Fn1,-0.26417914926736924,0.19135650300177265,NS,EMT_Markers
ENSMUSG00000020914.18,Top2a,-0.21301816101582496,0.20577666186864038,NS,Proliferation
ENSMUSG00000000782.17,Tcf7,-0.2563492561862412,0.20622889097592323,NS,Wnt_Signaling
ENSMUSG00000002603.16,Tgfb1,-0.20858236318201887,0.21094635209014198,NS,Growth_Factors
ENSMUSG00000024620.13,Pdgfrb,-0.21843297301209305,0.22527695688618338,NS,Growth_Factors
ENSMUSG00000024238.16,Zeb1,-0.17649666176695097,0.26958371374730383,NS,EMT_Markers
ENSMUSG00000049791.5,Fzd4,0.17902242362628693,0.27993521087631584,NS,Wnt_Signaling
ENSMUSG00000000142.16,Axin2,0.20413000123766717,0.30163974361549434,NS,Wnt_Signaling
ENSMUSG00000034957.11,Cebpa,0.16162197779020088,0.4095095003910413,NS,Differentiation_TF
ENSMUSG00000035799.7,Twist1,0.1528096743580314,0.4362677209404059,NS,EMT_Markers
ENSMUSG00000000440.13,Pparg,0.14241813846095114,0.4572984123530241,NS,Differentiation_TF
ENSMUSG00000025358.17,Cdk2,-0.12056407262613363,0.4697918535076767,NS,Proliferation
ENSMUSG00000009376.16,Met,0.12243728879903117,0.5143800424896249,NS,Growth_Factors
ENSMUSG00000027490.18,E2f1,-0.12244453234811045,0.5247956233010235,NS,Proliferation
ENSMUSG00000026459.6,Myog,-0.11629413075981106,0.5474769973337421,NS,Differentiation_TF
ENSMUSG00000026872.19,Zeb2,-0.10818990759652457,0.5538377571738428,NS,EMT_Markers
ENSMUSG00000009471.5,Myod1,0.11177208040484363,0.5562480760009745,NS,Differentiation_TF
ENSMUSG00000020053.19,Igf1,-0.1077783116349128,0.5851641690201863,NS,Growth_Factors
ENSMUSG00000005871.16,Apc,-0.0694189429840972,0.6331388030544562,NS,Wnt_Signaling
ENSMUSG00000022346.18,Myc,-0.0910869397073358,0.6389093743572969,NS,Proliferation
ENSMUSG00000006728.13,Cdk4,-0.06841705664001523,0.6659283056570596,NS,Proliferation
ENSMUSG00000039239.15,Tgfb2,0.07516378828797458,0.6659283056570596,NS,Growth_Factors
ENSMUSG00000024304.15,Cdh2,0.0813661793107732,0.6784880316948649,NS,EMT_Markers
ENSMUSG00000022676.8,Snai2,0.0790135041778141,0.6954081595258291,NS,EMT_Markers
ENSMUSG00000000184.13,Ccnd2,-0.07516884775921663,0.7089989814926964,NS,Proliferation
ENSMUSG00000027342.15,Pcna,-0.07037577453685594,0.7191980257101797,NS,Proliferation
ENSMUSG00000042821.8,Snai1,-0.06464702453850082,0.7476152197618602,NS,EMT_Markers
ENSMUSG00000000303.14,Cdh1,-0.04679865797970946,0.786265057626454,NS,EMT_Markers
ENSMUSG00000021253.8,Tgfb3,-0.0556655904056558,0.7878822064579267,NS,Growth_Factors
ENSMUSG00000026728.10,Vim,-0.03714809748230901,0.8439974433157563,NS,EMT_Markers
ENSMUSG00000031565.20,Fgfr1,0.02334918852647703,0.9149444985361137,NS,Growth_Factors
ENSMUSG00000030849.19,Fgfr2,-0.018848175183899203,0.9237088748915553,NS,Growth_Factors
ENSMUSG00000021994.16,Wnt5a,-0.017919784113964665,0.9379992645439785,NS,Wnt_Signaling
ENSMUSG00000000567.6,Sox9,-0.01374741379242381,0.9523914083003552,NS,Differentiation_TF
ENSMUSG00000006932.18,Ctnnb1,0.0016639107490905478,0.9941078657031567,NS,Wnt_Signaling
