gene_id,gene_name,16_1,16_2,16_3,A_1,A_2,A_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000072274.14,TFRC,8933,8060.999,7812,3752,3218,3212.07,5966.747219754184,1.4504328677650593,0.03695401314014406,0,0,Up
ENSG00000125730.18,C3,1170,1038,1036,4754.001,4544,4009.001,2656.818287923896,-1.8610023119643628,0.04569566489176386,0,0,Down
ENSG00000148773.14,MKI67,5756,5533,5362,14989,14316,12819.999,9539.886505969354,-1.1660755322899867,0.028948065682887946,0,0,Down
ENSG00000182676.5,PPP1R27,31392,31032,29954,17262,15373,14171,23626.39015773824,1.150720204441418,0.02569960989013461,0,0,Up
ENSG00000131747.15,TOP2A,8058,7320,7288,19401,17164,15519,12144.225937204814,-1.024176658128595,0.030612881725527258,2.795009027306673e-248,6.670009542764645e-245,Down
ENSG00000004455.18,AK2,20172.102,19623.711,19273.569,13481.21,12208.527,11199.89,16199.895172808378,0.8477353716842599,0.02628246356887463,4.140204722072976e-230,8.233487123962459e-227,Up
ENSG00000130821.17,SLC6A8,457.999,523,446,2384.995,2145,2020.999,1278.3057362399495,-2.01719217215121,0.06348533494472637,1.76769939850582e-223,3.0131698889959205e-220,Down
ENSG00000167601.12,AXL,688,731,681,2632,2561.999,2216,1531.7484516671027,-1.6399294965484574,0.05709219263562508,4.594620916462944e-183,6.852877096904481e-180,Down
ENSG00000166197.17,NOLC1,11152.999,10522.999,10202.001,7496,6903,6159,8839.627852138725,0.8002729744950378,0.028107315001774495,5.929746557583534e-180,7.861526213898525e-177,Up
ENSG00000136997.22,MYC,12008,11741,11270,8178.001,7457.001,6566.999,9650.910465393112,0.8257876290421444,0.02923050684245099,2.4324172707468227e-177,2.902360287455109e-174,Up
ENSG00000164104.12,HMGB2,10047,9681.001,9310.001,19637,17627,16225,13496.686133638648,-0.7070537517191298,0.025039147396370354,9.501967137783533e-177,1.0307042898912101e-173,Down
ENSG00000165732.14,DDX21,18804,17397,16747.998,13245.999,11987.001,10927.999,14994.530734453465,0.7177085405721484,0.02565468379973081,1.4243311081556543e-173,1.4162598985427722e-170,Up
ENSG00000167996.16,FTH1,14013.089,14196.979,13920.051,30805.833,28585.762,25382.02,20712.019472175718,-0.8315688654692456,0.03052439170084005,3.3246102094339553e-165,3.0514806937666117e-162,Down
ENSG00000117724.15,CENPF,3865.999,3727.999,3454,8260,7314,7045,5492.086108940081,-0.8590823786046787,0.03273758284348386,1.0662339728142775e-153,9.087359831157114e-151,Down
ENSG00000132382.15,MYBBP1A,5863.002,6020.999,5424.999,3489.999,3371,2983,4595.232070629727,0.978052279787657,0.03740920835941528,2.752038889903992e-153,2.1891552022889622e-150,Up
ENSG00000166482.12,MFAP4,662,708,663,2434.999,2346.999,1975.999,1416.764602764817,-1.5517286978143447,0.05991500054905793,1.0579208138264665e-149,7.889444469110874e-147,Down
ENSG00000099194.6,SCD,22748.993,20922.099,21369.109,15676.998,14467,12880,18209.886960361124,0.7639976179920265,0.029587200910887183,1.587109399350563e-148,1.1139640795912304e-145,Up
ENSG00000100504.17,PYGL,12647.999,12513.913,12043,9360,8636,8025.862,10643.019059574284,0.682809151866732,0.027549247548881304,7.021756156960104e-137,4.654644136935998e-134,Up
ENSG00000092621.13,PHGDH,1875.001,1891.001,1809.999,4625.999,4101.999,3813.001,2947.526497726126,-0.9903587273604885,0.0408364305103139,1.3047796909315409e-132,8.194016459050076e-130,Down
ENSG00000169710.9,FASN,12164.983,11878,10743.001,8401.001,8057.001,7202.999,9838.969098477213,0.720899128501863,0.029615580953288926,3.053587094363272e-132,1.8217700604971284e-129,Up
ENSG00000177192.14,PUS1,6608.999,6834.999,6277.001,4519,4113.999,3733,5415.313146712533,0.8392067492780845,0.034848516886228496,5.847165872933563e-130,3.322303961706822e-127,Up
ENSG00000111490.15,TBC1D30,863,897,807,2507.001,2363.959,2087,1542.567566925201,-1.258999134971851,0.05381189772987958,3.5221366119489456e-124,1.910278820626128e-121,Down
ENSG00000100219.17,XBP1,8911,8539.998,8197,6515.999,6075,5470,7352.199956294745,0.6727444090592694,0.028545447941171167,4.709113520889137e-124,2.443006197010834e-121,Up
