gene_id,gene_name,pi5_1,pi5_2,pi5_3,pi5_4,NC_1,NC_2,NC_3,NC_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<0.05 & |log2FC|>=0.585)
KLHL14,KLHL14,4470,3958,3877,3899,6939,5384,5873,4670,4785.816977451849,-0.06421274741989876,0.04542542623494126,8.106815358656003e-4,0.0908326081343767,NS
TWSG1,TWSG1,6349,5493,5473,6010,9020,5962,6441,5330,6182.009471731453,0.06300716718652981,0.046682954688382176,8.114582524567433e-4,0.0908326081343767,NS
CFL1,CFL1,6651,5586,4925,5482,10077,7907,7659,6161,6640.851539065629,-0.06111919144749262,0.04448462229789433,0.0010860157514400357,0.09599419878188062,NS
ESYT2,ESYT2,5783,5088,4847,5376,7936,5647,5788,5151,5639.941582400391,0.062377582977381996,0.042150953758559186,0.0010767252394822157,0.09599419878188062,NS
F3,F3,28356,25578,23480,25750,38171,26554,27641,25920,27426.167064045017,0.06278351934937079,0.045115454231455895,9.225032850828578e-4,0.09599419878188062,NS
GOLM1,GOLM1,18639,15221,14448,16641,24656,17377,17966,15633,17348.521786821322,0.061400452393741235,0.04157202072347898,0.001179447168312181,0.09599419878188062,NS
GPAT4,GPAT4,5237,4709,4288,4859,6534.001,5208,5404,4712,5084.025779360682,0.06028778685156111,0.044628859989276855,0.0011472782127399039,0.09599419878188062,NS
KDSR,KDSR,5286,4658,4553,4878,7194,4937,5390,4738,5154.242409229161,0.06018876667278792,0.045420524870984656,0.0010993561853212392,0.09599419878188062,NS
KHSRP,KHSRP,7910,6841,6298,7271,12844,9576,9197,7802,8267.954888289223,-0.061698121569996885,0.04109811350412884,0.0011605198437696369,0.09599419878188062,NS
LOC103094472,LOC103094472,9460,8206,7396.001,8297.998,12621,9079,9629,7960,8963.095475284677,0.06134789167625452,0.03772025197243714,0.0011856142066648642,0.09599419878188062,NS
PRRC2A,PRRC2A,4388.001,4272.001,3565.001,4215,6886.999,5863.001,5780.999,4920,4890.924496177904,-0.058803041003767,0.04851570817416684,8.925968666678126e-4,0.09599419878188062,NS
RDH11,RDH11,6129,5119,5043,5816,7912,5579,6087,5471,5846.597808818934,0.05742273650475764,0.047363168201210504,0.0011197235833488631,0.09599419878188062,NS
SAR1B,SAR1B,6813,5598,5682,6083,9266,6368,6769,5610,6440.516615286491,0.06031316141005012,0.044133251400802175,0.0011761742896335848,0.09599419878188062,NS
TIMP3,TIMP3,13220,11735,11164,12106,18113,13110,13817,11782,12982.669397783782,0.062092041745674786,0.03743847079880557,0.0011075839930423633,0.09599419878188062,NS
UFL1,UFL1,5708,5000,4589,5240,7754,5578,5878,4888,5509.994002135845,0.061346152618457994,0.03937743559780713,0.0012059572711291535,0.09599419878188062,NS
BMPR1A,BMPR1A,7396,6163,5956,6723,9828,7165,7555,6225,7038.6751829529985,0.05977366324495487,0.03969775386254695,0.0013717633390491495,0.10454587830795858,NS
LOC100028243,LOC100028243,4920,4375,3634,4084,7631,6106,5412,5183,5050.92639590683,-0.05192741818458754,0.048252141896279986,0.001344430285738509,0.10454587830795858,NS
FKBP4,FKBP4,13770,12129,10737,11929,22534.999,15830,15937,13359,14167.470976099157,-0.05908378329944196,0.04139332980918231,0.0014234673506072282,0.10622625103906441,NS
TMED10,TMED10,55894,44993,45173,50349,73436,49200,53562,48309,52057.223747389355,0.05394282718931146,0.046267317489099666,0.0015672279652051222,0.11456756268091323,NS
F10,F10,4442,4330,4077,4186,6247,4612,4734,4069,4547.380289842974,0.053470380642475175,0.04503428541584072,0.0018089777763197923,0.12705408617210776,NS
LOC100020223,LOC100020223,6697,6033,5858,6255,9414,6796,7242,5547,6646.439913986304,0.055153913354997815,0.04325778198364643,0.0018033212247966848,0.12705408617210776,NS
SQLE,SQLE,6022,5147,4736,5989,7963,5986,5846,5218,5804.051326466242,0.05041076383203527,0.04595879892452551,0.001995141905393714,0.1374345827907747,NS
C1GALT1C1,C1GALT1C1,4883,4620,4428,4538,6759,5210,5029,4416,4940.959861690932,0.05110431823027791,0.04396270835934204,0.0022937036476006795,0.14544027162168585,NS
CREG1,CREG1,6784,5284,5563,6036,9043,5770,6409,5590,6235.454644682178,0.04512673840715732,0.04691409837547345,0.002171741766785655,0.14544027162168585,NS
DAZAP1,DAZAP1,5081,4372,4004.999,4370.998,8043.001,5771.816,5808,5021,5187.865486822959,-0.053556259162584004,0.040703562545771003,0.002216123602817559,0.14544027162168585,NS
DNAJB14,DNAJB14,4369,3530,3402,4000,5681,3992,4262,3688,4068.4166282885303,0.05011640339050755,0.044682462235730816,0.0023079052662233804,0.14544027162168585,NS
TALDO1,TALDO1,4016,3348,3167,3343,5801,4475,4994,4248,4094.7862324368252,-0.04728573517491911,0.04591610933953812,0.002354979272489609,0.14544027162168585,NS
TMEM181,TMEM181,6120,5202,4954,5721,7955.001,6226.001,6249,5292,5902.691510506033,0.0528691227833828,0.04091642500071553,0.0023239196710829117,0.14544027162168585,NS
EMC3,EMC3,9674,7537,7650,8016,11754,8248,9023,8246,8693.139773534713,0.045282624126539314,0.04589428604621367,0.002572989208124373,0.15000000327900284,NS
LOC100022860,LOC100022860,8212,5884,6717,6514,14465,8753,9113,8457,8252.352368743996,-0.033380011668670224,0.04513986747440216,0.0025625286423491393,0.15000000327900284,NS
MYBBP1A,MYBBP1A,3591,3367,2776,3281,5374,4760,4706,3684,3862.3971530049953,-0.043368971969196535,0.04636946320736166,0.002512010773339089,0.15000000327900284,NS
POGLUT2,POGLUT2,4295,3766,3513,3886,5868,4128,4357,3763,4146.828565512912,0.05096872816952245,0.0414209660713836,0.0026381910124447737,0.15000000327900284,NS
TMTC3,TMTC3,5716.999,4889,4480.001,5200,7717.999,5523,5793.999,4829,5445.922517627814,0.05139129583513733,0.04028455223389525,0.0026334563827799472,0.15000000327900284,NS
ITGB1,ITGB1,23141,21608,19653,22447,32438,24163,25276,20796,23420.916953854135,0.051114049045418136,0.038962591828474995,0.002731950803406859,0.15290387152817764,NS
TLR2,TLR2,3747,3304,3090,3429,5183,3630,3841,3251,3638.714316923215,0.05001791630024943,0.041688199193854254,0.0027986482046762117,0.15422704414077218,NS
ENTPD6,ENTPD6,3664,3144,2975.999,3316,4812,3529,3736,3221,3512.356653685095,0.04942939718413862,0.04166591719274395,0.0029212380800847947,0.15617723586363783,NS
PLOD2,PLOD2,9452,8129,7839,8328,12846,9600,9653,8048,9117.712565575843,0.050157383611674516,0.037013247121443556,0.00291952875563434,0.15617723586363783,NS
GNPTAB,GNPTAB,9208,7977,7309,8698,12492,8891,9568,7987,8905.40936705469,0.048715266821463106,0.041026416388075554,0.0031482330472426805,0.16251194769801847,NS
RCN1,RCN1,24473,20836,19072,21053,31663,22907,24350,21396,22957.050550946984,0.048815255654922285,0.039866549954922705,0.0032212027600668092,0.16251194769801847,NS
RPL13A,RPL13A,9290,7339,7251,7281,14074,9733,10732,9349,9167.434691219805,-0.044148664195234374,0.04484163863173482,0.0031277741729861964,0.16251194769801847,NS
TMED4,TMED4,13217,10811,10550,11247,16672,11891,12836,11557,12228.598726901138,0.04658089149231827,0.04330586586984653,0.0032124439090722386,0.16251194769801847,NS
CANT1,CANT1,3263,2949,2679,2884,4272,3267,3350,2876,3160.7794844271816,0.04713647998817179,0.04138163469998175,0.0034733164641557062,0.16741622805158385,NS
P4HA1,P4HA1,22503,20403,19155.001,19878.001,30897,22922.999,23936.001,19783,22167.28579304921,0.047777099591369755,0.03709509863804401,0.003529158616189065,0.16741622805158385,NS
SELENOF,SELENOF,6175,4485,4892,5264,7693,4945,5398,5108,5442.061089138979,0.03425617936959313,0.044589332409128796,0.0034831786762477145,0.16741622805158385,NS
TIMP2,TIMP2,7065,6571,5961,6787,9722.852,7466,7531,6380,7109.299740391081,0.04754540184660691,0.03969977525973338,0.003552103107738798,0.16741622805158385,NS
VEZT,VEZT,3175.999,2758,2820.001,2835,4187,3063,3221.001,2866.999,3090.769883962496,0.04409096313568288,0.04421088909969745,0.0033870804136560155,0.16741622805158385,NS
GPC1,GPC1,13046,11038,10709,11605,17532,13314,13084,11264,12541.2460257111,0.04678574493797609,0.03698571597848232,0.0038119101245293607,0.17649773500069943,NS
LAMA3,LAMA3,3183,2828,2766,2851,4075,3213,3281,2874,3110.886059062923,0.043861352336607026,0.043073818081064565,0.0038433342629968052,0.17649773500069943,NS
MFSD4B,MFSD4B,7826,6715,6284,7112,10129,7829,8062,6908,7528.777723531744,0.0462207117694294,0.03883883414440272,0.003975054783232717,0.18023602827265306,NS
CAPNS1,CAPNS1,3803,3274,2921,3301,5913,4346,4349,3704,3862.120046444556,-0.045258954304509484,0.04039617967456962,0.004115919785585821,0.18201511940701742,NS
MCFD2,MCFD2,11626,9077,9388,10127,15148,10351,10710,9965,10680.649132511358,0.040535229168556924,0.04391634548682675,0.004095207587025977,0.18201511940701742,NS
ILF2,ILF2,9005,7564,7219,7713,13725,10258,10369,8548,9100.265418875011,-0.04498062021859778,0.0371441741830829,0.004396346065912343,0.18622625296901085,NS
M6PR,M6PR,10029,8556,8026,8748,12779.993,9635,10255,8861,9514.933257591472,0.044592529976030866,0.039616630185706,0.004419104272017287,0.18622625296901085,NS
TMEM68,TMEM68,3067.999,2600.999,2470,2578,3752,2892,3182,2555,2860.8194096333655,0.042080003944852944,0.042873774809988906,0.004313900046913469,0.18622625296901085,NS
USF2,USF2,2801,2834,2314,2550,4555.48,3440,3777,3064,3101.8558500364516,-0.038555554217560746,0.04389743163512693,0.004355092834317142,0.18622625296901085,NS
HNRNPL,HNRNPL,18421,16176,14259,16208,28020,21288,21537,17511,18768.5734396207,-0.04428222170758151,0.03655947421726242,0.004623453730700413,0.19035875015366527,NS
SF1,SF1,8876.002,8472.001,7151,7707.002,13236,10853.001,11287.001,9464.003,9456.682941036024,-0.040367569538158295,0.04310109966923094,0.004576754616382782,0.19035875015366527,NS
TRPM7,TRPM7,6149,5521,5066,5591,8456,6323,6450,5372,6039.127944341446,0.04413488473769445,0.037008528804708805,0.004693004179950634,0.19102660196117238,NS
LOC100012151,LOC100012151,3596,2939,2789,2898,4341,3126,3448,3056,3245.0315563683725,0.0380778022237645,0.04324837221620359,0.004886696525174445,0.19281437268914464,NS
RENBP,RENBP,5657,4718,4303,4722,8468,6201,6351,5660,5638.5689608428875,-0.042348377623919936,0.04073004499058272,0.004952239611223146,0.19281437268914464,NS
SPTLC2,SPTLC2,27538,22838,21223,23598,36270,25566,26664,23642,25585.533450066716,0.043462246765081355,0.03962138376860226,0.004792311846838054,0.19281437268914464,NS
UGCG,UGCG,8482,7089,6942,7729,11869,8165,8541,7084,8119.4653699286455,0.04238459676485392,0.040687525274692,0.004950980587486671,0.19281437268914464,NS
PRELID1,PRELID1,2831.989,2207.987,2205.992,2393.059,4370.916,3049.226,3257.062,2805.991,2822.893782545827,-0.03909531580312807,0.042666609255814024,0.005088076866264357,0.19597302510708522,NS
ICMT,ICMT,4794,4076,3883,4502,6552,4747,4600,4222,4617.060339140354,0.04029946399568712,0.04176308502925795,0.005243436628663172,0.19804808118198894,NS
MANF,MANF,5308,4175,4654,4764,6907,4768,5043,4713,5000.580464607798,0.03377858463114386,0.04307221052784699,0.0052525314663006565,0.19804808118198894,NS
PPP4R1,PPP4R1,3261,2955,2679,2900.999,4497,3393,3191,2736.001,3160.880154592201,0.040432409527211534,0.04141382762760042,0.0053486037556031525,0.19956977763094264,NS
ENPP4,ENPP4,3118,2586,2570,2802,4228,2965,2959,2717,2958.1714305295004,0.037253585512086566,0.04179506313530099,0.006081109559720831,0.22015431469175867,NS
MYDGF,MYDGF,5123,4221,4035,4350,6495,4715,5043,4440,4751.931792115508,0.03927635206186468,0.04072771814756189,0.006010182134189815,0.22015431469175867,NS
TMEM167A,TMEM167A,3551,3045,2982,3506,5088,3618,3465,2985,3483.227920247077,0.03548031691019792,0.04225352730795823,0.006084666988968205,0.22015431469175867,NS
LMAN1,LMAN1,14970,12874,12053,13917,20578,14550,15354,13278,14510.72829623519,0.04024471180128938,0.03845142240616006,0.006224198883110995,0.2207433702901345,NS
PHGDH,PHGDH,8201,7405,6491,7083,12236,10143,9590,8129,8489.672069397164,-0.03932535032445168,0.040270779373013606,0.00616575335234702,0.2207433702901345,NS
C1QTNF8,C1QTNF8,3277,2785,2819,2884,4366,3164,3351,2877,3157.155975384477,0.03802834588702614,0.04082308736474528,0.006413754084387072,0.22304919543955817,NS
ERGIC1,ERGIC1,14869,12558,11215,14260,20188,14429,14459,12536,14122.559661871495,0.03719213146778942,0.04137282912452399,0.006376466814023951,0.22304919543955817,NS
SORT1,SORT1,7911,7189.999,6617,7236.001,10692,8290,8401,7095,7841.537256700356,0.03961063869564858,0.036668625959361156,0.006665497108689749,0.22957510233967965,NS
PGRMC2,PGRMC2,8758,6987,7086,7038,11214,7553,8157,7431,7941.079028539505,0.033925672080197616,0.041803641896681336,0.006745273936757391,0.23011020229966642,NS
MTDH,MTDH,28802,23606,23112,25708,40003.766,27302,27953.001,24270,27194.15613864864,0.03803795768717606,0.03972146453490266,0.006895641388565388,0.23084287340038523,NS
SF3A1,SF3A1,3294,3099,2681,3113,5240,4354,3980,3404,3570.475029033727,-0.03561907522693475,0.041352389654612014,0.006839887962787254,0.23084287340038523,NS
IDS,IDS,4425,3967,3513,3930,5653,4479,4530,3919,4260.473908087285,0.037526579173450675,0.03926983932594971,0.0072941701680350225,0.24192331057316158,NS
MAN2B2,MAN2B2,3389,3004,2599,2956,4421,3289,3388,2927,3208.8131580257113,0.03686218419449671,0.039515154465887825,0.00750801362130651,0.24323152967701075,NS
PTPRA,PTPRA,5305,4731,4204,4796,7136,5335,5458.001,4675,5141.845615552046,0.03792116996673348,0.037356875833198126,0.007537325459002845,0.24323152967701075,NS
SUCO,SUCO,5340,4765,4444,5278,7655,5494,5551,4642,5324.89063472334,0.03641650895384962,0.039998794488033014,0.007470102851755668,0.24323152967701075,NS
EIF5A,EIF5A,16752,14738,13459,14704,25287,19234,19576,16112,17135.819258038908,-0.03722412519903169,0.03353758055392108,0.007719440951904698,0.2468842633010949,NS
LOC100027271,LOC100027271,6208.999,5717,5524,5475,8421.954,6105,6431,5767.999,6152.3590926199495,0.03418413517691564,0.04029656861190038,0.008153954915285515,0.2546163289321304,NS
LOC130453532,LOC130453532,4990,4554,3943,4388,6431,5054,5197,4349,4812.673275522173,0.03640039931566445,0.038755505152782935,0.008044439170590063,0.2546163289321304,NS
TOR1AIP1,TOR1AIP1,12529,10946,10114,11494,17440,12629,13204,10819,12222.62493691825,0.03694607007072428,0.03523715349045084,0.00817444942132747,0.2546163289321304,NS
ABHD2,ABHD2,16382,13789,13371,14738,22187,15865,16355,14666,15728.139005294874,0.035694867375358603,0.03766675221424204,0.008798033097850967,0.26267061086472193,NS
ACSL3,ACSL3,11179,9555,8925.999,9431,15349.999,10410,11255.999,9323,10523.484705409735,0.03526937948226998,0.038416785081599486,0.008799685456104586,0.26267061086472193,NS
MANSC1,MANSC1,6693,6042,5868,6055,9565,6725,6951,5985,6652.200532480272,0.035396342850405715,0.03857286471562664,0.008662466370455393,0.26267061086472193,NS
RNF145,RNF145,3712,3215,2983,3436,5244,3623,3634,3188,3578.701291692116,0.034132116663895616,0.039646727525448386,0.00868805217585882,0.26267061086472193,NS
TMEM230,TMEM230,11006,9081,9233,10037,15361,10551,11146,9434,10586.073857152289,0.03480710401432376,0.039043718117310354,0.008750716913222845,0.26267061086472193,NS
BLOC1S2,BLOC1S2,4211,3265,3139,3568,6168,4545,4770,4035,4120.210934839094,-0.03330629285546247,0.03925337407694699,0.009367395304739528,0.2718256160945844,NS
C2H6orf89,C2H6orf89,5920,4913,4620,5310,7576,5942,5818,5137,5592.134493042332,0.03427773764951503,0.03789674326046739,0.0096159303190176,0.2718256160945844,NS
CNIH1,CNIH1,6250,5172,4957,5133,7776,5780,6217,5383,5774.532780801976,0.0336839781130757,0.03909626478118228,0.009296559986671336,0.2718256160945844,NS
CTSZ,CTSZ,27179,23653,21868,23913,35978,26165,27681,24642,26094.742633329308,0.03511394893465732,0.03712934353235721,0.009306491546291576,0.2718256160945844,NS
HNRNPA0,HNRNPA0,4054,3239,3008,3619,6865,4482,4460,3938,4088.8956982121776,-0.02865086413402956,0.03996641915192474,0.009582619834150484,0.2718256160945844,NS
IL6ST,IL6ST,8600.001,7663,7183.001,7987,11788,9107,9064.001,7667,8529.178910757595,0.034872059297867214,0.035191027210270856,0.009658001680904825,0.2718256160945844,NS
MFSD14B,MFSD14B,4972,4143,3817,4418,6676,4845,5021,4024,4669.686875449406,0.03414393868066739,0.03786899646366742,0.009713478185401117,0.2718256160945844,NS
SACM1L,SACM1L,4966,4276,4104,4333,6743,4998,5124,4233,4783.644687900538,0.03493862446991518,0.036413872768360715,0.009555497471471195,0.2718256160945844,NS
EDEM1,EDEM1,7809,7070,6469,7302,10631,8107,8253,7135,7760.423856367083,0.03455054433696952,0.036114835854896145,0.009877583048980804,0.27427521303449026,NS
REEP3,REEP3,4350,3669,3565,3907,5906,4103,4460,3807,4168.782261387899,0.033272797832476844,0.03837263043618069,0.009998842914537157,0.27550657938363154,NS
SLCO4A1,SLCO4A1,6212,5649,5294,5791,8031,6370,6999,5474,6172.767925729922,0.03254460232582541,0.0387965277181615,0.010113820450486921,0.2765473652949935,NS
STOM,STOM,4030,3494,3249,3516,5434,3865,4131,3509,3854.4709972632077,0.03364312130973871,0.03744600951857729,0.010221996236440543,0.2773878069615911,NS
ERO1B,ERO1B,9088,7850,7271,8309,12627,8800,9293,7991,8782.65128342403,0.033662252864145516,0.03681485434967305,0.010419540541023654,0.2806225129168927,NS
HADHB,HADHB,13887,12589,11512,12448,19335,13749,14670.999,12522,13665.941457106666,0.03375835193086959,0.03579646428769003,0.01053235338706737,0.2815439539736964,NS
ERLIN1,ERLIN1,4334,3583.999,3383,3664,5448,3993,4299.001,3772.999,4017.396730630995,0.03161633161480564,0.03842240954162861,0.010937947977658211,0.2878070118225767,NS
LCLAT1,LCLAT1,7821,6529,6360,7174,10706,7749,7883,6836,7532.7897026840255,0.03302798451152138,0.03668703483675891,0.01094452267454284,0.2878070118225767,NS
RPS19,RPS19,7986,5542,6072,6349,12804,7535,9136,8268,7745.304331396849,-0.021226146149797447,0.037336434309484225,0.01100769419868593,0.2878070118225767,NS
LOC100025365,LOC100025365,34807,30384,28082,31294,47726,35813,37152,29996,33926.50156405872,0.03226501358149442,0.03196411936771168,0.011275772753176828,0.29267984059332897,NS
PRSS23,PRSS23,12895,11019,11123,11233,17334,12224,12571,11866,12412.147080361254,0.029809333738490533,0.03868681029932625,0.011553052567725066,0.2955931021256513,NS
ZC3H4,ZC3H4,3755.999,3609.999,3100.001,3620.001,6166,4593,4600,4012,4097.029647025766,-0.03122399304654875,0.038004462745259725,0.011531559170335756,0.2955931021256513,NS
CAMLG,CAMLG,3666,3147,2946,3264,4993,3566,3808,3127,3516.482863467089,0.031359570999696884,0.0364404736347507,0.012416982509605214,0.3110323870587824,NS
CD164,CD164,46826,36012,36262,39929,61702,41364,43602,39149,42522.122473729156,0.02887271250621625,0.03834233335713883,0.012414180904421408,0.3110323870587824,NS
YOD1,YOD1,4519,4209,3903,4491,6555,4890,4916,3854,4605.791412364298,0.029944124879215783,0.03803387406214978,0.012282892471952675,0.3110323870587824,NS
DNAJC10,DNAJC10,9328,8036,7687,8067,12806,9002,9649,8110,8964.508556972547,0.03148773548602085,0.0356719001484439,0.012556267333777025,0.3123371499277035,NS
UBE2S,UBE2S,3593,3019,2916,2864,5411,4031,4200,3424,3602.8229516449223,-0.02972347273548654,0.037782586723382305,0.012690699943743288,0.313504049644748,NS
RTN3,RTN3,56027.999,46629.999,45734,47743,73684,51811.001,56957,49403.999,52883.72259216997,0.030595366923631066,0.03691646391153133,0.012805875228418924,0.3141825004670999,NS
CCDC127,CCDC127,8439,7227.999,6670,8102.001,11835.999,8542,8756.999,6808,8171.905513518407,0.02913255982711865,0.03765148971815884,0.013205945628579019,0.31747447813134255,NS
POGLUT1,POGLUT1,11632,10059,9662,10184,15698,11084,11999,10491,11221.0038696898,0.0305586758389813,0.03643591396062057,0.013125591700334921,0.31747447813134255,NS
SUSD6,SUSD6,5141,4568,4250,4818,7039,5476,5143,4594,5069.522651634032,0.0303603524641133,0.03663877896806,0.013181884089559063,0.31747447813134255,NS
PLA2G15,PLA2G15,3955,3741,3200,3774,5433,4065,4203,3603,3952.8505811982204,0.029537412862801985,0.03707144750524165,0.01353025017446749,0.3209626233439904,NS
VPS72,VPS72,2848,2469,2139,2467,4195,3304,3335,2737,2875.8470071637785,-0.029503349809410027,0.03714137073842202,0.013491830157345152,0.3209626233439904,NS
ABHD6,ABHD6,3103,2520.001,2580,2558,3940.999,2845,2993,2717.001,2879.342425127231,0.026391973162199985,0.037627935148200904,0.014496059031289008,0.3401768226408857,NS
SEC62,SEC62,11835,9917,9427,10209,15985,11222,11675,10380,11182.564551941077,0.02952608017065258,0.03563161853276379,0.014530165791193612,0.3401768226408857,NS
OTUD5,OTUD5,3621,3360,2875,3152,5622,4186,4256,3718,3771.4466675562962,-0.028646793938728193,0.03653530932379959,0.014756702758121978,0.3432370732441099,NS
BPNT2,BPNT2,4950,4168,4028,4381,6674,4999,5134,4178,4749.031852718925,0.029149369958527294,0.034502740834148914,0.015332228609500488,0.3483442273730545,NS
CDC20,CDC20,5343.999,4947,4142,4498.001,7829,6557,6328,5312.001,5511.913641553427,-0.026794641624704057,0.03709492987813742,0.015374994057887269,0.3483442273730545,NS
DOLPP1,DOLPP1,3656,3120,2976,3132,4890,3468,3655,3222,3472.881307652416,0.028154880300434663,0.036323433648029126,0.015397292895801006,0.3483442273730545,NS
LAPTM4B,LAPTM4B,4749,3842,3930,4056,6115,4356,4690,4207,4447.903071553367,0.026440447082107577,0.036988856936671595,0.01574776844212428,0.3483442273730545,NS
PAK1,PAK1,3449.001,2941,2682.001,2950,5232,3846.001,3881.999,3391,3472.4774943812267,-0.028461826384494945,0.035559456066497463,0.01570440514779357,0.3483442273730545,NS
SRPRB,SRPRB,7867,6633,6298,6852,10612,7141,7852,6972,7435.445420136078,0.027350042180612967,0.03660699113526608,0.015754261539484875,0.3483442273730545,NS
TRIM28,TRIM28,5946,5295,4462,5127,8263,6947,7416,6053,6080.105092214974,-0.025455897807787727,0.03717746243785391,0.015700940838382735,0.3483442273730545,NS
