gene_id,gene_name,pi5_1,pi5_2,pi5_3,pi5_4,NC_1,NC_2,NC_3,NC_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<0.05 & |log2FC|>=0.585)
RANBP3L,RANBP3L,3882,3299,3222,3391,4882,3246,3794,2917,3548.886373229744,0.12993309747725354,0.04229489991197862,6.728781894586419e-7,0.002410249674640855,NS
CD99,CD99,26502,22269,22142,24743,34364,23915,25156,22634,25014.001905401787,0.11348341710761017,0.03927517504486176,5.571035443505529e-6,0.009977724479318403,NS
B2M,B2M,24419,19726,20895,21659,30251,19420,22712,20454,22319.915593702983,0.09406777194226004,0.05247536295230025,2.6614209429732043e-5,0.024255249998403946,NS
HSD17B7,HSD17B7,3395,2737,2703,3012,4393,3026,3190,2606,3096.613033444812,0.09871417565748979,0.04394610393626928,3.385713288442762e-5,0.024255249998403946,NS
SLC6A6,SLC6A6,57648,52142,48192,55679,76649.001,58284,60765,50082.001,56889.18356342772,0.09493615499111432,0.03308795268014182,3.12716209186297e-5,0.024255249998403946,NS
IL4R,IL4R,8447,7223,6640,7679,10842,8121,8500,7077,7981.042349482624,0.09072017859891628,0.03399974961395215,5.7028385916474047e-5,0.025408351000942117,NS
PGRMC1,PGRMC1,16255,13762,13239,14452,20751,15141,15979,14073,15317.174922039172,0.09287482637964084,0.03616356904356522,5.3622455528711075e-5,0.025408351000942117,NS
TGFBR1,TGFBR1,10747,8892,9053,10333,14268,9956,10251,9128,10234.518427220839,0.09238175569781944,0.045194837479321834,6.384007789181436e-5,0.025408351000942117,NS
XPR1,XPR1,7761,6491,6072,7074,9748,7483,7795,6286,7263.265756977975,0.09257938911865007,0.036529533674785966,5.6794559781807434e-5,0.025408351000942117,NS
SCCPDH,SCCPDH,5217,4335,4288,4595,6720,4807,5125,4362,4882.029798672632,0.09010648354035689,0.0393447757847679,8.398252303788351e-5,0.02734776341106352,NS
TMED7,TMED7,26599,21397,20553,23222,33583,23852,25215,21915,24278.03523775216,0.09045482537023693,0.038723729307766776,7.947257666279949e-5,0.02734776341106352,NS
MPZL2,MPZL2,8825,7466,7328,7962,11966,8180,8810,7206,8365.305731171025,0.08866663899372952,0.03991490591197848,9.872539367774264e-5,0.029469530012806177,NS
DNAJC3,DNAJC3,6842,6055,5815,6260,9320,6574,7042,5873,6649.648342692397,0.0855062453277069,0.0376507309941212,1.275324514596004e-4,0.03514009547140681,NS
EZR,EZR,91549.387,78323.268,76417.929,85140.069,123324.599,89332.86,92164.568,80322.572,88610.57252904655,0.07981010646781782,0.036150084864637375,2.1103592466165623e-4,0.04724566763362829,NS
LOC100018537,LOC100018537,4292,3398,3229,3662,5002,3604,4185,3392,3813.5112419533893,0.07753430452892258,0.048903255084761614,2.0655174827867537e-4,0.04724566763362829,NS
MIA2,MIA2,4956.999,4420,3992,4471.999,6682.001,4679.999,5112,4054,4737.749328890814,0.0811292092157594,0.04063565977591976,2.1001270443847457e-4,0.04724566763362829,NS
TGOLN2,TGOLN2,15738,13883,12847,14408,20731,15749,15820,13962,15238.767097512498,0.0771013489519327,0.03503991905305314,2.593743085256445e-4,0.05465169253757993,NS
MFAP3,MFAP3,8611,7665.001,7271.999,8440,11829,8627.001,9005,7457,8521.049757923662,0.07820630676343844,0.04031594498520539,2.763075916525687e-4,0.054985210738861166,NS
TMEM50B,TMEM50B,7800,6532,6325,6907,10255,7249,7791,6603,7349.072101097804,0.07621341692428273,0.039396934040349885,3.294425964346745e-4,0.062108598969947575,NS
NOP53,NOP53,3635,3175,2860,3148,5463,4381,4409,3722,3770.3883518257544,-0.07480607406578207,0.04208643522088259,3.749733324679733e-4,0.06715772384501402,NS
LOC100014881,LOC100014881,5353,4917,4493,5213.001,7330,5387,5528,4778,5322.00370045081,0.07381525106815084,0.041761712027308995,4.1128792546423897e-4,0.07015396900061448,NS
ALCAM,ALCAM,5376,4516,4478,4751,6908,5087,5121,4719,5075.403458988473,0.0707326401145674,0.04448768832042053,5.008244499887032e-4,0.08154332635725157,NS
CCPG1,CCPG1,6477,5364.999,5091,5861,8680,6108,6330,5292,6069.696526261838,0.06893768563295344,0.042019471496701696,6.270124265638543e-4,0.08434259198094933,NS
MESD,MESD,19631,16722,16901,17945,26523.999,18037,19295,17422,18877.927593367673,0.0672248788986435,0.04606051162427719,6.141159966223175e-4,0.08434259198094933,NS
SDF2,SDF2,5249,4255,4301,4472,6319,4588,5023,4541,4812.089810932955,0.06308136272018196,0.04874213021927067,6.556082026654653e-4,0.08434259198094933,NS
SLC30A4,SLC30A4,3942,3581.999,3111,3659,5205,3966,4042,3294,3807.431763679333,0.06968491759561316,0.04211552522511401,5.872427109810007e-4,0.08434259198094933,NS
TMED2,TMED2,24576,20990,21099,22894,33455,23403,24958,21714,23886.12443123755,0.06818583366851849,0.04267711328967699,6.592944096779959e-4,0.08434259198094933,NS
TXNDC12,TXNDC12,3222,2902,2656,2756,3974,3071,3202,2822,3054.998839033621,0.06645545068922146,0.046537514485176894,6.310939589529382e-4,0.08434259198094933,NS
AIFM1,AIFM1,8701,7430,6642,8067,11431,8299,8637,7335,8219.059527828995,0.06590897611886926,0.042033614559197845,8.088472233455988e-4,0.0908326081343767,NS
CLPTM1L,CLPTM1L,5698,4820,4625,5053,7520,5454,5775,4842,5409.908537793343,0.06688958426774141,0.03903045345433216,7.540567741301669e-4,0.0908326081343767,NS
