gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000080824.19,HSP90AA1,18320.515,14684.727,14490.713,73877.142,75002.273,74659.529,61221.02565071117,-2.4301857792339927,0.0630726044119791,0,0,Down
ENSG00000112759.19,SLC29A1,1015.999,843.001,805,2569.001,2597.001,2654,2183.2379821903864,-1.7498197169480798,0.05304166027560098,4.066798822907265e-240,2.2534132277729156e-236,Down
ENSG00000153395.10,LPCAT1,2073.001,1678.999,1777.999,4430.001,4492,4431,3756.4949905848716,-1.4680143651990265,0.04631013460429689,9.493259757883755e-223,3.506810154562259e-219,Down
ENSG00000163818.20,LZTFL1,1795,1364.999,1455,115,115.001,119,566.3374953414432,3.4984974927837516,0.11432358015607798,5.245294617316115e-209,1.4532088737274296e-205,Up
ENSG00000100591.8,AHSA1,1642,1363,1374,4646,4773.998,4470,3975.904071754694,-1.8591832963360575,0.06405648546192608,1.6327806728268535e-186,3.618895083253438e-183,Down
ENSG00000171243.8,SOSTDC1,5611,4247,4579,875,911,928,2208.508884202231,2.19778015672809,0.07668245775959565,5.270295197728035e-182,9.73423523020368e-179,Up
ENSG00000135316.20,SYNCRIP,5758.425,4333.975,4372.277,10353.108,10574.749,11332.153,9251.679772049307,-1.356952161861312,0.04826660779346013,2.4912047541764252e-176,3.943933012254735e-173,Down
ENSG00000106263.19,EIF3B,3445.001,2767.001,2976,6502,6342.001,6821.001,5628.028604579978,-1.2925163115951086,0.04601102642275405,4.4801203482938355e-176,6.2060867124740355e-173,Down
ENSG00000168906.13,MAT2A,1573,1236.998,1251,6387,6278.001,7383,5505.996783856901,-2.4905575032408094,0.08992414544940272,1.6434532613490436e-170,2.0236387824744554e-167,Down
ENSG00000113161.17,HMGCR,4238.002,3389.999,3489.001,5846.001,5950.999,6002,5476.983482955055,-0.8763077184145684,0.03541806509075849,2.535843349904417e-136,2.8102216003640753e-133,Down
ENSG00000101255.12,TRIB3,10251,8924,9264,1457,1420,1416,3975.596857211422,2.5130228100194785,0.10219500106657971,3.1605937491865784e-135,3.1841545389532424e-132,Up
