gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000089041.17,P2RX7,232,305.001,189,1321,1024.001,1122.001,527.5071560338106,-2.2375932708101,0.09905396693078146,2.1968688802023905e-114,9.738280372161155e-112,Down
ENSG00000086061.16,DNAJA1,8770,9102,8307,2263,1739,1883,5773.564777959908,2.169608294367875,0.09919778766987172,1.8345098101301223e-107,7.819245275331544e-105,Up
ENSG00000150753.12,CCT5,14242,17490.998,13671,7337.999,6213.002,6144.998,11103.114175038223,1.210387146809633,0.056092509941770945,8.284768186404113e-105,3.400437075619644e-102,Up
ENSG00000147955.18,SIGMAR1,3368,4846.002,3273.001,1833,1548.999,1562,2907.7346190378066,1.2064814629197191,0.055936328665657016,1.0390211835049724e-104,4.112297412715037e-102,Up
ENSG00000135521.9,LTV1,1492,1828,1412,546,455,480,1121.6868977414622,1.6758482623888042,0.07792346581854177,1.4543344108909377e-104,5.557563428101162e-102,Up
ENSG00000009335.19,UBE3C,2832,3556,2811.999,1319,1027,1129,2244.2607196766494,1.4096931052623973,0.06591176794752016,2.172007942308772e-103,8.023397338888604e-101,Up
ENSG00000136450.13,SRSF1,14934.133,16022.685,14183.945,4779.747,3732.455,3768.084,10376.00372879139,1.895608965676565,0.0887559914504828,6.526959315888362e-103,2.3332826818927367e-100,Up
ENSG00000214706.12,IFRD2,2918,3161,2752,664,601.999,601,1898.197332225397,2.243446535429386,0.1051306401925478,1.9344560733606013e-102,6.699263189056932e-100,Up
ENSG00000088247.19,KHSRP,9563.001,13141.999,8968,7239.001,5908.001,6051,8796.596267288925,0.72094921219583,0.033795180327868705,1.2615875027530263e-101,4.236640213790617e-99,Up
ENSG00000104856.15,RELB,197.001,264,167,1057,915,938.999,435.7422358340155,-2.1972075323983558,0.10386405412193568,9.652601629225782e-101,3.146180331031768e-98,Down
ENSG00000010244.19,ZNF207,6351.999,7800.939,5845,3729,2995.002,3069.001,5214.324028591675,1.0360022920329524,0.04953360574577212,2.658595654189796e-98,8.417873439923233e-96,Up
ENSG00000076248.12,UNG,2949,3839.999,2667.999,1641,1280.001,1335.001,2403.3949731752787,1.1506502113912194,0.05522259656879258,7.869445642655178e-98,2.422477683664019e-95,Up
ENSG00000173638.19,SLC19A1,1603.001,2048.999,1499.001,644,574,598.001,1239.9419776608936,1.4974808314052004,0.0722568096158892,2.137823287617034e-97,6.403069641451883e-95,Up
ENSG00000116133.13,DHCR24,9102.999,13802,8725.001,4936,4009,4278.001,8016.65306121641,1.241114430928168,0.059884830328737725,5.121484814732991e-97,1.4935867030755528e-94,Up
ENSG00000141526.18,SLC16A3,598,978,596.001,2794,2458,2553,1312.06838131399,-1.84680012731209,0.0894430793561123,1.7147619881475183e-96,4.872562141705333e-94,Down
ENSG00000110321.19,EIF4G2,23593.999,30115,22029,17194.999,13778.002,13704.001,20305.27459620788,0.7685243041866892,0.0372573768383795,2.9953995437062362e-95,8.298754435838127e-93,Up
ENSG00000261236.8,BOP1,4779,5584,4457,2057,1645,1798,3510.367812786261,1.4362720859734655,0.07054545096155254,4.4301508873863883e-94,1.1974373691223405e-91,Up
ENSG00000108654.16,DDX5,13651.001,17089.998,11956.998,7402.999,5739,5937,11054.502192381959,1.1635428331435347,0.05706261330328353,7.402224625234002e-94,1.9531298404010285e-91,Up
ENSG00000159131.17,GART,5347.998,6445.001,4895,2973.001,2382.001,2380.002,4151.579117158364,1.1162165018049808,0.054954178945948166,4.687094722246492e-93,1.2079624119054795e-90,Up
