gene_id,gene_name,J_904,J_897,J_899,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000071528.5,Atp5mk,11671.999,18533.998,17277.99,6835.999,7542,7244.001,9562.411426051722,1.1217439212976976,0.18611101550524148,2.0505296268522402e-11,2.8855052909064723e-7,Up
ENSMUSG00000079105.5,C7,299,840,360,59,15,24,187.29255175600682,3.5764755853830916,0.7799720081322138,2.871371339452585e-10,2.0202968744388387e-6,Up
ENSMUSG00000030869.12,Ndufab1,6389.868,10471.309,9415.884,3519.978,4369.767,3747.925,5937.626473069115,1.1179608550000528,0.217614816532375,2.227497328422309e-9,1.0448447468519576e-5,Up
ENSMUSG00000025488.10,Cox8b,4969,9524,6908,1819,2767,2201,4239.224279712075,1.4404989984878043,0.29796038609399916,3.881419736918758e-9,1.1740757342285684e-5,Up
ENSMUSG00000035674.14,Ndufa3,4265,7278.999,5876,1827,2417,2282.001,3550.3656954721937,1.2823432666505301,0.2586715911690653,4.1716733024039524e-9,1.1740757342285684e-5,Up
ENSMUSG00000050856.17,Atp5me,7703,11855,11138.995,2303,3963,3299.999,5475.532434045042,1.4314846896845113,0.30893983959211685,9.404691546844128e-9,1.9728315933495895e-5,Up
ENSMUSG00000074218.4,Cox7a1,4151,7438,5832,1687,2096,1609,3355.905866286931,1.4479780713955777,0.3145581196358667,9.81368757351274e-9,1.9728315933495895e-5,Up
ENSMUSG00000023067.15,Cdkn1a,4146,3878,4520,7290,6135,6075.999,4499.905413453825,-0.466725857953482,0.09301820843499936,1.86445827168942e-8,3.27958209990169e-5,Down
ENSMUSG00000031494.8,Cd209a,271,478,300,121,86,122,214.38085966106811,1.423063156702597,0.325263582725489,2.6634383863771697e-8,4.0933575378691574e-5,Up
ENSMUSG00000035048.14,Anapc13,1993,2404,2290,1213,1154,1389,1526.35052318769,0.8212063890817939,0.18312447751975947,2.9088669257171386e-8,4.0933575378691574e-5,Up
ENSMUSG00000026574.6,Dpt,20679,27131,29776,13563,11297,12081,15790.734379196256,1.0136135190410478,0.22473432033741078,3.4114017316938823e-8,4.364113197126937e-5,Up
ENSMUSG00000074754.5,Smim26,1037,1747,1401,585,623,630,889.9393565400173,1.0906660100737207,0.24846514847283874,5.8139461000834897e-8,6.293373040028836e-5,Up
ENSMUSG00000079941.3,Cox5b-ps,505.438,967.406,866.849,84.063,202.438,166.05,383.8126770003014,1.752164877074269,0.49266845331433473,5.3922684115136425e-8,6.293373040028836e-5,Up
ENSMUSG00000032051.10,Fdx1,840,1382,1159,555,594,498,787.502375087095,0.9799507356984143,0.22704303729176795,7.43037578626385e-8,7.008128886226537e-5,Up
ENSMUSG00000078919.11,Dpm1,1434.46,1673.651,1672.694,1178.397,1116.409,1004.512,1282.7723401486633,0.5667702196115681,0.12607704520108512,7.470290882134597e-8,7.008128886226537e-5,Up
ENSMUSG00000040950.14,Mgl2,180.793,203.126,98.13,26.048,45.089,40.027,91.98586616870165,1.6116117913840535,0.44159487822253907,9.857817979332448e-8,8.669950912822888e-5,Up
ENSMUSG00000017778.15,Cox7c,19946.116,29453.195,27392.131,11543.96,14816.982,12997.993,17390.06607201427,0.9089726081612192,0.21635539241812382,1.1130767995193973e-7,9.010494206216763e-5,Up
ENSMUSG00000095304.10,Plac9,1712,3110,2081,610,650,595.001,1446.9831020473218,1.4939864356224613,0.390117985735021,1.1525646369521156e-7,9.010494206216763e-5,Up
ENSMUSG00000019689.5,Fmc1,730,1147,775,443,437,324,610.348140105384,1.0553101312331385,0.25266484397273736,1.3397910319810718e-7,9.922915474756654e-5,Up
ENSMUSG00000047462.10,Gpr141b,104,142,114,32,45,44,70.70529848589965,1.311673463918093,0.3261084717810542,1.4335270177132927e-7,1.0086296096630729e-4,Up
ENSMUSG00000005672.13,Kit,332,401,481.001,253,219,219,259.24989249673223,0.7873256061310774,0.19218525376400653,1.6567617695893676e-7,1.1101881724600752e-4,Up
ENSMUSG00000014313.16,Cox6c,20213.992,29055.982,29228,13051.996,15287.978,13921.999,18261.466131799527,0.8450135129473447,0.20822800139889683,1.9417584514293022e-7,1.2420193149324153e-4,Up
ENSMUSG00000023089.13,Ndufa5,5858,9537.999,8658,2508.999,3658.999,3250,5008.538967920801,1.1657868946654528,0.2898584681174285,2.1212154970471696e-7,1.297814977149903e-4,Up
ENSMUSG00000021520.5,Uqcrb,12927.951,19762.438,20153.444,8738.994,9603.925,9462.914,11555.471946121188,0.8662777403874367,0.21726851517016954,2.622260606436886e-7,1.31922156850048e-4,Up
ENSMUSG00000041881.14,Ndufa7,3682.999,4659.999,4494.001,2535.001,2937.999,2252.001,3296.2053016150358,0.7168855953346172,0.17812064451507517,2.5469601761503716e-7,1.31922156850048e-4,Up
ENSMUSG00000073418.5,C4b,7143.92,7522.207,5244.291,3125.676,2045.817,3130.37,4800.877542806375,1.125693167312923,0.2829337389299894,2.6249434279429677e-7,1.31922156850048e-4,Up
ENSMUSG00000073676.5,Hspe1,5184.209,6635.883,6022.157,3384.957,3852.528,3542.991,4611.534983614078,0.710995057559798,0.17623435270139587,2.4842571744074214e-7,1.31922156850048e-4,Up
ENSMUSG00000113902.2,Ndufb1,5012,9152,6651,1609,2796.001,2293.999,3923.5027276849437,1.326126828967953,0.34414781493761837,2.328451072859661e-7,1.31922156850048e-4,Up
ENSMUSG00000036751.8,Cox6b1,15613,18175.001,20425,11557,12102,11795,13562.060403900588,0.6114889822706916,0.14871572854226403,2.954825761149212e-7,1.4098703291878743e-4,Up
ENSMUSG00000055541.20,Lair1,1886,1264,1745,4078.999,4121,3300,2430.125194370521,-0.9333894328124559,0.23573147113490464,3.0056928564266793e-7,1.4098703291878743e-4,Down
ENSMUSG00000022332.9,Khdrbs3,536,726,757,325,389,333,511.23301833942133,0.881414057362268,0.2235624130986896,3.154497336261237e-7,1.4319382747054235e-4,Up
ENSMUSG00000022890.14,Atp5pf,12056,17037,16845,7965.001,8422.001,7901.001,10349.879955123755,0.861083192503013,0.21955853566181738,3.4134045949226975e-7,1.501044670617256e-4,Up
ENSMUSG00000000088.8,Cox5a,13649.094,22068,20442.001,7429,10605,8556,13127.225847393034,0.9700596111759882,0.25073823825474717,4.2739748041258185e-7,1.7251413449300391e-4,Up
ENSMUSG00000026500.7,Cox20,1370,1663,1842,947,969,940,1149.5399552615693,0.7384688803865487,0.18980314208141802,4.290786460528096e-7,1.7251413449300391e-4,Up
