construct	human_region	human_meandepth	human_breadth_pct	wholecontig_meandepth	wholecontig_breadth_pct	baseline	copy_number_ratio	interpretation
TG_CD1A	TG_CD1A:29972-157447	0.281645	11.2421	0.193386	7.71916	19.0106	0.01	absent(neg_control)
TG_MTTH	TG_MTTH:36824-215126	0.204506	6.36501	0.143553	4.46793	19.0106	0.01	absent(neg_control)
TG_RAGH	TG_RAGH:19695-24841	11.5166	99.6114	1.58246	14.1005	19.0106	0.61	~het_single_copy
