category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Xenobiotics biodegradation and metabolism,mmu00982,Drug metabolism - cytochrome P450,13/674,32/5931,0.40625,3.5748794510385755,5.229148783501195,2.0821980454954264e-5,3.943928062644278e-4,3.6228956704904944e-4,Hpgds/Gstk1/Aox1/Gstt1/Gstt2/Maob/Adh1/Cyp2e1/Mgst3/Gsta4/Gstp1/Fmo2/Gstp2,13
Metabolism,Xenobiotics biodegradation and metabolism,mmu00980,Metabolism of xenobiotics by cytochrome P450,13/674,36/5931,0.3611111111111111,3.1776706231454006,4.692344016094111,8.983506836562098e-5,0.001607049556318331,0.0014762370883473392,Hpgds/Gstk1/Gstt1/Gstt2/Akr7a5/Adh1/Cyp2e1/Mgst3/Gsta4/Cyp1b1/Dhdh/Gstp1/Gstp2,13
Human Diseases,Cancer: overview,mmu05204,Chemical carcinogenesis - DNA adducts,11/674,29/5931,0.3793103448275862,3.337818479484293,4.518543733561088,1.8922028014861327e-4,0.0032067858004133404,0.002945756161870379,Hpgds/Gstk1/Gstt1/Gstt2/Cyp2e1/Mgst3/Gsta4/Sult1a1/Cyp1b1/Gstp1/Gstp2,11
Metabolism,Metabolism of other amino acids,mmu00480,Glutathione metabolism,14/674,50/5931,0.28,2.4639169139465875,3.7218952624070645,9.836264214733489e-4,0.015082271795924683,0.013854587690927872,Hpgds/Gstk1/Oplah/Gpx4/Gstt1/Gstt2/Gpx3/Prdx6/Mgst3/Gclc/Gsta4/Chac2/Gstp1/Gstp2,14
Metabolism,Global and overview maps,mmu01212,Fatty acid metabolism,14/674,50/5931,0.28,2.4639169139465875,3.7218952624070645,9.836264214733489e-4,0.015082271795924683,0.013854587690927872,Hsd17b8/Cpt2/Acadl/Hadh/Acaa2/Acadm/Hadhb/Cpt1b/Acadvl/Mcat/Acads/Echs1/Acaa1b/Mecr,14
Cellular Processes,Transport and catabolism,mmu04146,Peroxisome,18/674,74/5931,0.24324324324324326,2.140468361536611,3.5346775051283497,0.0012344956117542616,0.018068526681130556,0.016597763966648207,Pxmp2/Pex6/Sod1/Phyh/Gstk1/Prdx5/Pex11a/Pex16/Mlycd/Sod2/Ephx2/Ech1/Nudt13/Cat/Nudt7/Acaa1b/Eci2/Crat,18
Organismal Systems,Endocrine system,mmu03320,PPAR signaling pathway,15/674,58/5931,0.25862068965517243,2.2757853269211092,3.495826786020571,0.0016008530219265293,0.022200203009117903,0.020393125353259663,Nr1h3/Cpt2/Dbi/Acadl/Fabp3/Acadm/Me1/Cpt1b/Aqp7/Plin4/Ubc/Fabp4/Plin5/Acaa1b/Adipoq,15
Metabolism,Metabolism of cofactors and vitamins,mmu00785,Lipoic acid metabolism,7/674,17/5931,0.4117647058823529,3.62340722639204,3.8782680063193347,0.0016546735162075456,0.022200203009117903,0.020393125353259663,Lias/Bckdha/Bckdhb/Pdhb/Dlat/Ogdh/Gcsh,7
Metabolism,Carbohydrate metabolism,mmu00620,Pyruvate metabolism,11/674,37/5931,0.2972972972972973,2.6161279974336358,3.530692188126443,0.0019966556928690416,0.025549227922102326,0.02346954248483411,Ldhd/Ldhb/Hagh/Acacb/Adh1/Me1/Fahd2a/Pdhb/Dlat/Mdh2/Acss2,11
Metabolism,Metabolism of cofactors and vitamins,mmu00760,Nicotinate and nicotinamide metabolism,10/674,32/5931,0.3125,2.7499072700296736,3.5537684953075015,0.002099253334113115,0.025549227922102326,0.02346954248483411,Aox1/Nadk2/Nnt/Nudt13/Enpp1/Naprt/Nt5c2/Sirt5/Nmrk2/Nampt,10
Metabolism,Global and overview maps,mmu01200,Carbon metabolism,21/674,96/5931,0.21875,1.9249350890207715,3.271257627222888,0.002142326564896779,0.025549227922102326,0.02346954248483411,Mcee/Pccb/Hk1/Psph/Hk2/Sdhd/Aldh6a1/Me1/Pdhb/Dlat/Acads/Sdhc/Mdh2/Ogdh/Got1/Sucla2/Sdhb/Cat/Echs1/Acss2/Gcsh,21
