gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000005672.13,Kit,0.7873256061310774,1.1101881724600752e-4,Up,Hematopoietic_SC
ENSMUSG00000003032.9,Klf4,0.5841693408127379,0.008913889307264375,Up,Pluripotency
ENSMUSG00000025809.16,Itgb1,-0.37378813364975744,0.0382814088082906,Down,Mesenchymal_SC
ENSMUSG00000042745.10,Id1,0.4264203828197305,0.0546980084546357,NS,General_Stemness
ENSMUSG00000015053.15,Gata2,0.39924241084670714,0.05599800475869747,NS,Hematopoietic_SC
ENSMUSG00000027611.13,Procr,0.27028098931537126,0.08391128842418592,NS,Hematopoietic_SC
ENSMUSG00000032420.9,Nt5e,-0.34687060056369495,0.09934654213642703,NS,Mesenchymal_SC
ENSMUSG00000015355.14,Cd48,-0.2960791056630645,0.11803032410821009,NS,Hematopoietic_SC
ENSMUSG00000016494.10,Cd34,0.3105948999255108,0.12355484145138455,NS,Hematopoietic_SC
ENSMUSG00000007872.4,Id3,0.2919958163244809,0.1424933090323093,NS,General_Stemness
ENSMUSG00000053279.9,Aldh1a1,0.2905660945457713,0.14527060864686656,NS,Mesenchymal_SC
ENSMUSG00000053279.9,Aldh1a1,0.2905660945457713,0.14527060864686656,NS,General_Stemness
ENSMUSG00000004891.17,Nes,-0.2596760987405184,0.1817645398030943,NS,Neural_SC
ENSMUSG00000075602.11,Ly6a,0.22895060536312917,0.20704407848750725,NS,Hematopoietic_SC
ENSMUSG00000005087.18,Cd44,-0.22052934107179145,0.23480881277029528,NS,Mesenchymal_SC
ENSMUSG00000022026.8,Olfm4,0.20765852055086045,0.2374695643065282,NS,Intestinal_SC
ENSMUSG00000000567.6,Sox9,0.20363744910972367,0.277818156365477,NS,Neural_SC
ENSMUSG00000028717.13,Tal1,0.17469176942126863,0.29025282475397196,NS,Hematopoietic_SC
ENSMUSG00000022346.18,Myc,-0.18981496057661978,0.2993840517803319,NS,Pluripotency
ENSMUSG00000032011.6,Thy1,0.16879487455448186,0.3721619814531736,NS,Mesenchymal_SC
ENSMUSG00000026728.10,Vim,-0.1414968203203902,0.41067390611965227,NS,Neural_SC
ENSMUSG00000015134.16,Aldh1a3,0.1321162929416923,0.4898356824537432,NS,General_Stemness
ENSMUSG00000027878.12,Notch2,-0.10296584983581018,0.4998703843453048,NS,General_Stemness
ENSMUSG00000029231.16,Pdgfra,-0.10228595873713438,0.5399806288278265,NS,Mesenchymal_SC
ENSMUSG00000030029.15,Lrig1,-0.1029352716553171,0.5470507905942334,NS,Intestinal_SC
ENSMUSG00000047139.10,Cd24a,0.1145846453598633,0.5531855263971928,NS,General_Stemness
ENSMUSG00000000142.16,Axin2,0.11199343463857087,0.5571866189826276,NS,Intestinal_SC
ENSMUSG00000026814.17,Eng,-0.05461677383761551,0.7557859644633488,NS,Mesenchymal_SC
ENSMUSG00000050966.10,Lin28a,0.048277390934874855,0.8031555328381191,NS,Pluripotency
ENSMUSG00000026923.16,Notch1,-0.037412701747928837,0.8357710055629156,NS,General_Stemness
ENSMUSG00000029086.16,Prom1,-0.03938370842573325,0.85502886295089775,NS,Neural_SC
ENSMUSG00000054256.12,Msi1,-0.008117646193456401,0.9720465629612769,NS,Neural_SC
ENSMUSG00000076431.5,Sox4,0.0026216331388676435,0.9914201939954121,NS,General_Stemness
